#       eta       phi       depth        det       value           DetId
              -14               4               1         HB         1.12394     42004704
              -15               4               1         HB         1.15372     42004784
              -15               4               2         HB         1.15372     42008784
              -16               4               1         HB         1.23110     42004804
              -16               4               2         HB         1.23110     42008804
               -1               5               1         HB         1.08850     42004085
               -2               5               1         HB         1.09068     42004105
               -3               5               1         HB         1.08331     42004185
               -4               5               1         HB         1.08141     42004205
               -5               5               1         HB         1.07132     42004285
               -6               5               1         HB         1.07355     42004305
               -7               5               1         HB         1.08268     42004385
               -8               5               1         HB         1.07859     42004405
               -9               5               1         HB         1.08312     42004485
              -10               5               1         HB         1.08981     42004505
              -11               5               1         HB         1.08950     42004585
              -12               5               1         HB         1.10484     42004605
              -13               5               1         HB         1.10579     42004685
              -14               5               1         HB         1.12394     42004705
              -15               5               1         HB         1.15372     42004785
              -15               5               2         HB         1.15372     42008785
              -16               5               1         HB         1.23110     42004805
              -16               5               2         HB         1.23110     42008805
               -1               6               1         HB         1.08850     42004086
               -2               6               1         HB         1.09068     42004106
               -3               6               1         HB         1.08331     42004186
               -4               6               1         HB         1.08141     42004206
               -5               6               1         HB         1.07132     42004286
               -6               6               1         HB         1.07355     42004306
               -7               6               1         HB         1.08268     42004386
               -8               6               1         HB         1.07859     42004406
               -9               6               1         HB         1.08312     42004486
              -10               6               1         HB         1.08981     42004506
              -11               6               1         HB         1.08950     42004586
              -12               6               1         HB         1.10484     42004606
              -13               6               1         HB         1.10579     42004686
              -14               6               1         HB         1.12394     42004706
              -15               6               1         HB         1.15372     42004786
              -15               6               2         HB         1.15372     42008786
              -16               6               1         HB         1.23110     42004806
              -16               6               2         HB         1.23110     42008806
               -1               7               1         HB         1.08850     42004087
               -2               7               1         HB         1.09068     42004107
               -3               7               1         HB         1.08331     42004187
               -4               7               1         HB         1.08141     42004207
               -5               7               1         HB         1.07132     42004287
               -6               7               1         HB         1.07355     42004307
               -7               7               1         HB         1.08268     42004387
               -8               7               1         HB         1.07859     42004407
               -9               7               1         HB         1.08312     42004487
              -10               7               1         HB         1.08981     42004507
              -11               7               1         HB         1.08950     42004587
              -12               7               1         HB         1.10484     42004607
              -13               7               1         HB         1.10579     42004687
              -14               7               1         HB         1.12394     42004707
              -15               7               1         HB         1.15372     42004787
              -15               7               2         HB         1.15372     42008787
              -16               7               1         HB         1.23110     42004807
              -16               7               2         HB         1.23110     42008807
               -1               8               1         HB         1.08850     42004088
               -2               8               1         HB         1.09068     42004108
               -3               8               1         HB         1.08331     42004188
               -4               8               1         HB         1.08141     42004208
               -5               8               1         HB         1.07132     42004288
               -6               8               1         HB         1.07355     42004308
               -7               8               1         HB         1.08268     42004388
               -8               8               1         HB         1.07859     42004408
               -9               8               1         HB         1.08312     42004488
              -10               8               1         HB         1.08981     42004508
              -11               8               1         HB         1.08950     42004588
              -12               8               1         HB         1.10484     42004608
              -13               8               1         HB         1.10579     42004688
              -14               8               1         HB         1.12394     42004708
              -15               8               1         HB         1.15372     42004788
              -15               8               2         HB         1.15372     42008788
              -16               8               1         HB         1.23110     42004808
              -16               8               2         HB         1.23110     42008808
               -1               9               1         HB         1.08850     42004089
               -2               9               1         HB         1.09068     42004109
               -3               9               1         HB         1.08331     42004189
               -4               9               1         HB         1.08141     42004209
               -5               9               1         HB         1.07132     42004289
               -6               9               1         HB         1.07355     42004309
               -7               9               1         HB         1.08268     42004389
               -8               9               1         HB         1.07859     42004409
               -9               9               1         HB         1.08312     42004489
              -10               9               1         HB         1.08981     42004509
              -11               9               1         HB         1.08950     42004589
              -12               9               1         HB         1.10484     42004609
              -13               9               1         HB         1.10579     42004689
              -14               9               1         HB         1.12394     42004709
              -15               9               1         HB         1.15372     42004789
              -15               9               2         HB         1.15372     42008789
              -16               9               1         HB         1.23110     42004809
              -16               9               2         HB         1.23110     42008809
               -1              10               1         HB         1.08850     4200408A
               -2              10               1         HB         1.09068     4200410A
               -3              10               1         HB         1.08331     4200418A
               -4              10               1         HB         1.08141     4200420A
               -5              10               1         HB         1.07132     4200428A
               -6              10               1         HB         1.07355     4200430A
               -7              10               1         HB         1.08268     4200438A
               -8              10               1         HB         1.07859     4200440A
               -9              10               1         HB         1.08312     4200448A
              -10              10               1         HB         1.08981     4200450A
              -11              10               1         HB         1.08950     4200458A
              -12              10               1         HB         1.10484     4200460A
              -13              10               1         HB         1.10579     4200468A
              -14              10               1         HB         1.12394     4200470A
              -15              10               1         HB         1.15372     4200478A
              -15              10               2         HB         1.15372     4200878A
              -16              10               1         HB         1.23110     4200480A
              -16              10               2         HB         1.23110     4200880A
               -1              11               1         HB         1.08850     4200408B
               -2              11               1         HB         1.09068     4200410B
               -3              11               1         HB         1.08331     4200418B
               -4              11               1         HB         1.08141     4200420B
               -5              11               1         HB         1.07132     4200428B
               -6              11               1         HB         1.07355     4200430B
               -7              11               1         HB         1.08268     4200438B
               -8              11               1         HB         1.07859     4200440B
               -9              11               1         HB         1.08312     4200448B
              -10              11               1         HB         1.08981     4200450B
              -11              11               1         HB         1.08950     4200458B
              -12              11               1         HB         1.10484     4200460B
              -13              11               1         HB         1.10579     4200468B
              -14              11               1         HB         1.12394     4200470B
              -15              11               1         HB         1.15372     4200478B
              -15              11               2         HB         1.15372     4200878B
              -16              11               1         HB         1.23110     4200480B
              -16              11               2         HB         1.23110     4200880B
               -1              12               1         HB         1.08850     4200408C
               -2              12               1         HB         1.09068     4200410C
               -3              12               1         HB         1.08331     4200418C
               -4              12               1         HB         1.08141     4200420C
               -5              12               1         HB         1.07132     4200428C
               -6              12               1         HB         1.07355     4200430C
               -7              12               1         HB         1.08268     4200438C
               -8              12               1         HB         1.07859     4200440C
               -9              12               1         HB         1.08312     4200448C
              -10              12               1         HB         1.08981     4200450C
              -11              12               1         HB         1.08950     4200458C
              -12              12               1         HB         1.10484     4200460C
              -13              12               1         HB         1.10579     4200468C
              -14              12               1         HB         1.12394     4200470C
              -15              12               1         HB         1.15372     4200478C
              -15              12               2         HB         1.15372     4200878C
              -16              12               1         HB         1.23110     4200480C
              -16              12               2         HB         1.23110     4200880C
               -1              13               1         HB         1.08850     4200408D
               -2              13               1         HB         1.09068     4200410D
               -3              13               1         HB         1.08331     4200418D
               -4              13               1         HB         1.08141     4200420D
               -5              13               1         HB         1.07132     4200428D
               -6              13               1         HB         1.07355     4200430D
               -7              13               1         HB         1.08268     4200438D
               -8              13               1         HB         1.07859     4200440D
               -9              13               1         HB         1.08312     4200448D
              -10              13               1         HB         1.08981     4200450D
              -11              13               1         HB         1.08950     4200458D
              -12              13               1         HB         1.10484     4200460D
              -13              13               1         HB         1.10579     4200468D
              -14              13               1         HB         1.12394     4200470D
              -15              13               1         HB         1.15372     4200478D
              -15              13               2         HB         1.15372     4200878D
              -16              13               1         HB         1.23110     4200480D
              -16              13               2         HB         1.23110     4200880D
               -1              14               1         HB         1.08850     4200408E
               -2              14               1         HB         1.09068     4200410E
               -3              14               1         HB         1.08331     4200418E
               -4              14               1         HB         1.08141     4200420E
               -5              14               1         HB         1.07132     4200428E
               -6              14               1         HB         1.07355     4200430E
               -7              14               1         HB         1.08268     4200438E
               -8              14               1         HB         1.07859     4200440E
               -9              14               1         HB         1.08312     4200448E
              -10              14               1         HB         1.08981     4200450E
              -11              14               1         HB         1.08950     4200458E
              -12              14               1         HB         1.10484     4200460E
              -13              14               1         HB         1.10579     4200468E
              -14              14               1         HB         1.12394     4200470E
              -15              14               1         HB         1.15372     4200478E
              -15              14               2         HB         1.15372     4200878E
              -16              14               1         HB         1.23110     4200480E
              -16              14               2         HB         1.23110     4200880E
               -1              15               1         HB         1.08850     4200408F
               -2              15               1         HB         1.09068     4200410F
               -3              15               1         HB         1.08331     4200418F
               -4              15               1         HB         1.08141     4200420F
               -5              15               1         HB         1.07132     4200428F
               -6              15               1         HB         1.07355     4200430F
               -7              15               1         HB         1.08268     4200438F
               -8              15               1         HB         1.07859     4200440F
               -9              15               1         HB         1.08312     4200448F
              -10              15               1         HB         1.08981     4200450F
              -11              15               1         HB         1.08950     4200458F
              -12              15               1         HB         1.10484     4200460F
              -13              15               1         HB         1.10579     4200468F
              -14              15               1         HB         1.12394     4200470F
              -15              15               1         HB         1.15372     4200478F
              -15              15               2         HB         1.15372     4200878F
              -16              15               1         HB         1.23110     4200480F
              -16              15               2         HB         1.23110     4200880F
               -1              16               1         HB         1.08850     42004090
               -2              16               1         HB         1.09068     42004110
               -3              16               1         HB         1.08331     42004190
               -4              16               1         HB         1.08141     42004210
               -5              16               1         HB         1.07132     42004290
               -6              16               1         HB         1.07355     42004310
               -7              16               1         HB         1.08268     42004390
               -8              16               1         HB         1.07859     42004410
               -9              16               1         HB         1.08312     42004490
              -10              16               1         HB         1.08981     42004510
              -11              16               1         HB         1.08950     42004590
              -12              16               1         HB         1.10484     42004610
              -13              16               1         HB         1.10579     42004690
              -14              16               1         HB         1.12394     42004710
              -15              16               1         HB         1.15372     42004790
              -15              16               2         HB         1.15372     42008790
              -16              16               1         HB         1.23110     42004810
              -16              16               2         HB         1.23110     42008810
               -1              17               1         HB         1.08850     42004091
               -2              17               1         HB         1.09068     42004111
               -3              17               1         HB         1.08331     42004191
               -4              17               1         HB         1.08141     42004211
               -5              17               1         HB         1.07132     42004291
               -6              17               1         HB         1.07355     42004311
               -7              17               1         HB         1.08268     42004391
               -8              17               1         HB         1.07859     42004411
               -9              17               1         HB         1.08312     42004491
              -10              17               1         HB         1.08981     42004511
              -11              17               1         HB         1.08950     42004591
              -12              17               1         HB         1.10484     42004611
              -13              17               1         HB         1.10579     42004691
              -14              17               1         HB         1.12394     42004711
              -15              17               1         HB         1.15372     42004791
              -15              17               2         HB         1.15372     42008791
              -16              17               1         HB         1.23110     42004811
              -16              17               2         HB         1.23110     42008811
               -1              18               1         HB         1.08850     42004092
               -2              18               1         HB         1.09068     42004112
               -3              18               1         HB         1.08331     42004192
               -4              18               1         HB         1.08141     42004212
               -5              18               1         HB         1.07132     42004292
               -6              18               1         HB         1.07355     42004312
               -7              18               1         HB         1.08268     42004392
               -8              18               1         HB         1.07859     42004412
               -9              18               1         HB         1.08312     42004492
              -10              18               1         HB         1.08981     42004512
              -11              18               1         HB         1.08950     42004592
              -12              18               1         HB         1.10484     42004612
              -13              18               1         HB         1.10579     42004692
              -14              18               1         HB         1.12394     42004712
              -15              18               1         HB         1.15372     42004792
              -15              18               2         HB         1.15372     42008792
              -16              18               1         HB         1.23110     42004812
              -16              18               2         HB         1.23110     42008812
               -1              19               1         HB         1.08850     42004093
               -2              19               1         HB         1.09068     42004113
               -3              19               1         HB         1.08331     42004193
               -4              19               1         HB         1.08141     42004213
               -5              19               1         HB         1.07132     42004293
               -6              19               1         HB         1.07355     42004313
               -7              19               1         HB         1.08268     42004393
               -8              19               1         HB         1.07859     42004413
               -9              19               1         HB         1.08312     42004493
              -10              19               1         HB         1.08981     42004513
              -11              19               1         HB         1.08950     42004593
              -12              19               1         HB         1.10484     42004613
              -13              19               1         HB         1.10579     42004693
              -14              19               1         HB         1.12394     42004713
              -15              19               1         HB         1.15372     42004793
              -15              19               2         HB         1.15372     42008793
              -16              19               1         HB         1.23110     42004813
              -16              19               2         HB         1.23110     42008813
               -1              20               1         HB         1.08850     42004094
               -2              20               1         HB         1.09068     42004114
               -3              20               1         HB         1.08331     42004194
               -4              20               1         HB         1.08141     42004214
               -5              20               1         HB         1.07132     42004294
               -6              20               1         HB         1.07355     42004314
               -7              20               1         HB         1.08268     42004394
               -8              20               1         HB         1.07859     42004414
               -9              20               1         HB         1.08312     42004494
              -10              20               1         HB         1.08981     42004514
              -11              20               1         HB         1.08950     42004594
              -12              20               1         HB         1.10484     42004614
              -13              20               1         HB         1.10579     42004694
              -14              20               1         HB         1.12394     42004714
              -15              20               1         HB         1.15372     42004794
              -15              20               2         HB         1.15372     42008794
              -16              20               1         HB         1.23110     42004814
              -16              20               2         HB         1.23110     42008814
               -1              21               1         HB         1.08850     42004095
               -2              21               1         HB         1.09068     42004115
               -3              21               1         HB         1.08331     42004195
               -4              21               1         HB         1.08141     42004215
               -5              21               1         HB         1.07132     42004295
               -6              21               1         HB         1.07355     42004315
               -7              21               1         HB         1.08268     42004395
               -8              21               1         HB         1.07859     42004415
               -9              21               1         HB         1.08312     42004495
              -10              21               1         HB         1.08981     42004515
              -11              21               1         HB         1.08950     42004595
              -12              21               1         HB         1.10484     42004615
              -13              21               1         HB         1.10579     42004695
              -14              21               1         HB         1.12394     42004715
              -15              21               1         HB         1.15372     42004795
              -15              21               2         HB         1.15372     42008795
              -16              21               1         HB         1.23110     42004815
              -16              21               2         HB         1.23110     42008815
               -1              22               1         HB         1.08850     42004096
               -2              22               1         HB         1.09068     42004116
               -3              22               1         HB         1.08331     42004196
               -4              22               1         HB         1.08141     42004216
               -5              22               1         HB         1.07132     42004296
               -6              22               1         HB         1.07355     42004316
               -7              22               1         HB         1.08268     42004396
               -8              22               1         HB         1.07859     42004416
               -9              22               1         HB         1.08312     42004496
              -10              22               1         HB         1.08981     42004516
              -11              22               1         HB         1.08950     42004596
              -12              22               1         HB         1.10484     42004616
              -13              22               1         HB         1.10579     42004696
              -14              22               1         HB         1.12394     42004716
              -15              22               1         HB         1.15372     42004796
              -15              22               2         HB         1.15372     42008796
              -16              22               1         HB         1.23110     42004816
              -16              22               2         HB         1.23110     42008816
               -1              23               1         HB         1.08850     42004097
               -2              23               1         HB         1.09068     42004117
               -3              23               1         HB         1.08331     42004197
               -4              23               1         HB         1.08141     42004217
               -5              23               1         HB         1.07132     42004297
               -6              23               1         HB         1.07355     42004317
               -7              23               1         HB         1.08268     42004397
               -8              23               1         HB         1.07859     42004417
               -9              23               1         HB         1.08312     42004497
              -10              23               1         HB         1.08981     42004517
              -11              23               1         HB         1.08950     42004597
              -12              23               1         HB         1.10484     42004617
              -13              23               1         HB         1.10579     42004697
              -14              23               1         HB         1.12394     42004717
              -15              23               1         HB         1.15372     42004797
              -15              23               2         HB         1.15372     42008797
              -16              23               1         HB         1.23110     42004817
              -16              23               2         HB         1.23110     42008817
               -1              24               1         HB         1.08850     42004098
               -2              24               1         HB         1.09068     42004118
               -3              24               1         HB         1.08331     42004198
               -4              24               1         HB         1.08141     42004218
               -5              24               1         HB         1.07132     42004298
               -6              24               1         HB         1.07355     42004318
               -7              24               1         HB         1.08268     42004398
               -8              24               1         HB         1.07859     42004418
               -9              24               1         HB         1.08312     42004498
              -10              24               1         HB         1.08981     42004518
              -11              24               1         HB         1.08950     42004598
              -12              24               1         HB         1.10484     42004618
              -13              24               1         HB         1.10579     42004698
              -14              24               1         HB         1.12394     42004718
              -15              24               1         HB         1.15372     42004798
              -15              24               2         HB         1.15372     42008798
              -16              24               1         HB         1.23110     42004818
              -16              24               2         HB         1.23110     42008818
               -1              25               1         HB         1.08850     42004099
               -2              25               1         HB         1.09068     42004119
               -3              25               1         HB         1.08331     42004199
               -4              25               1         HB         1.08141     42004219
               -5              25               1         HB         1.07132     42004299
               -6              25               1         HB         1.07355     42004319
               -7              25               1         HB         1.08268     42004399
               -8              25               1         HB         1.07859     42004419
               -9              25               1         HB         1.08312     42004499
              -10              25               1         HB         1.08981     42004519
              -11              25               1         HB         1.08950     42004599
              -12              25               1         HB         1.10484     42004619
              -13              25               1         HB         1.10579     42004699
              -14              25               1         HB         1.12394     42004719
              -15              25               1         HB         1.15372     42004799
              -15              25               2         HB         1.15372     42008799
              -16              25               1         HB         1.23110     42004819
              -16              25               2         HB         1.23110     42008819
               -1              26               1         HB         1.08850     4200409A
               -2              26               1         HB         1.09068     4200411A
               -3              26               1         HB         1.08331     4200419A
               -4              26               1         HB         1.08141     4200421A
               -5              26               1         HB         1.07132     4200429A
               -6              26               1         HB         1.07355     4200431A
               -7              26               1         HB         1.08268     4200439A
               -8              26               1         HB         1.07859     4200441A
               -9              26               1         HB         1.08312     4200449A
              -10              26               1         HB         1.08981     4200451A
              -11              26               1         HB         1.08950     4200459A
              -12              26               1         HB         1.10484     4200461A
              -13              26               1         HB         1.10579     4200469A
              -14              26               1         HB         1.12394     4200471A
              -15              26               1         HB         1.15372     4200479A
              -15              26               2         HB         1.15372     4200879A
              -16              26               1         HB         1.23110     4200481A
              -16              26               2         HB         1.23110     4200881A
               -1              27               1         HB         1.08850     4200409B
               -2              27               1         HB         1.09068     4200411B
               -3              27               1         HB         1.08331     4200419B
               -4              27               1         HB         1.08141     4200421B
               -5              27               1         HB         1.07132     4200429B
               -6              27               1         HB         1.07355     4200431B
               -7              27               1         HB         1.08268     4200439B
               -8              27               1         HB         1.07859     4200441B
               -9              27               1         HB         1.08312     4200449B
              -10              27               1         HB         1.08981     4200451B
              -11              27               1         HB         1.08950     4200459B
              -12              27               1         HB         1.10484     4200461B
              -13              27               1         HB         1.10579     4200469B
              -14              27               1         HB         1.12394     4200471B
              -15              27               1         HB         1.15372     4200479B
              -15              27               2         HB         1.15372     4200879B
              -16              27               1         HB         1.23110     4200481B
              -16              27               2         HB         1.23110     4200881B
               -1              28               1         HB         1.08850     4200409C
               -2              28               1         HB         1.09068     4200411C
               -3              28               1         HB         1.08331     4200419C
               -4              28               1         HB         1.08141     4200421C
               -5              28               1         HB         1.07132     4200429C
               -6              28               1         HB         1.07355     4200431C
               -7              28               1         HB         1.08268     4200439C
               -8              28               1         HB         1.07859     4200441C
               -9              28               1         HB         1.08312     4200449C
              -10              28               1         HB         1.08981     4200451C
              -11              28               1         HB         1.08950     4200459C
              -12              28               1         HB         1.10484     4200461C
              -13              28               1         HB         1.10579     4200469C
              -14              28               1         HB         1.12394     4200471C
