#             eta             phi             dep             det    value      DetId
              -11               4               1              HB  1.87751   42004584
              -12               4               1              HB  1.27224   42004604
              -13               4               1              HB  1.36071   42004684
              -14               4               1              HB  1.52965   42004704
              -15               4               1              HB  1.91127   42004784
              -15               4               2              HB  1.10401   42008784
              -16               4               1              HB  1.37645   42004804
              -16               4               2              HB  1.22337   42008804
               -1               5               1              HB  1.22928   42004085
               -2               5               1              HB  1.84403   42004105
               -3               5               1              HB  1.80946   42004185
               -4               5               1              HB  1.93879   42004205
               -5               5               1              HB  1.81770   42004285
               -6               5               1              HB  1.28318   42004305
               -7               5               1              HB  1.24657   42004385
               -8               5               1              HB  2.42152   42004405
               -9               5               1              HB  0.82159   42004485
              -10               5               1              HB  1.29427   42004505
              -11               5               1              HB  1.78427   42004585
              -12               5               1              HB  1.72881   42004605
              -13               5               1              HB  1.13501   42004685
              -14               5               1              HB  1.56528   42004705
              -15               5               1              HB  1.73049   42004785
              -15               5               2              HB  1.10426   42008785
              -16               5               1              HB  1.05422   42004805
              -16               5               2              HB  1.12239   42008805
               -1               6               1              HB  1.32666   42004086
               -2               6               1              HB  1.88123   42004106
               -3               6               1              HB  1.52255   42004186
               -4               6               1              HB  1.16531   42004206
               -5               6               1              HB  1.53813   42004286
               -6               6               1              HB  1.48177   42004306
               -7               6               1              HB  1.06934   42004386
               -8               6               1              HB  1.38007   42004406
               -9               6               1              HB  0.64722   42004486
              -10               6               1              HB  1.27819   42004506
              -11               6               1              HB  1.73040   42004586
              -12               6               1              HB  1.38154   42004606
              -13               6               1              HB  1.03473   42004686
              -14               6               1              HB  1.53492   42004706
              -15               6               1              HB  1.30836   42004786
              -15               6               2              HB  1.11722   42008786
              -16               6               1              HB  1.29514   42004806
              -16               6               2              HB  1.05782   42008806
               -1               7               1              HB  1.20732   42004087
               -2               7               1              HB  1.53090   42004107
               -3               7               1              HB  0.73421   42004187
               -4               7               1              HB  1.72486   42004207
               -5               7               1              HB  0.53528   42004287
               -6               7               1              HB  1.00309   42004307
               -7               7               1              HB  1.09822   42004387
               -8               7               1              HB  2.06895   42004407
               -9               7               1              HB  0.99295   42004487
              -10               7               1              HB  1.17617   42004507
              -11               7               1              HB  2.00576   42004587
              -12               7               1              HB  1.76269   42004607
              -13               7               1              HB  0.52683   42004687
              -14               7               1              HB  1.49132   42004707
              -15               7               1              HB  1.87473   42004787
              -15               7               2              HB  1.10379   42008787
              -16               7               1              HB  1.23717   42004807
              -16               7               2              HB  1.26279   42008807
               -1               8               1              HB  1.35003   42004088
               -2               8               1              HB  1.81961   42004108
               -3               8               1              HB  0.64902   42004188
               -4               8               1              HB  1.96911   42004208
               -5               8               1              HB  0.53373   42004288
               -6               8               1              HB  1.07533   42004308
               -7               8               1              HB  1.72907   42004388
               -8               8               1              HB  0.66566   42004408
               -9               8               1              HB  1.28695   42004488
              -10               8               1              HB  1.23138   42004508
              -11               8               1              HB  1.72960   42004588
              -12               8               1              HB  1.54683   42004608
              -13               8               1              HB  1.27163   42004688
              -14               8               1              HB  1.05821   42004708
              -15               8               1              HB  0.49415   42004788
              -15               8               2              HB  1.20783   42008788
              -16               8               1              HB  1.48059   42004808
              -16               8               2              HB  1.09765   42008808
               -1               9               1              HB  1.33706   42004089
               -2               9               1              HB  1.79164   42004109
               -3               9               1              HB  1.59189   42004189
               -4               9               1              HB  1.71150   42004209
               -5               9               1              HB  1.34016   42004289
               -6               9               1              HB  1.01425   42004309
               -7               9               1              HB  1.21471   42004389
               -8               9               1              HB  2.39261   42004409
               -9               9               1              HB  1.18264   42004489
              -10               9               1              HB  1.30510   42004509
              -11               9               1              HB  1.55355   42004589
              -12               9               1              HB  1.84425   42004609
              -13               9               1              HB  1.21397   42004689
              -14               9               1              HB  1.57807   42004709
              -15               9               1              HB  1.79991   42004789
              -15               9               2              HB  1.11559   42008789
              -16               9               1              HB  1.42098   42004809
              -16               9               2              HB  1.16042   42008809
               -1              10               1              HB  1.32122   4200408A
               -2              10               1              HB  1.50040   4200410A
               -3              10               1              HB  1.60221   4200418A
               -4              10               1              HB  1.01488   4200420A
               -5              10               1              HB  1.84801   4200428A
               -6              10               1              HB  0.88343   4200430A
               -7              10               1              HB  1.67740   4200438A
               -8              10               1              HB  1.95820   4200440A
               -9              10               1              HB  1.30782   4200448A
              -10              10               1              HB  0.56897   4200450A
              -11              10               1              HB  1.62298   4200458A
              -12              10               1              HB  1.74625   4200460A
              -13              10               1              HB  1.06134   4200468A
              -14              10               1              HB  1.35088   4200470A
              -15              10               1              HB  1.83419   4200478A
              -15              10               2              HB  1.10804   4200878A
              -16              10               1              HB  1.49729   4200480A
              -16              10               2              HB  1.13662   4200880A
               -1              11               1              HB  1.24205   4200408B
               -2              11               1              HB  0.49495   4200410B
               -3              11               1              HB  1.34949   4200418B
               -4              11               1              HB  1.01662   4200420B
               -5              11               1              HB  1.83259   4200428B
               -6              11               1              HB  0.80423   4200430B
               -7              11               1              HB  1.66009   4200438B
               -8              11               1              HB  2.26893   4200440B
               -9              11               1              HB  1.39909   4200448B
              -10              11               1              HB  1.30329   4200450B
              -11              11               1              HB  1.82193   4200458B
              -12              11               1              HB  1.75679   4200460B
              -13              11               1              HB  1.30469   4200468B
              -14              11               1              HB  1.64686   4200470B
              -15              11               1              HB  1.72181   4200478B
              -15              11               2              HB  1.08252   4200878B
              -16              11               1              HB  1.41093   4200480B
              -16              11               2              HB  1.29675   4200880B
               -1              12               1              HB  1.17312   4200408C
               -2              12               1              HB  1.58341   4200410C
               -3              12               1              HB  0.62329   4200418C
               -4              12               1              HB  2.15947   4200420C
               -5              12               1              HB  1.85583   4200428C
               -6              12               1              HB  1.52485   4200430C
               -7              12               1              HB  1.84716   4200438C
               -8              12               1              HB  2.51636   4200440C
               -9              12               1              HB  0.79650   4200448C
              -10              12               1              HB  1.38232   4200450C
              -11              12               1              HB  1.81718   4200458C
              -12              12               1              HB  1.72861   4200460C
              -13              12               1              HB  1.52344   4200468C
              -14              12               1              HB  1.47283   4200470C
              -15              12               1              HB  1.61646   4200478C
              -15              12               2              HB  1.16830   4200878C
              -16              12               1              HB  1.36500   4200480C
              -16              12               2              HB  1.26202   4200880C
               -1              13               1              HB  1.43041   4200408D
               -2              13               1              HB  1.64460   4200410D
               -3              13               1              HB  0.63004   4200418D
               -4              13               1              HB  2.37184   4200420D
               -5              13               1              HB  1.55744   4200428D
               -6              13               1              HB  1.45231   4200430D
               -7              13               1              HB  1.79579   4200438D
               -8              13               1              HB  0.72013   4200440D
               -9              13               1              HB  0.80268   4200448D
              -10              13               1              HB  1.23218   4200450D
              -11              13               1              HB  1.87331   4200458D
              -12              13               1              HB  1.65967   4200460D
              -13              13               1              HB  1.30302   4200468D
              -14              13               1              HB  1.56573   4200470D
              -15              13               1              HB  1.63708   4200478D
              -15              13               2              HB  1.10681   4200878D
              -16              13               1              HB  1.46353   4200480D
              -16              13               2              HB  1.13965   4200880D
               -1              14               1              HB  1.10279   4200408E
               -2              14               1              HB  0.92877   4200410E
               -3              14               1              HB  1.75687   4200418E
               -4              14               1              HB  0.88453   4200420E
               -5              14               1              HB  1.88317   4200428E
               -6              14               1              HB  1.34662   4200430E
               -7              14               1              HB  1.41937   4200438E
               -8              14               1              HB  2.15184   4200440E
               -9              14               1              HB  1.18739   4200448E
              -10              14               1              HB  1.13182   4200450E
              -11              14               1              HB  1.76971   4200458E
              -12              14               1              HB  1.70175   4200460E
              -13              14               1              HB  1.37536   4200468E
              -14              14               1              HB  1.41428   4200470E
              -15              14               1              HB  1.61381   4200478E
              -15              14               2              HB  1.12517   4200878E
              -16              14               1              HB  1.37759   4200480E
              -16              14               2              HB  1.01742   4200880E
               -1              15               1              HB  1.47379   4200408F
               -2              15               1              HB  0.83239   4200410F
               -3              15               1              HB  1.49398   4200418F
               -4              15               1              HB  0.86988   4200420F
               -5              15               1              HB  1.66390   4200428F
               -6              15               1              HB  1.28123   4200430F
               -7              15               1              HB  1.87729   4200438F
               -8              15               1              HB  1.99661   4200440F
               -9              15               1              HB  1.06270   4200448F
              -10              15               1              HB  1.21917   4200450F
              -11              15               1              HB  0.51515   4200458F
              -12              15               1              HB  1.30943   4200460F
              -13              15               1              HB  1.15813   4200468F
              -14              15               1              HB  1.05791   4200470F
              -15              15               1              HB  1.39441   4200478F
              -15              15               2              HB  1.09116   4200878F
              -16              15               1              HB  1.25177   4200480F
              -16              15               2              HB  1.20209   4200880F
               -1              16               1              HB  0.59542   42004090
               -2              16               1              HB  0.83409   42004110
               -3              16               1              HB  1.56216   42004190
               -4              16               1              HB  1.70562   42004210
               -5              16               1              HB  1.13112   42004290
               -6              16               1              HB  0.56093   42004310
               -7              16               1              HB  0.41815   42004390
               -8              16               1              HB  2.12428   42004410
               -9              16               1              HB  1.30673   42004490
              -10              16               1              HB  1.20371   42004510
              -11              16               1              HB  1.82660   42004590
              -12              16               1              HB  1.70439   42004610
              -13              16               1              HB  1.21723   42004690
              -14              16               1              HB  1.48905   42004710
              -15              16               1              HB  1.59080   42004790
              -15              16               2              HB  1.07258   42008790
              -16              16               1              HB  1.20307   42004810
              -16              16               2              HB  1.07453   42008810
               -1              17               1              HB  0.92159   42004091
               -2              17               1              HB  0.28722   42004111
               -3              17               1              HB  1.78252   42004191
               -4              17               1              HB  1.79300   42004211
               -5              17               1              HB  1.69265   42004291
               -6              17               1              HB  1.43462   42004311
               -7              17               1              HB  1.69904   42004391
               -8              17               1              HB  2.73613   42004411
               -9              17               1              HB  1.19511   42004491
              -10              17               1              HB  1.21477   42004511
              -11              17               1              HB  1.78667   42004591
              -12              17               1              HB  1.83009   42004611
              -13              17               1              HB  0.50275   42004691
              -14              17               1              HB  0.82522   42004711
              -15              17               1              HB  0.88205   42004791
              -15              17               2              HB  1.06065   42008791
              -16              17               1              HB  1.44631   42004811
              -16              17               2              HB  1.19525   42008811
               -1              18               1              HB  1.31743   42004092
               -2              18               1              HB  1.37761   42004112
               -3              18               1              HB  1.14668   42004192
               -4              18               1              HB  1.53569   42004212
               -5              18               1              HB  1.17967   42004292
               -6              18               1              HB  1.57109   42004312
               -7              18               1              HB  1.69016   42004392
               -8              18               1              HB  1.68277   42004412
               -9              18               1              HB  1.17549   42004492
              -10              18               1              HB  1.16797   42004512
              -11              18               1              HB  1.68454   42004592
              -12              18               1              HB  1.55401   42004612
              -13              18               1              HB  1.40045   42004692
              -14              18               1              HB  1.46167   42004712
              -15              18               1              HB  1.26775   42004792
              -15              18               2              HB  1.04179   42008792
              -16              18               1              HB  1.38173   42004812
              -16              18               2              HB  1.10551   42008812
               -1              19               1              HB  1.15329   42004093
               -2              19               1              HB  1.78448   42004113
               -3              19               1              HB  1.38346   42004193
               -4              19               1              HB  1.12586   42004213
               -5              19               1              HB  0.58327   42004293
               -6              19               1              HB  1.43018   42004313
               -7              19               1              HB  1.71089   42004393
               -8              19               1              HB  1.11248   42004413
               -9              19               1              HB  1.24251   42004493
              -10              19               1              HB  1.24259   42004513
              -11              19               1              HB  1.82642   42004593
              -12              19               1              HB  1.10113   42004613
              -13              19               1              HB  1.05033   42004693
              -14              19               1              HB  1.47572   42004713
              -15              19               1              HB  1.70389   42004793
              -15              19               2              HB  1.11252   42008793
              -16              19               1              HB  1.38339   42004813
              -16              19               2              HB  0.95636   42008813
               -1              20               1              HB  1.32627   42004094
               -2              20               1              HB  2.01455   42004114
               -3              20               1              HB  1.79563   42004194
               -4              20               1              HB  2.10848   42004214
               -5              20               1              HB  1.65143   42004294
               -6              20               1              HB  1.17491   42004314
               -7              20               1              HB  1.45005   42004394
               -8              20               1              HB  2.34432   42004414
               -9              20               1              HB  1.20645   42004494
              -10              20               1              HB  1.43312   42004514
              -11              20               1              HB  1.53357   42004594
              -12              20               1              HB  1.60412   42004614
              -13              20               1              HB  1.32657   42004694
              -14              20               1              HB  1.62569   42004714
              -15              20               1              HB  1.70085   42004794
              -15              20               2              HB  1.11838   42008794
              -16              20               1              HB  1.33692   42004814
              -16              20               2              HB  0.92109   42008814
               -1              21               1              HB  1.35733   42004095
               -2              21               1              HB  1.16204   42004115
               -3              21               1              HB  1.21253   42004195
               -4              21               1              HB  1.36864   42004215
               -5              21               1              HB  1.73596   42004295
               -6              21               1              HB  1.06916   42004315
               -7              21               1              HB  1.10130   42004395
               -8              21               1              HB  2.08190   42004415
               -9              21               1              HB  1.36354   42004495
              -10              21               1              HB  1.14910   42004515
              -11              21               1              HB  1.55732   42004595
              -12              21               1              HB  1.78413   42004615
              -13              21               1              HB  0.88540   42004695
              -14              21               1              HB  1.65371   42004715
              -15              21               1              HB  1.69559   42004795
              -15              21               2              HB  1.09638   42008795
              -16              21               1              HB  1.31016   42004815
              -16              21               2              HB  1.24993   42008815
               -1              22               1              HB  1.43144   42004096
               -2              22               1              HB  0.97586   42004116
               -3              22               1              HB  1.82128   42004196
               -4              22               1              HB  1.48110   42004216
               -5              22               1              HB  1.14858   42004296
               -6              22               1              HB  1.03688   42004316
               -7              22               1              HB  1.20062   42004396
               -8              22               1              HB  2.39646   42004416
               -9              22               1              HB  0.95177   42004496
              -10              22               1              HB  1.20955   42004516
              -11              22               1              HB  0.54666   42004596
              -12              22               1              HB  1.74114   42004616
              -13              22               1              HB  1.55158   42004696
              -14              22               1              HB  1.58353   42004716
              -15              22               1              HB  1.67695   42004796
              -15              22               2              HB  1.10646   42008796
              -16              22               1              HB  1.40543   42004816
              -16              22               2              HB  1.12030   42008816
               -1              23               1              HB  0.62333   42004097
               -2              23               1              HB  0.87020   42004117
               -3              23               1              HB  1.85660   42004197
               -4              23               1              HB  1.50905   42004217
               -5              23               1              HB  2.10102   42004297
               -6              23               1              HB  1.23753   42004317
               -7              23               1              HB  1.53529   42004397
               -8              23               1              HB  0.76553   42004417
               -9              23               1              HB  1.27190   42004497
              -10              23               1              HB  1.36996   42004517
              -11              23               1              HB  0.63362   42004597
              -12              23               1              HB  1.76770   42004617
              -13              23               1              HB  1.34743   42004697
              -14              23               1              HB  1.39960   42004717
              -15              23               1              HB  1.77636   42004797
              -15              23               2              HB  1.11627   42008797
              -16              23               1              HB  0.43930   42004817
              -16              23               2              HB  1.09289   42008817
               -1              24               1              HB  1.02382   42004098
               -2              24               1              HB  2.03611   42004118
               -3              24               1              HB  1.59961   42004198
               -4              24               1              HB  2.10271   42004218
               -5              24               1              HB  1.87340   42004298
               -6              24               1              HB  1.37780   42004318
               -7              24               1              HB  1.77040   42004398
               -8              24               1              HB  2.29233   42004418
               -9              24               1              HB  1.15393   42004498
              -10              24               1              HB  1.19380   42004518
              -11              24               1              HB  2.03665   42004598
              -12              24               1              HB  1.65317   42004618
              -13              24               1              HB  1.14909   42004698
              -14              24               1              HB  1.31680   42004718
              -15              24               1              HB  1.78509   42004798
              -15              24               2              HB  1.12699   42008798
              -16              24               1              HB  1.43264   42004818
              -16              24               2              HB  1.05656   42008818
               -1              25               1              HB  1.27738   42004099
               -2              25               1              HB  1.83195   42004119
               -3              25               1              HB  0.70490   42004199
               -4              25               1              HB  1.97545   42004219
               -5              25               1              HB  1.74195   42004299
               -6              25               1              HB  0.77066   42004319
               -7              25               1              HB  1.75290   42004399
               -8              25               1              HB  2.31613   42004419
               -9              25               1              HB  1.33928   42004499
              -10              25               1              HB  1.17073   42004519
              -11              25               1              HB  1.97120   42004599
              -12              25               1              HB  1.78072   42004619
              -13              25               1              HB  1.25799   42004699
              -14              25               1              HB  1.53544   42004719
              -15              25               1              HB  0.92720   42004799
              -15              25               2              HB  1.12534   42008799
              -16              25               1              HB  1.43291   42004819
              -16              25               2              HB  1.21956   42008819
               -1              26               1              HB  1.42382   4200409A
               -2              26               1              HB  1.59685   4200411A
               -3              26               1              HB  1.41120   4200419A
               -4              26               1              HB  0.91689   4200421A
               -5              26               1              HB  0.96946   4200429A
               -6              26               1              HB  1.23666   4200431A
               -7              26               1              HB  1.46103   4200439A
               -8              26               1              HB  2.69545   4200441A
               -9              26               1              HB  1.44840   4200449A
              -10              26               1              HB  1.03235   4200451A
              -11              26               1              HB  1.87048   4200459A
              -12              26               1              HB  1.96475   4200461A
              -13              26               1              HB  1.30817   4200469A
              -14              26               1              HB  1.41986   4200471A
              -15              26               1              HB  1.67800   4200479A
              -15              26               2              HB  1.02648   4200879A
              -16              26               1              HB  1.33114   4200481A
              -16              26               2              HB  1.04350   4200881A
               -1              27               1              HB  1.36925   4200409B
               -2              27               1              HB  1.65072   4200411B
               -3              27               1              HB  1.72519   4200419B
               -4              27               1              HB  1.77913   4200421B
               -5              27               1              HB  1.62598   4200429B
               -6              27               1              HB  1.19519   4200431B
               -7              27               1              HB  1.70523   4200439B
               -8              27               1              HB  2.45765   4200441B
               -9              27               1              HB  1.01862   4200449B
              -10              27               1              HB  1.17679   4200451B
              -11              27               1              HB  1.53182   4200459B
              -12              27               1              HB  0.99459   4200461B
              -13              27               1              HB  1.34600   4200469B
              -14              27               1              HB  1.34055   4200471B
              -15              27               1              HB  1.39524   4200479B
              -15              27               2              HB  1.16779   4200879B
              -16              27               1              HB  1.42147   4200481B
              -16              27               2              HB  1.15577   4200881B
               -1              28               1              HB  1.46552   4200409C
               -2              28               1              HB  1.26432   4200411C
               -3              28               1              HB  1.02240   4200419C
               -4              28               1              HB  1.76906   4200421C
               -5              28               1              HB  1.69190   4200429C
               -6              28               1              HB  1.33622   4200431C
               -7              28               1              HB  0.83195   4200439C
               -8              28               1              HB  2.50750   4200441C
               -9              28               1              HB  1.20826   4200449C
              -10              28               1              HB  0.74964   4200451C
              -11              28               1              HB  1.34044   4200459C
              -12              28               1              HB  1.32277   4200461C
              -13              28               1              HB  1.33803   4200469C
              -14              28               1              HB  1.59403   4200471C
              -15              28               1              HB  1.78289   4200479C
              -15              28               2              HB  1.18261   4200879C
              -16              28               1              HB  1.47762   4200481C
              -16              28               2              HB  1.29759   4200881C
               -1              29               1              HB  0.96122   4200409D
               -2              29               1              HB  1.88087   4200411D
               -3              29               1              HB  1.08382   4200419D
               -4              29               1              HB  2.32810   4200421D
               -5              29               1              HB  1.64479   4200429D
               -6              29               1              HB  1.16737   4200431D
               -7              29               1              HB  1.52729   4200439D
               -8              29               1              HB  2.33133   4200441D
               -9              29               1              HB  1.36534   4200449D
              -10              29               1              HB  1.31856   4200451D
              -11              29               1              HB  1.67694   4200459D
              -12              29               1              HB  1.66751   4200461D
              -13              29               1              HB  1.14006   4200469D
              -14              29               1              HB  1.51138   4200471D
              -15              29               1              HB  1.85127   4200479D
              -15              29               2              HB  1.01686   4200879D
              -16              29               1              HB  1.45789   4200481D
              -16              29               2              HB  1.25567   4200881D
               -1              30               1              HB  1.64543   4200409E
               -2              30               1              HB  1.31927   4200411E
