n1=20 n2=40 s0=0.50 RC=1
  0.50  9.80 2.1370e+00 1.9711e+04 1.2074e-01  
  1.00  9.80 1.6874e+00 1.5564e+04 9.5333e-02  
  1.50  9.80 1.3502e+00 1.2454e+04 7.6282e-02  
  2.00  9.80 1.0909e+00 1.0062e+04 6.1636e-02  
  2.50  9.80 8.8980e-01 8.2072e+03 5.0272e-02  
  3.00  9.80 7.3321e-01 6.7629e+03 4.1425e-02  
  3.50  9.80 6.1105e-01 5.6361e+03 3.4523e-02  
  4.00  9.80 5.1562e-01 4.7559e+03 2.9132e-02  
  4.50  9.80 4.4115e-01 4.0691e+03 2.4924e-02  
  5.00  9.80 3.8319e-01 3.5344e+03 2.1650e-02  
  5.50  9.80 3.3821e-01 3.1195e+03 1.9108e-02  
  6.00  9.80 3.0348e-01 2.7992e+03 1.7146e-02  
  6.50  9.80 2.7709e-01 2.5557e+03 1.5655e-02  
  7.00  9.80 2.5763e-01 2.3763e+03 1.4556e-02  
  7.50  9.80 2.4401e-01 2.2507e+03 1.3786e-02  
  8.00  9.80 2.3530e-01 2.1703e+03 1.3294e-02  
  8.50  9.80 2.3088e-01 2.1296e+03 1.3044e-02  
  9.00  9.80 2.3052e-01 2.1262e+03 1.3024e-02  
  9.50  9.80 2.3402e-01 2.1586e+03 1.3222e-02  
 10.00  9.80 2.4112e-01 2.2240e+03 1.3623e-02  
 10.50  9.80 2.5197e-01 2.3241e+03 1.4236e-02  
 11.00  9.80 2.6700e-01 2.4628e+03 1.5085e-02  
 11.50  9.80 2.8603e-01 2.6383e+03 1.6160e-02  
 12.00  9.80 3.0986e-01 2.8581e+03 1.7507e-02  
  0.00 13.72 7.1877e-01 2.5469e+04 1.8415e-01  
  0.50 13.72 5.6096e-01 1.9877e+04 1.4371e-01  
  1.00 13.72 4.4946e-01 1.5926e+04 1.1515e-01  
  1.50 13.72 3.6457e-01 1.2918e+04 9.3402e-02  
  2.00 13.72 2.9826e-01 1.0568e+04 7.6412e-02  
  2.50 13.72 2.4599e-01 8.7165e+03 6.3023e-02  
  3.00 13.72 2.0463e-01 7.2508e+03 5.2425e-02  
  3.50 13.72 1.7179e-01 6.0871e+03 4.4011e-02  
  4.00 13.72 1.4568e-01 5.1622e+03 3.7324e-02  
  4.50 13.72 1.2493e-01 4.4268e+03 3.2007e-02  
  5.00 13.72 1.0843e-01 3.8422e+03 2.7780e-02  
  5.50 13.72 9.5336e-02 3.3781e+03 2.4425e-02  
  6.00 13.72 8.4979e-02 3.0111e+03 2.1771e-02  
  6.50 13.72 7.6853e-02 2.7232e+03 1.9689e-02  
  7.00 13.72 7.0561e-02 2.5002e+03 1.8077e-02  
  7.50 13.72 6.5794e-02 2.3313e+03 1.6856e-02  
  8.00 13.72 6.2323e-02 2.2083e+03 1.5967e-02  
  8.50 13.72 5.9975e-02 2.1251e+03 1.5365e-02  
  9.00 13.72 5.8623e-02 2.0772e+03 1.5019e-02  
  9.50 13.72 5.8181e-02 2.0616e+03 1.4906e-02  
 10.00 13.72 5.8600e-02 2.0764e+03 1.5013e-02  
 10.50 13.72 5.9859e-02 2.1210e+03 1.5336e-02  
 11.00 13.72 6.1957e-02 2.1954e+03 1.5873e-02  
 11.50 13.72 6.4923e-02 2.3005e+03 1.6633e-02  
 12.00 13.72 6.8816e-02 2.4384e+03 1.7630e-02  
  0.00 19.21 1.8201e-01 2.4775e+04 2.0878e-01  
  0.50 19.21 1.4434e-01 1.9648e+04 1.6557e-01  
  1.00 19.21 1.1731e-01 1.5969e+04 1.3456e-01  
  1.50 19.21 9.6433e-02 1.3127e+04 1.1062e-01  
  2.00 19.21 7.9885e-02 1.0874e+04 9.1634e-02  
  2.50 19.21 6.6638e-02 9.0708e+03 7.6438e-02  
  3.00 19.21 5.5985e-02 7.6208e+03 6.4219e-02  
  3.50 19.21 4.7396e-02 6.4517e+03 5.4367e-02  
  4.00 19.21 4.0458e-02 5.5072e+03 4.6408e-02  
  4.50 19.21 3.4848e-02 4.7436e+03 3.9973e-02  
  5.00 19.21 3.0311e-02 4.1260e+03 3.4769e-02  
  5.50 19.21 2.6642e-02 3.6265e+03 3.0560e-02  
  6.00 19.21 2.3678e-02 3.2231e+03 2.7161e-02  
  6.50 19.21 2.1295e-02 2.8987e+03 2.4427e-02  
  7.00 19.21 1.9391e-02 2.6396e+03 2.2243e-02  
  7.50 19.21 1.7887e-02 2.4349e+03 2.0518e-02  
  8.00 19.21 1.6721e-02 2.2760e+03 1.9180e-02  
  8.50 19.21 1.5844e-02 2.1567e+03 1.8174e-02  
  9.00 19.21 1.5220e-02 2.0718e+03 1.7458e-02  
  9.50 19.21 1.4821e-02 2.0174e+03 1.7000e-02  
 10.00 19.21 1.4627e-02 1.9910e+03 1.6778e-02  
 10.50 19.21 1.4628e-02 1.9911e+03 1.6779e-02  
 11.00 19.21 1.4815e-02 2.0167e+03 1.6994e-02  
 11.50 19.21 1.5187e-02 2.0673e+03 1.7421e-02  
 12.00 19.21 1.5748e-02 2.1436e+03 1.8064e-02  
  0.00 26.89 4.5862e-02 2.3983e+04 2.3299e-01  
  0.50 26.89 3.6904e-02 1.9298e+04 1.8748e-01  
  1.00 26.89 3.0383e-02 1.5888e+04 1.5435e-01  
  1.50 26.89 2.5280e-02 1.3219e+04 1.2843e-01  
  2.00 26.89 2.1181e-02 1.1076e+04 1.0760e-01  
  2.50 26.89 1.7855e-02 9.3368e+03 9.0706e-02  
  3.00 26.89 1.5144e-02 7.9191e+03 7.6932e-02  
  3.50 26.89 1.2927e-02 6.7600e+03 6.5672e-02  
  4.00 26.89 1.1111e-02 5.8105e+03 5.6448e-02  
  4.50 26.89 9.6222e-03 5.0317e+03 4.8882e-02  
  5.00 26.89 8.4000e-03 4.3926e+03 4.2673e-02  
  5.50 26.89 7.3961e-03 3.8676e+03 3.7573e-02  
  6.00 26.89 6.5720e-03 3.4367e+03 3.3387e-02  
  6.50 26.89 5.8969e-03 3.0837e+03 2.9957e-02  
  7.00 26.89 5.3460e-03 2.7956e+03 2.7158e-02  
  7.50 26.89 4.8988e-03 2.5617e+03 2.4887e-02  
  8.00 26.89 4.5396e-03 2.3739e+03 2.3062e-02  
  8.50 26.89 4.2559e-03 2.2255e+03 2.1621e-02  
  9.00 26.89 4.0375e-03 2.1113e+03 2.0511e-02  
  9.50 26.89 3.8757e-03 2.0267e+03 1.9689e-02  
 10.00 26.89 3.7650e-03 1.9688e+03 1.9127e-02  
 10.50 26.89 3.7022e-03 1.9360e+03 1.8808e-02  
 11.00 26.89 3.6830e-03 1.9259e+03 1.8710e-02  
 11.50 26.89 3.7059e-03 1.9379e+03 1.8826e-02  
 12.00 26.89 3.7702e-03 1.9716e+03 1.9153e-02  
  0.00 37.65 1.1314e-02 2.2728e+04 2.5215e-01  
  0.50 37.65 9.2338e-03 1.8550e+04 2.0580e-01  
  1.00 37.65 7.6988e-03 1.5466e+04 1.7159e-01  
  1.50 37.65 6.4811e-03 1.3020e+04 1.4445e-01  
  2.00 37.65 5.4898e-03 1.1028e+04 1.2235e-01  
  2.50 37.65 4.6749e-03 9.3914e+03 1.0419e-01  
  3.00 37.65 4.0017e-03 8.0388e+03 8.9187e-02  
  3.50 37.65 3.4438e-03 6.9182e+03 7.6754e-02  
  4.00 37.65 2.9810e-03 5.9884e+03 6.6439e-02  
  4.50 37.65 2.5965e-03 5.2160e+03 5.7868e-02  
  5.00 37.65 2.2766e-03 4.5733e+03 5.0739e-02  
  5.50 37.65 2.0103e-03 4.0385e+03 4.4805e-02  
  6.00 37.65 1.7887e-03 3.5933e+03 3.9866e-02  
  6.50 37.65 1.6044e-03 3.2231e+03 3.5759e-02  
  7.00 37.65 1.4514e-03 2.9156e+03 3.2347e-02  
  7.50 37.65 1.3247e-03 2.6611e+03 2.9524e-02  
  8.00 37.65 1.2205e-03 2.4517e+03 2.7201e-02  
  8.50 37.65 1.1355e-03 2.2810e+03 2.5307e-02  
  9.00 37.65 1.0670e-03 2.1435e+03 2.3781e-02  
  9.50 37.65 1.0131e-03 2.0352e+03 2.2579e-02  
 10.00 37.65 9.7202e-04 1.9527e+03 2.1664e-02  
 10.50 37.65 9.4244e-04 1.8932e+03 2.1004e-02  
 11.00 37.65 9.2341e-04 1.8550e+03 2.0580e-02  
 11.50 37.65 9.1421e-04 1.8365e+03 2.0375e-02  
 12.00 37.65 9.1443e-04 1.8370e+03 2.0380e-02  
  0.00 52.71 2.8791e-03 2.2219e+04 2.7920e-01  
  0.50 52.71 2.3748e-03 1.8327e+04 2.3029e-01  
  1.00 52.71 1.9986e-03 1.5423e+04 1.9381e-01  
  1.50 52.71 1.6973e-03 1.3099e+04 1.6459e-01  
  2.00 52.71 1.4498e-03 1.1189e+04 1.4059e-01  
  2.50 52.71 1.2444e-03 9.6036e+03 1.2068e-01  
  3.00 52.71 1.0731e-03 8.2813e+03 1.0406e-01  
  3.50 52.71 9.2974e-04 7.1751e+03 9.0160e-02  
  4.00 52.71 8.0960e-04 6.2479e+03 7.8509e-02  
  4.50 52.71 7.0870e-04 5.4693e+03 6.8725e-02  
  5.00 52.71 6.2387e-04 4.8146e+03 6.0499e-02  
  5.50 52.71 5.5249e-04 4.2637e+03 5.3577e-02  
  6.00 52.71 4.9241e-04 3.8001e+03 4.7751e-02  
  6.50 52.71 4.4182e-04 3.4097e+03 4.2845e-02  
  7.00 52.71 3.9925e-04 3.0811e+03 3.8716e-02  
  7.50 52.71 3.6349e-04 2.8052e+03 3.5249e-02  
  8.00 52.71 3.3355e-04 2.5741e+03 3.2346e-02  
  8.50 52.71 3.0859e-04 2.3815e+03 2.9925e-02  
  9.00 52.71 2.8792e-04 2.2220e+03 2.7921e-02  
  9.50 52.71 2.7102e-04 2.0916e+03 2.6282e-02  
 10.00 52.71 2.5744e-04 1.9867e+03 2.4965e-02  
 10.50 52.71 2.4676e-04 1.9043e+03 2.3929e-02  
 11.00 52.71 2.3871e-04 1.8422e+03 2.3149e-02  
 11.50 52.71 2.3308e-04 1.7988e+03 2.2603e-02  
 12.00 52.71 2.2969e-04 1.7726e+03 2.2274e-02  
  0.00 73.79 7.2032e-04 2.1355e+04 3.0172e-01  
  0.50 73.79 6.0118e-04 1.7823e+04 2.5181e-01  
  1.00 73.79 5.1113e-04 1.5153e+04 2.1409e-01  
  1.50 73.79 4.3819e-04 1.2991e+04 1.8354e-01  
  2.00 73.79 3.7762e-04 1.1195e+04 1.5817e-01  
  2.50 73.79 3.2680e-04 9.6885e+03 1.3688e-01  
  3.00 73.79 2.8396e-04 8.4184e+03 1.1894e-01  
  3.50 73.79 2.4776e-04 7.3451e+03 1.0378e-01  
  4.00 73.79 2.1710e-04 6.4362e+03 9.0934e-02  
  4.50 73.79 1.9109e-04 5.6653e+03 8.0041e-02  
  5.00 73.79 1.6901e-04 5.0107e+03 7.0794e-02  
  5.50 73.79 1.5025e-04 4.4544e+03 6.2934e-02  
  6.00 73.79 1.3429e-04 3.9812e+03 5.6249e-02  
  6.50 73.79 1.2071e-04 3.5786e+03 5.0560e-02  
  7.00 73.79 1.0915e-04 3.2360e+03 4.5720e-02  
  7.50 73.79 9.9334e-05 2.9449e+03 4.1607e-02  
  8.00 73.79 9.1001e-05 2.6979e+03 3.8117e-02  
  8.50 73.79 8.3949e-05 2.4888e+03 3.5163e-02  
  9.00 73.79 7.8006e-05 2.3126e+03 3.2674e-02  
  9.50 73.79 7.3030e-05 2.1651e+03 3.0590e-02  
 10.00 73.79 6.8903e-05 2.0428e+03 2.8861e-02  
 10.50 73.79 6.5529e-05 1.9427e+03 2.7448e-02  
 11.00 73.79 6.2822e-05 1.8625e+03 2.6314e-02  
 11.50 73.79 6.0723e-05 1.8002e+03 2.5435e-02  
 12.00 73.79 5.9178e-05 1.7544e+03 2.4787e-02  
  0.00 103.31 1.7991e-04 2.0490e+04 3.2340e-01  
  0.50 103.31 1.5157e-04 1.7262e+04 2.7244e-01  
  1.00 103.31 1.2994e-04 1.4799e+04 2.3356e-01  
  1.50 103.31 1.1226e-04 1.2785e+04 2.0179e-01  
  2.00 103.31 9.7447e-05 1.1098e+04 1.7516e-01  
  2.50 103.31 8.4911e-05 9.6706e+03 1.5263e-01  
  3.00 103.31 7.4250e-05 8.4564e+03 1.3347e-01  
  3.50 103.31 6.5161e-05 7.4212e+03 1.1713e-01  
  4.00 103.31 5.7397e-05 6.5370e+03 1.0317e-01  
  4.50 103.31 5.0754e-05 5.7805e+03 9.1232e-02  
  5.00 103.31 4.5064e-05 5.1324e+03 8.1004e-02  
  5.50 103.31 4.0185e-05 4.5767e+03 7.2233e-02  
  6.00 103.31 3.5997e-05 4.0997e+03 6.4705e-02  
  6.50 103.31 3.2399e-05 3.6899e+03 5.8237e-02  
  7.00 103.31 2.9307e-05 3.3379e+03 5.2681e-02  
  7.50 103.31 2.6653e-05 3.0356e+03 4.7910e-02  
  8.00 103.31 2.4375e-05 2.7761e+03 4.3815e-02  
  8.50 103.31 2.2420e-05 2.5535e+03 4.0301e-02  
  9.00 103.31 2.0747e-05 2.3629e+03 3.7293e-02  
  9.50 103.31 1.9322e-05 2.2006e+03 3.4732e-02  
 10.00 103.31 1.8114e-05 2.0630e+03 3.2560e-02  
 10.50 103.31 1.7092e-05 1.9467e+03 3.0724e-02  
 11.00 103.31 1.6240e-05 1.8496e+03 2.9193e-02  
 11.50 103.31 1.5541e-05 1.7699e+03 2.7935e-02  
 12.00 103.31 1.4976e-05 1.7057e+03 2.6920e-02  
  0.00 144.63 4.4971e-05 1.9676e+04 3.4489e-01  
  0.50 144.63 3.8229e-05 1.6726e+04 2.9319e-01  
  1.00 144.63 3.3030e-05 1.4451e+04 2.5331e-01  
  1.50 144.63 2.8742e-05 1.2575e+04 2.2043e-01  
  2.00 144.63 2.5119e-05 1.0990e+04 1.9264e-01  
  2.50 144.63 2.2029e-05 9.6381e+03 1.6894e-01  
  3.00 144.63 1.9379e-05 8.4789e+03 1.4862e-01  
  3.50 144.63 1.7102e-05 7.4825e+03 1.3116e-01  
  4.00 144.63 1.5142e-05 6.6248e+03 1.1613e-01  
  4.50 144.63 1.3453e-05 5.8858e+03 1.0317e-01  
  5.00 144.63 1.1995e-05 5.2480e+03 9.1991e-02  
  5.50 144.63 1.0735e-05 4.6967e+03 8.2328e-02  
  6.00 144.63 9.6451e-06 4.2200e+03 7.3971e-02  
  6.50 144.63 8.7021e-06 3.8074e+03 6.6738e-02  
  7.00 144.63 7.8853e-06 3.4500e+03 6.0474e-02  
  7.50 144.63 7.1776e-06 3.1404e+03 5.5047e-02  
  8.00 144.63 6.5647e-06 2.8722e+03 5.0346e-02  
  8.50 144.63 6.0342e-06 2.6401e+03 4.6278e-02  
  9.00 144.63 5.5753e-06 2.4393e+03 4.2759e-02  
  9.50 144.63 5.1791e-06 2.2660e+03 3.9720e-02  
 10.00 144.63 4.8381e-06 2.1168e+03 3.7105e-02  
 10.50 144.63 4.5457e-06 1.9889e+03 3.4862e-02  
 11.00 144.63 4.2963e-06 1.8797e+03 3.2950e-02  
 11.50 144.63 4.0853e-06 1.7874e+03 3.1331e-02  
 12.00 144.63 3.9086e-06 1.7101e+03 2.9976e-02  
  0.00 202.48 1.1240e-05 1.8892e+04 3.6587e-01  
  0.50 202.48 9.6437e-06 1.6209e+04 3.1391e-01  
  1.00 202.48 8.4043e-06 1.4126e+04 2.7356e-01  
  1.50 202.48 7.3744e-06 1.2395e+04 2.4004e-01  
  2.00 202.48 6.4977e-06 1.0921e+04 2.1150e-01  
  2.50 202.48 5.7441e-06 9.6546e+03 1.8697e-01  
  3.00 202.48 5.0934e-06 8.5609e+03 1.6579e-01  
  3.50 202.48 4.5302e-06 7.6143e+03 1.4746e-01  
  4.00 202.48 4.0422e-06 6.7941e+03 1.3158e-01  
  4.50 202.48 3.6188e-06 6.0824e+03 1.1779e-01  
  5.00 202.48 3.2509e-06 5.4641e+03 1.0582e-01  
  5.50 202.48 2.9310e-06 4.9264e+03 9.5406e-02  
  6.00 202.48 2.6528e-06 4.4588e+03 8.6349e-02  
  6.50 202.48 2.4107e-06 4.0519e+03 7.8470e-02  
  7.00 202.48 2.2000e-06 3.6977e+03 7.1610e-02  
  7.50 202.48 2.0165e-06 3.3894e+03 6.5639e-02  
  8.00 202.48 1.8570e-06 3.1212e+03 6.0447e-02  
  8.50 202.48 1.7185e-06 2.8884e+03 5.5938e-02  
  9.00 202.48 1.5984e-06 2.6865e+03 5.2028e-02  
  9.50 202.48 1.4945e-06 2.5119e+03 4.8647e-02  
 10.00 202.48 1.4050e-06 2.3615e+03 4.5734e-02  
 10.50 202.48 1.3283e-06 2.2326e+03 4.3237e-02  
 11.00 202.48 1.2631e-06 2.1230e+03 4.1114e-02  
 11.50 202.48 1.2082e-06 2.0307e+03 3.9326e-02  
 12.00 202.48 1.1626e-06 1.9541e+03 3.7843e-02  
 
