n1=20 n2=40 s0=1.00 RC=1
  2.00  7.00 2.4352e+00 5.8468e+03 2.9889e-02  
  2.50  7.00 2.0029e+00 4.8090e+03 2.4583e-02  
  3.00  7.00 1.6686e+00 4.0063e+03 2.0480e-02  
  3.50  7.00 1.4101e+00 3.3857e+03 1.7307e-02  
  4.00  7.00 1.2106e+00 2.9066e+03 1.4858e-02  
  4.50  7.00 1.0573e+00 2.5386e+03 1.2977e-02  
  5.00  7.00 9.4069e-01 2.2586e+03 1.1546e-02  
  5.50  7.00 8.5328e-01 2.0487e+03 1.0473e-02  
  6.00  7.00 7.8959e-01 1.8958e+03 9.6913e-03  
  6.50  7.00 7.4561e-01 1.7902e+03 9.1515e-03  
  7.00  7.00 7.1849e-01 1.7251e+03 8.8186e-03  
  7.50  7.00 7.0624e-01 1.6957e+03 8.6682e-03  
  8.00  7.00 7.0758e-01 1.6989e+03 8.6847e-03  
  8.50  7.00 7.2192e-01 1.7333e+03 8.8607e-03  
  9.00  7.00 7.4919e-01 1.7988e+03 9.1954e-03  
  9.50  7.00 7.8970e-01 1.8961e+03 9.6927e-03  
 10.00  7.00 8.4421e-01 2.0269e+03 1.0362e-02  
 10.50  7.00 9.1416e-01 2.1949e+03 1.1220e-02  
 11.00  7.00 1.0015e+00 2.4047e+03 1.2293e-02  
 11.50  7.00 1.1085e+00 2.6615e+03 1.3605e-02  
 12.00  7.00 1.2378e+00 2.9719e+03 1.5192e-02  
  0.00  9.80 1.6958e+00 1.5642e+04 9.5812e-02  
  0.50  9.80 1.3166e+00 1.2144e+04 7.4388e-02  
  1.00  9.80 1.0508e+00 9.6925e+03 5.9370e-02  
  1.50  9.80 8.4971e-01 7.8375e+03 4.8007e-02  
  2.00  9.80 6.9380e-01 6.3994e+03 3.9198e-02  
  2.50  9.80 5.7196e-01 5.2756e+03 3.2315e-02  
  3.00  9.80 4.7651e-01 4.3951e+03 2.6922e-02  
  3.50  9.80 4.0166e-01 3.7048e+03 2.2693e-02  
  4.00  9.80 3.4300e-01 3.1637e+03 1.9379e-02  
  4.50  9.80 2.9710e-01 2.7403e+03 1.6785e-02  
  5.00  9.80 2.6131e-01 2.4103e+03 1.4764e-02  
  5.50  9.80 2.3362e-01 2.1548e+03 1.3199e-02  
  6.00  9.80 2.1248e-01 1.9598e+03 1.2005e-02  
  6.50  9.80 1.9670e-01 1.8143e+03 1.1113e-02  
  7.00  9.80 1.8538e-01 1.7099e+03 1.0474e-02  
  7.50  9.80 1.7790e-01 1.6409e+03 1.0051e-02  
  8.00  9.80 1.7380e-01 1.6031e+03 9.8195e-03  
  8.50  9.80 1.7277e-01 1.5936e+03 9.7612e-03  
  9.00  9.80 1.7459e-01 1.6104e+03 9.8640e-03  
  9.50  9.80 1.7920e-01 1.6529e+03 1.0125e-02  
 10.00  9.80 1.8669e-01 1.7220e+03 1.0548e-02  
 10.50  9.80 1.9714e-01 1.8183e+03 1.1138e-02  
 11.00  9.80 2.1070e-01 1.9435e+03 1.1904e-02  
 11.50  9.80 2.2787e-01 2.1018e+03 1.2874e-02  
 12.00  9.80 2.4883e-01 2.2952e+03 1.4059e-02  
  0.00 13.72 4.5762e-01 1.6215e+04 1.1724e-01  
  0.50 13.72 3.5981e-01 1.2750e+04 9.2182e-02  
  1.00 13.72 2.9028e-01 1.0286e+04 7.4370e-02  
  1.50 13.72 2.3700e-01 8.3979e+03 6.0719e-02  
  2.00 13.72 1.9515e-01 6.9149e+03 4.9997e-02  
  2.50 13.72 1.6200e-01 5.7401e+03 4.1503e-02  
  3.00 13.72 1.3566e-01 4.8068e+03 3.4754e-02  
  3.50 13.72 1.1469e-01 4.0639e+03 2.9383e-02  
  4.00 13.72 9.7990e-02 3.4722e+03 2.5105e-02  
  4.50 13.72 8.4699e-02 3.0012e+03 2.1699e-02  
  5.00 13.72 7.4134e-02 2.6269e+03 1.8993e-02  
  5.50 13.72 6.5761e-02 2.3302e+03 1.6848e-02  
  6.00 13.72 5.9168e-02 2.0965e+03 1.5159e-02  
  6.50 13.72 5.4037e-02 1.9147e+03 1.3844e-02  
  7.00 13.72 5.0116e-02 1.7758e+03 1.2840e-02  
  7.50 13.72 4.7212e-02 1.6729e+03 1.2095e-02  
  8.00 13.72 4.5185e-02 1.6011e+03 1.1576e-02  
  8.50 13.72 4.3936e-02 1.5568e+03 1.1256e-02  
  9.00 13.72 4.3383e-02 1.5372e+03 1.1115e-02  
  9.50 13.72 4.3479e-02 1.5406e+03 1.1139e-02  
 10.00 13.72 4.4217e-02 1.5668e+03 1.1328e-02  
 10.50 13.72 4.5578e-02 1.6150e+03 1.1677e-02  
 11.00 13.72 4.7547e-02 1.6848e+03 1.2181e-02  
 11.50 13.72 5.0257e-02 1.7808e+03 1.2876e-02  
 12.00 13.72 5.3678e-02 1.9020e+03 1.3752e-02  
  0.00 19.21 1.1986e-01 1.6316e+04 1.3749e-01  
  0.50 19.21 9.5548e-02 1.3006e+04 1.0960e-01  
  1.00 19.21 7.8026e-02 1.0621e+04 8.9502e-02  
  1.50 19.21 6.4423e-02 8.7694e+03 7.3898e-02  
  2.00 19.21 5.3595e-02 7.2954e+03 6.1477e-02  
  2.50 19.21 4.4897e-02 6.1115e+03 5.1500e-02  
  3.00 19.21 3.7886e-02 5.1571e+03 4.3457e-02  
  3.50 19.21 3.2222e-02 4.3861e+03 3.6960e-02  
  4.00 19.21 2.7641e-02 3.7626e+03 3.1706e-02  
  4.50 19.21 2.3936e-02 3.2582e+03 2.7456e-02  
  5.00 19.21 2.0939e-02 2.8503e+03 2.4018e-02  
  5.50 19.21 1.8517e-02 2.5206e+03 2.1241e-02  
  6.00 19.21 1.6566e-02 2.2550e+03 1.9002e-02  
  6.50 19.21 1.5003e-02 2.0422e+03 1.7209e-02  
  7.00 19.21 1.3762e-02 1.8734e+03 1.5786e-02  
  7.50 19.21 1.2792e-02 1.7413e+03 1.4673e-02  
  8.00 19.21 1.2052e-02 1.6405e+03 1.3824e-02  
  8.50 19.21 1.1511e-02 1.5669e+03 1.3204e-02  
  9.00 19.21 1.1146e-02 1.5173e+03 1.2786e-02  
  9.50 19.21 1.0941e-02 1.4893e+03 1.2550e-02  
 10.00 19.21 1.0883e-02 1.4814e+03 1.2483e-02  
 10.50 19.21 1.0966e-02 1.4927e+03 1.2578e-02  
 11.00 19.21 1.1187e-02 1.5228e+03 1.2832e-02  
 11.50 19.21 1.1547e-02 1.5718e+03 1.3245e-02  
 12.00 19.21 1.2052e-02 1.6405e+03 1.3824e-02  
  0.00 26.89 3.0989e-02 1.6205e+04 1.5743e-01  
  0.50 26.89 2.5031e-02 1.3089e+04 1.2716e-01  
  1.00 26.89 2.0680e-02 1.0814e+04 1.0506e-01  
  1.50 26.89 1.7261e-02 9.0265e+03 8.7691e-02  
  2.00 26.89 1.4507e-02 7.5861e+03 7.3697e-02  
  2.50 26.89 1.2266e-02 6.4144e+03 6.2315e-02  
  3.00 26.89 1.0436e-02 5.4575e+03 5.3019e-02  
  3.50 26.89 8.9385e-03 4.6742e+03 4.5409e-02  
  4.00 26.89 7.7108e-03 4.0322e+03 3.9172e-02  
  4.50 26.89 6.7035e-03 3.5054e+03 3.4055e-02  
  5.00 26.89 5.8765e-03 3.0730e+03 2.9854e-02  
  5.50 26.89 5.1980e-03 2.7182e+03 2.6407e-02  
  6.00 26.89 4.6420e-03 2.4274e+03 2.3582e-02  
  6.50 26.89 4.1878e-03 2.1899e+03 2.1274e-02  
  7.00 26.89 3.8183e-03 1.9967e+03 1.9397e-02  
  7.50 26.89 3.5202e-03 1.8408e+03 1.7883e-02  
  8.00 26.89 3.2830e-03 1.7168e+03 1.6678e-02  
  8.50 26.89 3.0984e-03 1.6202e+03 1.5740e-02  
  9.00 26.89 2.9593e-03 1.5475e+03 1.5034e-02  
  9.50 26.89 2.8607e-03 1.4960e+03 1.4533e-02  
 10.00 26.89 2.7989e-03 1.4636e+03 1.4219e-02  
 10.50 26.89 2.7712e-03 1.4491e+03 1.4078e-02  
 11.00 26.89 2.7759e-03 1.4516e+03 1.4102e-02  
 11.50 26.89 2.8119e-03 1.4704e+03 1.4285e-02  
 12.00 26.89 2.8792e-03 1.5056e+03 1.4627e-02  
  0.00 37.65 7.8239e-03 1.5717e+04 1.7437e-01  
  0.50 37.65 6.4048e-03 1.2866e+04 1.4275e-01  
  1.00 37.65 5.3550e-03 1.0757e+04 1.1935e-01  
  1.50 37.65 4.5195e-03 9.0792e+03 1.0073e-01  
  2.00 37.65 3.8377e-03 7.7095e+03 8.5533e-02  
  2.50 37.65 3.2761e-03 6.5813e+03 7.3017e-02  
  3.00 37.65 2.8114e-03 5.6477e+03 6.2659e-02  
  3.50 37.65 2.4259e-03 4.8734e+03 5.4068e-02  
  4.00 37.65 2.1059e-03 4.2304e+03 4.6935e-02  
  4.50 37.65 1.8399e-03 3.6961e+03 4.1006e-02  
  5.00 37.65 1.6186e-03 3.2516e+03 3.6075e-02  
  5.50 37.65 1.4345e-03 2.8818e+03 3.1972e-02  
  6.00 37.65 1.2815e-03 2.5743e+03 2.8560e-02  
  6.50 37.65 1.1543e-03 2.3189e+03 2.5727e-02  
  7.00 37.65 1.0490e-03 2.1073e+03 2.3379e-02  
  7.50 37.65 9.6211e-04 1.9328e+03 2.1443e-02  
  8.00 37.65 8.9105e-04 1.7900e+03 1.9859e-02  
  8.50 37.65 8.3353e-04 1.6745e+03 1.8577e-02  
  9.00 37.65 7.8770e-04 1.5824e+03 1.7556e-02  
  9.50 37.65 7.5223e-04 1.5111e+03 1.6765e-02  
 10.00 37.65 7.2612e-04 1.4587e+03 1.6183e-02  
 10.50 37.65 7.0844e-04 1.4232e+03 1.5789e-02  
 11.00 37.65 6.9844e-04 1.4031e+03 1.5566e-02  
 11.50 37.65 6.9568e-04 1.3975e+03 1.5505e-02  
 12.00 37.65 7.0008e-04 1.4064e+03 1.5603e-02  
  0.00 52.71 2.0208e-03 1.5595e+04 1.9597e-01  
  0.50 52.71 1.6708e-03 1.2894e+04 1.6202e-01  
  1.00 52.71 1.4092e-03 1.0876e+04 1.3666e-01  
  1.50 52.71 1.1993e-03 9.2553e+03 1.1630e-01  
  2.00 52.71 1.0265e-03 7.9215e+03 9.9539e-02  
  2.50 52.71 8.8278e-04 6.8127e+03 8.5606e-02  
  3.00 52.71 7.6278e-04 5.8866e+03 7.3969e-02  
  3.50 52.71 6.6230e-04 5.1111e+03 6.4225e-02  
  4.00 52.71 5.7802e-04 4.4607e+03 5.6052e-02  
  4.50 52.71 5.0723e-04 3.9145e+03 4.9188e-02  
  5.00 52.71 4.4772e-04 3.4552e+03 4.3416e-02  
  5.50 52.71 3.9764e-04 3.0687e+03 3.8561e-02  
  6.00 52.71 3.5552e-04 2.7436e+03 3.4475e-02  
  6.50 52.71 3.2008e-04 2.4702e+03 3.1039e-02  
  7.00 52.71 2.9031e-04 2.2404e+03 2.8152e-02  
  7.50 52.71 2.6535e-04 2.0478e+03 2.5732e-02  
  8.00 52.71 2.4452e-04 1.8871e+03 2.3712e-02  
  8.50 52.71 2.2724e-04 1.7537e+03 2.2037e-02  
  9.00 52.71 2.1303e-04 1.6440e+03 2.0659e-02  
  9.50 52.71 2.0151e-04 1.5551e+03 1.9541e-02  
 10.00 52.71 1.9238e-04 1.4846e+03 1.8655e-02  
 10.50 52.71 1.8537e-04 1.4305e+03 1.7976e-02  
 11.00 52.71 1.8029e-04 1.3913e+03 1.7483e-02  
 11.50 52.71 1.7698e-04 1.3658e+03 1.7163e-02  
 12.00 52.71 1.7535e-04 1.3533e+03 1.7005e-02  
  0.00 73.79 5.1296e-04 1.5208e+04 2.1486e-01  
  0.50 73.79 4.2882e-04 1.2713e+04 1.7962e-01  
  1.00 73.79 3.6519e-04 1.0827e+04 1.5297e-01  
  1.50 73.79 3.1357e-04 9.2964e+03 1.3134e-01  
  2.00 73.79 2.7064e-04 8.0236e+03 1.1336e-01  
  2.50 73.79 2.3458e-04 6.9546e+03 9.8258e-02  
  3.00 73.79 2.0416e-04 6.0527e+03 8.5516e-02  
  3.50 73.79 1.7843e-04 5.2899e+03 7.4739e-02  
  4.00 73.79 1.5664e-04 4.6437e+03 6.5609e-02  
  4.50 73.79 1.3815e-04 4.0956e+03 5.7865e-02  
  5.00 73.79 1.2244e-04 3.6301e+03 5.1288e-02  
  5.50 73.79 1.0910e-04 3.2344e+03 4.5697e-02  
  6.00 73.79 9.7750e-05 2.8980e+03 4.0944e-02  
  6.50 73.79 8.8101e-05 2.6119e+03 3.6902e-02  
  7.00 73.79 7.9898e-05 2.3687e+03 3.3466e-02  
  7.50 73.79 7.2934e-05 2.1623e+03 3.0549e-02  
  8.00 73.79 6.7035e-05 1.9874e+03 2.8078e-02  
  8.50 73.79 6.2057e-05 1.8398e+03 2.5993e-02  
  9.00 73.79 5.7878e-05 1.7159e+03 2.4243e-02  
  9.50 73.79 5.4395e-05 1.6126e+03 2.2784e-02  
 10.00 73.79 5.1527e-05 1.5276e+03 2.1583e-02  
 10.50 73.79 4.9207e-05 1.4588e+03 2.0611e-02  
 11.00 73.79 4.7376e-05 1.4045e+03 1.9844e-02  
 11.50 73.79 4.5991e-05 1.3635e+03 1.9264e-02  
 12.00 73.79 4.5018e-05 1.3346e+03 1.8856e-02  
  0.00 103.31 1.2978e-04 1.4781e+04 2.3328e-01  
  0.50 103.31 1.0949e-04 1.2470e+04 1.9682e-01  
  1.00 103.31 9.4006e-05 1.0706e+04 1.6898e-01  
  1.50 103.31 8.1331e-05 9.2629e+03 1.4620e-01  
  2.00 103.31 7.0698e-05 8.0519e+03 1.2708e-01  
  2.50 103.31 6.1689e-05 7.0258e+03 1.1089e-01  
  3.00 103.31 5.4022e-05 6.1526e+03 9.7106e-02  
  3.50 103.31 4.7481e-05 5.4076e+03 8.5348e-02  
  4.00 103.31 4.1891e-05 4.7710e+03 7.5300e-02  
  4.50 103.31 3.7107e-05 4.2261e+03 6.6700e-02  
  5.00 103.31 3.3007e-05 3.7592e+03 5.9331e-02  
  5.50 103.31 2.9491e-05 3.3588e+03 5.3011e-02  
  6.00 103.31 2.6474e-05 3.0151e+03 4.7587e-02  
  6.50 103.31 2.3883e-05 2.7200e+03 4.2929e-02  
  7.00 103.31 2.1657e-05 2.4665e+03 3.8929e-02  
  7.50 103.31 1.9746e-05 2.2489e+03 3.5495e-02  
  8.00 103.31 1.8108e-05 2.0624e+03 3.2550e-02  
  8.50 103.31 1.6705e-05 1.9026e+03 3.0029e-02  
  9.00 103.31 1.5508e-05 1.7662e+03 2.7875e-02  
  9.50 103.31 1.4490e-05 1.6503e+03 2.6046e-02  
 10.00 103.31 1.3630e-05 1.5523e+03 2.4499e-02  
 10.50 103.31 1.2907e-05 1.4700e+03 2.3201e-02  
 11.00 103.31 1.2308e-05 1.4018e+03 2.2125e-02  
 11.50 103.31 1.1823e-05 1.3465e+03 2.1252e-02  
 12.00 103.31 1.1438e-05 1.3027e+03 2.0560e-02  
  0.00 144.63 3.2800e-05 1.4351e+04 2.5155e-01  
  0.50 144.63 2.7918e-05 1.2215e+04 2.1411e-01  
  1.00 144.63 2.4152e-05 1.0567e+04 1.8523e-01  
  1.50 144.63 2.1042e-05 9.2066e+03 1.6138e-01  
  2.00 144.63 1.8412e-05 8.0557e+03 1.4121e-01  
  2.50 144.63 1.6165e-05 7.0727e+03 1.2397e-01  
  3.00 144.63 1.4238e-05 6.2294e+03 1.0919e-01  
  3.50 144.63 1.2580e-05 5.5042e+03 9.6482e-02  
  4.00 144.63 1.1153e-05 4.8796e+03 8.5534e-02  
  4.50 144.63 9.9216e-06 4.3409e+03 7.6091e-02  
  5.00 144.63 8.8584e-06 3.8757e+03 6.7937e-02  
  5.50 144.63 7.9393e-06 3.4736e+03 6.0888e-02  
  6.00 144.63 7.1442e-06 3.1257e+03 5.4790e-02  
  6.50 144.63 6.4557e-06 2.8245e+03 4.9510e-02  
  7.00 144.63 5.8593e-06 2.5636e+03 4.4936e-02  
  7.50 144.63 5.3428e-06 2.3376e+03 4.0975e-02  
  8.00 144.63 4.8955e-06 2.1419e+03 3.7545e-02  
  8.50 144.63 4.5083e-06 1.9725e+03 3.4575e-02  
  9.00 144.63 4.1735e-06 1.8260e+03 3.2007e-02  
  9.50 144.63 3.8849e-06 1.6997e+03 2.9794e-02  
 10.00 144.63 3.6370e-06 1.5913e+03 2.7893e-02  
 10.50 144.63 3.4245e-06 1.4983e+03 2.6264e-02  
 11.00 144.63 3.2438e-06 1.4192e+03 2.4877e-02  
 11.50 144.63 3.0914e-06 1.3526e+03 2.3709e-02  
 12.00 144.63 2.9644e-06 1.2970e+03 2.2735e-02  
  0.00 202.48 8.2796e-06 1.3916e+04 2.6951e-01  
  0.50 202.48 7.1107e-06 1.1952e+04 2.3146e-01  
  1.00 202.48 6.2027e-06 1.0425e+04 2.0190e-01  
  1.50 202.48 5.4475e-06 9.1561e+03 1.7732e-01  
  2.00 202.48 4.8039e-06 8.0744e+03 1.5637e-01  
  2.50 202.48 4.2502e-06 7.1436e+03 1.3835e-01  
  3.00 202.48 3.7717e-06 6.3395e+03 1.2277e-01  
  3.50 202.48 3.3574e-06 5.6431e+03 1.0929e-01  
  4.00 202.48 2.9981e-06 5.0392e+03 9.7591e-02  
  4.50 202.48 2.6862e-06 4.5149e+03 8.7437e-02  
  5.00 202.48 2.4151e-06 4.0593e+03 7.8613e-02  
  5.50 202.48 2.1793e-06 3.6629e+03 7.0937e-02  
  6.00 202.48 1.9741e-06 3.3180e+03 6.4257e-02  
  6.50 202.48 1.7954e-06 3.0177e+03 5.8442e-02  
  7.00 202.48 1.6399e-06 2.7563e+03 5.3379e-02  
  7.50 202.48 1.5045e-06 2.5287e+03 4.8972e-02  
  8.00 202.48 1.3867e-06 2.3308e+03 4.5139e-02  
  8.50 202.48 1.2844e-06 2.1589e+03 4.1809e-02  
  9.00 202.48 1.1957e-06 2.0097e+03 3.8921e-02  
  9.50 202.48 1.1190e-06 1.8808e+03 3.6424e-02  
 10.00 202.48 1.0529e-06 1.7697e+03 3.4273e-02  
 10.50 202.48 9.9631e-07 1.6746e+03 3.2430e-02  
 11.00 202.48 9.4819e-07 1.5937e+03 3.0864e-02  
 11.50 202.48 9.0771e-07 1.5257e+03 2.9546e-02  
 12.00 202.48 8.7417e-07 1.4693e+03 2.8455e-02  
 
