n1=20 n2=20 s0=2.00 RC=1
 11.50  7.00 9.0207e-01 2.1659e+03 1.1072e-02  
 12.00  7.00 1.0091e+00 2.4228e+03 1.2386e-02  
  0.00  9.80 1.0114e+00 9.3293e+03 5.7145e-02  
  0.50  9.80 7.9899e-01 7.3696e+03 4.5141e-02  
  1.00  9.80 6.4839e-01 5.9805e+03 3.6633e-02  
  1.50  9.80 5.3306e-01 4.9167e+03 3.0117e-02  
  2.00  9.80 4.4252e-01 4.0817e+03 2.5002e-02  
  2.50  9.80 3.7093e-01 3.4213e+03 2.0957e-02  
  3.00  9.80 3.1423e-01 2.8984e+03 1.7754e-02  
  3.50  9.80 2.6935e-01 2.4844e+03 1.5218e-02  
  4.00  9.80 2.3387e-01 2.1572e+03 1.3213e-02  
  4.50  9.80 2.0595e-01 1.8996e+03 1.1636e-02  
  5.00  9.80 1.8414e-01 1.6984e+03 1.0404e-02  
  5.50  9.80 1.6729e-01 1.5431e+03 9.4517e-03  
  6.00  9.80 1.5454e-01 1.4254e+03 8.7310e-03  
  6.50  9.80 1.4521e-01 1.3393e+03 8.2038e-03  
  7.00  9.80 1.3881e-01 1.2803e+03 7.8422e-03  
  7.50  9.80 1.3498e-01 1.2450e+03 7.6259e-03  
  8.00  9.80 1.3348e-01 1.2312e+03 7.5413e-03  
  8.50  9.80 1.3418e-01 1.2376e+03 7.5807e-03  
  9.00  9.80 1.3700e-01 1.2637e+03 7.7404e-03  
  9.50  9.80 1.4195e-01 1.3093e+03 8.0200e-03  
 10.00  9.80 1.4910e-01 1.3753e+03 8.4240e-03  
 10.50  9.80 1.5861e-01 1.4630e+03 8.9613e-03  
 11.00  9.80 1.7068e-01 1.5743e+03 9.6431e-03  
 11.50  9.80 1.8559e-01 1.7118e+03 1.0485e-02  
 12.00  9.80 2.0372e-01 1.8791e+03 1.1510e-02  
  0.00 13.72 2.8890e-01 1.0237e+04 7.4015e-02  
  0.50 13.72 2.2952e-01 8.1329e+03 5.8803e-02  
  1.00 13.72 1.8703e-01 6.6271e+03 4.7915e-02  
  1.50 13.72 1.5419e-01 5.4635e+03 3.9503e-02  
  2.00 13.72 1.2820e-01 4.5427e+03 3.2845e-02  
  2.50 13.72 1.0748e-01 3.8083e+03 2.7535e-02  
  3.00 13.72 9.0903e-02 3.2210e+03 2.3289e-02  
  3.50 13.72 7.7646e-02 2.7513e+03 1.9893e-02  
  4.00 13.72 6.7051e-02 2.3759e+03 1.7178e-02  
  4.50 13.72 5.8593e-02 2.0762e+03 1.5011e-02  
  5.00 13.72 5.1857e-02 1.8375e+03 1.3286e-02  
  5.50 13.72 4.6523e-02 1.6485e+03 1.1919e-02  
  6.00 13.72 4.2342e-02 1.5003e+03 1.0848e-02  
  6.50 13.72 3.9120e-02 1.3862e+03 1.0022e-02  
  7.00 13.72 3.6703e-02 1.3005e+03 9.4031e-03  
  7.50 13.72 3.4975e-02 1.2393e+03 8.9604e-03  
  8.00 13.72 3.3852e-02 1.1995e+03 8.6727e-03  
  8.50 13.72 3.3274e-02 1.1790e+03 8.5245e-03  
  9.00 13.72 3.3198e-02 1.1763e+03 8.5052e-03  
  9.50 13.72 3.3604e-02 1.1907e+03 8.6091e-03  
 10.00 13.72 3.4486e-02 1.2220e+03 8.8351e-03  
 10.50 13.72 3.5851e-02 1.2703e+03 9.1849e-03  
 11.00 13.72 3.7722e-02 1.3366e+03 9.6641e-03  
 11.50 13.72 4.0135e-02 1.4221e+03 1.0282e-02  
 12.00 13.72 4.3142e-02 1.5287e+03 1.1053e-02  
  0.00 19.21 7.9106e-02 1.0768e+04 9.0740e-02  
  0.50 19.21 6.3499e-02 8.6436e+03 7.2838e-02  
  1.00 19.21 5.2195e-02 7.1049e+03 5.9872e-02  
  1.50 19.21 4.3367e-02 5.9032e+03 4.9745e-02  
  2.00 19.21 3.6303e-02 4.9416e+03 4.1642e-02  
  2.50 19.21 3.0603e-02 4.1657e+03 3.5103e-02  
  3.00 19.21 2.5991e-02 3.5380e+03 2.9814e-02  
  3.50 19.21 2.2257e-02 3.0296e+03 2.5530e-02  
  4.00 19.21 1.9231e-02 2.6178e+03 2.2059e-02  
  4.50 19.21 1.6781e-02 2.2842e+03 1.9248e-02  
  5.00 19.21 1.4799e-02 2.0144e+03 1.6975e-02  
  5.50 19.21 1.3200e-02 1.7969e+03 1.5142e-02  
  6.00 19.21 1.1917e-02 1.6222e+03 1.3670e-02  
  6.50 19.21 1.0896e-02 1.4832e+03 1.2498e-02  
  7.00 19.21 1.0094e-02 1.3740e+03 1.1578e-02  
  7.50 19.21 9.4784e-03 1.2902e+03 1.0872e-02  
  8.00 19.21 9.0235e-03 1.2283e+03 1.0351e-02  
  8.50 19.21 8.7099e-03 1.1856e+03 9.9908e-03  
  9.00 19.21 8.5233e-03 1.1602e+03 9.7768e-03  
  9.50 19.21 8.4543e-03 1.1508e+03 9.6977e-03  
 10.00 19.21 8.4963e-03 1.1565e+03 9.7459e-03  
 10.50 19.21 8.6461e-03 1.1769e+03 9.9176e-03  
 11.00 19.21 8.9046e-03 1.2121e+03 1.0214e-02  
 11.50 19.21 9.2750e-03 1.2625e+03 1.0639e-02  
 12.00 19.21 9.7627e-03 1.3289e+03 1.1198e-02  
  0.00 26.89 2.1108e-02 1.1038e+04 1.0723e-01  
  0.50 26.89 1.7120e-02 8.9525e+03 8.6972e-02  
  1.00 26.89 1.4199e-02 7.4252e+03 7.2135e-02  
  1.50 26.89 1.1895e-02 6.2202e+03 6.0428e-02  
  2.00 26.89 1.0032e-02 5.2460e+03 5.0964e-02  
  2.50 26.89 8.5133e-03 4.4518e+03 4.3249e-02  
  3.00 26.89 7.2701e-03 3.8017e+03 3.6933e-02  
  3.50 26.89 6.2515e-03 3.2691e+03 3.1759e-02  
  4.00 26.89 5.4163e-03 2.8323e+03 2.7516e-02  
  4.50 26.89 4.7306e-03 2.4738e+03 2.4032e-02  
  5.00 26.89 4.1678e-03 2.1794e+03 2.1173e-02  
  5.50 26.89 3.7072e-03 1.9386e+03 1.8833e-02  
  6.00 26.89 3.3313e-03 1.7420e+03 1.6924e-02  
  6.50 26.89 3.0248e-03 1.5817e+03 1.5366e-02  
  7.00 26.89 2.7759e-03 1.4516e+03 1.4102e-02  
  7.50 26.89 2.5768e-03 1.3475e+03 1.3091e-02  
  8.00 26.89 2.4213e-03 1.2662e+03 1.2300e-02  
  8.50 26.89 2.3031e-03 1.2043e+03 1.1700e-02  
  9.00 26.89 2.2169e-03 1.1593e+03 1.1262e-02  
  9.50 26.89 2.1601e-03 1.1296e+03 1.0974e-02  
 10.00 26.89 2.1307e-03 1.1142e+03 1.0824e-02  
 10.50 26.89 2.1263e-03 1.1119e+03 1.0802e-02  
 11.00 26.89 2.1463e-03 1.1223e+03 1.0903e-02  
 11.50 26.89 2.1907e-03 1.1456e+03 1.1129e-02  
 12.00 26.89 2.2593e-03 1.1814e+03 1.1478e-02  
  0.00 37.65 5.5419e-03 1.1133e+04 1.2351e-01  
  0.50 37.65 4.5561e-03 9.1526e+03 1.0154e-01  
  1.00 37.65 3.8237e-03 7.6814e+03 8.5221e-02  
  1.50 37.65 3.2380e-03 6.5047e+03 7.2167e-02  
  2.00 37.65 2.7579e-03 5.5403e+03 6.1467e-02  
  2.50 37.65 2.3609e-03 4.7428e+03 5.2619e-02  
  3.00 37.65 2.0315e-03 4.0811e+03 4.5277e-02  
  3.50 37.65 1.7576e-03 3.5308e+03 3.9173e-02  
  4.00 37.65 1.5297e-03 3.0729e+03 3.4092e-02  
  4.50 37.65 1.3398e-03 2.6916e+03 2.9862e-02  
  5.00 37.65 1.1817e-03 2.3739e+03 2.6337e-02  
  5.50 37.65 1.0499e-03 2.1092e+03 2.3400e-02  
  6.00 37.65 9.4021e-04 1.8888e+03 2.0955e-02  
  6.50 37.65 8.4904e-04 1.7056e+03 1.8923e-02  
  7.00 37.65 7.7351e-04 1.5539e+03 1.7240e-02  
  7.50 37.65 7.1123e-04 1.4288e+03 1.5851e-02  
  8.00 37.65 6.6026e-04 1.3264e+03 1.4716e-02  
  8.50 37.65 6.1907e-04 1.2436e+03 1.3798e-02  
  9.00 37.65 5.8640e-04 1.1780e+03 1.3069e-02  
  9.50 37.65 5.6124e-04 1.1275e+03 1.2509e-02  
 10.00 37.65 5.4280e-04 1.0904e+03 1.2098e-02  
 10.50 37.65 5.3049e-04 1.0657e+03 1.1823e-02  
 11.00 37.65 5.2385e-04 1.0524e+03 1.1675e-02  
 11.50 37.65 5.2260e-04 1.0498e+03 1.1647e-02  
 12.00 37.65 5.2656e-04 1.0578e+03 1.1736e-02  
  0.00 52.71 1.4398e-03 1.1111e+04 1.3962e-01  
  0.50 52.71 1.1915e-03 9.1949e+03 1.1554e-01  
  1.00 52.71 1.0057e-03 7.7615e+03 9.7529e-02  
  1.50 52.71 8.5648e-04 6.6097e+03 8.3056e-02  
  2.00 52.71 7.3355e-04 5.6610e+03 7.1135e-02  
  2.50 52.71 6.3135e-04 4.8724e+03 6.1224e-02  
  3.00 52.71 5.4605e-04 4.2140e+03 5.2952e-02  
  3.50 52.71 4.7468e-04 3.6633e+03 4.6032e-02  
  4.00 52.71 4.1490e-04 3.2019e+03 4.0234e-02  
  4.50 52.71 3.6476e-04 2.8149e+03 3.5372e-02  
  5.00 52.71 3.2267e-04 2.4902e+03 3.1291e-02  
  5.50 52.71 2.8734e-04 2.2175e+03 2.7864e-02  
  6.00 52.71 2.5768e-04 1.9886e+03 2.4988e-02  
  6.50 52.71 2.3281e-04 1.7967e+03 2.2577e-02  
  7.00 52.71 2.1200e-04 1.6361e+03 2.0559e-02  
  7.50 52.71 1.9465e-04 1.5022e+03 1.8876e-02  
  8.00 52.71 1.8025e-04 1.3911e+03 1.7480e-02  
  8.50 52.71 1.6841e-04 1.2997e+03 1.6332e-02  
  9.00 52.71 1.5880e-04 1.2255e+03 1.5399e-02  
  9.50 52.71 1.5114e-04 1.1664e+03 1.4657e-02  
 10.00 52.71 1.4523e-04 1.1208e+03 1.4083e-02  
 10.50 52.71 1.4089e-04 1.0873e+03 1.3662e-02  
 11.00 52.71 1.3800e-04 1.0650e+03 1.3382e-02  
 11.50 52.71 1.3644e-04 1.0530e+03 1.3231e-02  
 12.00 52.71 1.3618e-04 1.0510e+03 1.3206e-02  
  0.00 73.79 3.7142e-04 1.1012e+04 1.5558e-01  
  0.50 73.79 3.1259e-04 9.2673e+03 1.3093e-01  
  1.00 73.79 2.6790e-04 7.9424e+03 1.1221e-01  
  1.50 73.79 2.3140e-04 6.8604e+03 9.6927e-02  
  2.00 73.79 2.0086e-04 5.9548e+03 8.4133e-02  
  2.50 73.79 1.7507e-04 5.1901e+03 7.3329e-02  
  3.00 73.79 1.5321e-04 4.5422e+03 6.4174e-02  
  3.50 73.79 1.3466e-04 3.9922e+03 5.6404e-02  
  4.00 73.79 1.1890e-04 3.5250e+03 4.9803e-02  
  4.50 73.79 1.0550e-04 3.1279e+03 4.4192e-02  
  5.00 73.79 9.4114e-05 2.7902e+03 3.9421e-02  
  5.50 73.79 8.4428e-05 2.5030e+03 3.5364e-02  
  6.00 73.79 7.6196e-05 2.2590e+03 3.1916e-02  
  6.50 73.79 6.9208e-05 2.0518e+03 2.8989e-02  
  7.00 73.79 6.3287e-05 1.8762e+03 2.6508e-02  
  7.50 73.79 5.8285e-05 1.7280e+03 2.4413e-02  
  8.00 73.79 5.4079e-05 1.6033e+03 2.2652e-02  
  8.50 73.79 5.0565e-05 1.4991e+03 2.1180e-02  
  9.00 73.79 4.7657e-05 1.4129e+03 1.9962e-02  
  9.50 73.79 4.5287e-05 1.3426e+03 1.8969e-02  
 10.00 73.79 4.3400e-05 1.2867e+03 1.8179e-02  
 10.50 73.79 4.1948e-05 1.2436e+03 1.7571e-02  
 11.00 73.79 4.0892e-05 1.2123e+03 1.7128e-02  
 11.50 73.79 4.0205e-05 1.1919e+03 1.6840e-02  
 12.00 73.79 3.9865e-05 1.1819e+03 1.6698e-02  
  0.00 103.31 9.5346e-05 1.0859e+04 1.7139e-01  
  0.50 103.31 8.0279e-05 9.1430e+03 1.4430e-01  
  1.00 103.31 6.8787e-05 7.8342e+03 1.2365e-01  
  1.50 103.31 5.9397e-05 6.7648e+03 1.0677e-01  
  2.00 103.31 5.1538e-05 5.8697e+03 9.2641e-02  
  2.50 103.31 4.4896e-05 5.1133e+03 8.0702e-02  
  3.00 103.31 3.9261e-05 4.4714e+03 7.0572e-02  
  3.50 103.31 3.4467e-05 3.9255e+03 6.1955e-02  
  4.00 103.31 3.0383e-05 3.4603e+03 5.4613e-02  
  4.50 103.31 2.6898e-05 3.0634e+03 4.8349e-02  
  5.00 103.31 2.3922e-05 2.7245e+03 4.3000e-02  
  5.50 103.31 2.1377e-05 2.4347e+03 3.8426e-02  
  6.00 103.31 1.9201e-05 2.1868e+03 3.4513e-02  
  6.50 103.31 1.7338e-05 1.9746e+03 3.1165e-02  
  7.00 103.31 1.5744e-05 1.7931e+03 2.8300e-02  
  7.50 103.31 1.4381e-05 1.6378e+03 2.5850e-02  
  8.00 103.31 1.3217e-05 1.5053e+03 2.3757e-02  
  8.50 103.31 1.2225e-05 1.3923e+03 2.1975e-02  
  9.00 103.31 1.1383e-05 1.2964e+03 2.0461e-02  
  9.50 103.31 1.0672e-05 1.2154e+03 1.9183e-02  
 10.00 103.31 1.0076e-05 1.1476e+03 1.8112e-02  
 10.50 103.31 9.5825e-06 1.0914e+03 1.7225e-02  
 11.00 103.31 9.1802e-06 1.0455e+03 1.6502e-02  
 11.50 103.31 8.8600e-06 1.0091e+03 1.5926e-02  
 12.00 103.31 8.6149e-06 9.8116e+02 1.5485e-02  
  0.00 144.63 2.4391e-05 1.0671e+04 1.8706e-01  
  0.50 144.63 2.0842e-05 9.1188e+03 1.5984e-01  
  1.00 144.63 1.8084e-05 7.9124e+03 1.3869e-01  
  1.50 144.63 1.5786e-05 6.9069e+03 1.2107e-01  
  2.00 144.63 1.3824e-05 6.0483e+03 1.0602e-01  
  2.50 144.63 1.2132e-05 5.3082e+03 9.3047e-02  
  3.00 144.63 1.0669e-05 4.6678e+03 8.1820e-02  
  3.50 144.63 9.3992e-06 4.1124e+03 7.2085e-02  
  4.00 144.63 8.2969e-06 3.6301e+03 6.3631e-02  
  4.50 144.63 7.3384e-06 3.2107e+03 5.6280e-02  
  5.00 144.63 6.5037e-06 2.8455e+03 4.9879e-02  
  5.50 144.63 5.7760e-06 2.5271e+03 4.4297e-02  
  6.00 144.63 5.1408e-06 2.2492e+03 3.9426e-02  
  6.50 144.63 4.5857e-06 2.0063e+03 3.5169e-02  
  7.00 144.63 4.0997e-06 1.7937e+03 3.1442e-02  
  7.50 144.63 3.6739e-06 1.6074e+03 2.8176e-02  
  8.00 144.63 3.3004e-06 1.4440e+03 2.5311e-02  
  8.50 144.63 2.9723e-06 1.3004e+03 2.2795e-02  
  9.00 144.63 2.6836e-06 1.1742e+03 2.0582e-02  
  9.50 144.63 2.4295e-06 1.0630e+03 1.8632e-02  
 10.00 144.63 2.2055e-06 9.6494e+02 1.6914e-02  
 10.50 144.63 2.0077e-06 8.7844e+02 1.5398e-02  
 11.00 144.63 1.8331e-06 8.0201e+02 1.4058e-02  
 11.50 144.63 1.6787e-06 7.3445e+02 1.2874e-02  
 12.00 144.63 1.5420e-06 6.7464e+02 1.1826e-02  
  0.00 202.48 6.2234e-06 1.0460e+04 2.0258e-01  
  0.50 202.48 5.3590e-06 9.0073e+03 1.7444e-01  
  1.00 202.48 4.6845e-06 7.8736e+03 1.5248e-01  
  1.50 202.48 4.1209e-06 6.9264e+03 1.3414e-01  
  2.00 202.48 3.6386e-06 6.1158e+03 1.1844e-01  
  2.50 202.48 3.2222e-06 5.4158e+03 1.0488e-01  
  3.00 202.48 2.8612e-06 4.8091e+03 9.3134e-02  
  3.50 202.48 2.5476e-06 4.2820e+03 8.2926e-02  
  4.00 202.48 2.2748e-06 3.8234e+03 7.4046e-02  
  4.50 202.48 2.0372e-06 3.4241e+03 6.6313e-02  
  5.00 202.48 1.8301e-06 3.0760e+03 5.9571e-02  
  5.50 202.48 1.6494e-06 2.7722e+03 5.3688e-02  
  6.00 202.48 1.4914e-06 2.5068e+03 4.8547e-02  
  6.50 202.48 1.3534e-06 2.2747e+03 4.4053e-02  
  7.00 202.48 1.2326e-06 2.0717e+03 4.0120e-02  
  7.50 202.48 1.1267e-06 1.8938e+03 3.6676e-02  
  8.00 202.48 1.0340e-06 1.7379e+03 3.3656e-02  
  8.50 202.48 9.5262e-07 1.6011e+03 3.1008e-02  
  9.00 202.48 8.8130e-07 1.4813e+03 2.8687e-02  
  9.50 202.48 8.1875e-07 1.3762e+03 2.6651e-02  
 10.00 202.48 7.6390e-07 1.2840e+03 2.4866e-02  
 10.50 202.48 7.1585e-07 1.2032e+03 2.3301e-02  
 11.00 202.48 6.7379e-07 1.1325e+03 2.1932e-02  
 11.50 202.48 6.3705e-07 1.0707e+03 2.0736e-02  
 12.00 202.48 6.0503e-07 1.0169e+03 1.9694e-02  
 
