# towers masked in DAQ
Crystal EB-02 199 CH_GAIN_ZERO_ERROR
Crystal EB-03 260 CH_GAIN_ZERO_ERROR
Crystal EB-06 441 CH_GAIN_ZERO_ERROR

# problems with low gain
Crystal EB-15 19 PEDESTAL_LOW_GAIN_MEAN_ERROR
Crystal EB-15 19 PEDESTAL_LOW_GAIN_RMS_ERROR
Crystal EB-15 19 TESTPULSE_LOW_GAIN_MEAN_ERROR
Crystal EB-15 19 TESTPULSE_LOW_GAIN_RMS_ERROR

# pedestal offset problems
Crystal EB+02 1006 pedestal_problem
Crystal EB+02 1007 pedestal_problem
Crystal EB+02 1008 pedestal_problem
Crystal EB+02 1009 pedestal_problem
Crystal EB+02 1010 pedestal_problem
Crystal EB+06 1528 PEDESTAL_LOW_GAIN_MEAN_ERROR
Crystal EB+06 1528 PEDESTAL_MIDDLE_GAIN_MEAN_ERROR
Crystal EB+06 1528 PEDESTAL_HIGH_GAIN_MEAN_ERROR
Crystal EB+06 1528 PEDESTAL_ONLINE_HIGH_GAIN_MEAN_ERROR
Crystal EB+11 445 PEDESTAL_LOW_GAIN_MEAN_ERROR
Crystal EB+11 445 PEDESTAL_MIDDLE_GAIN_MEAN_ERROR
Crystal EB+11 445 PEDESTAL_HIGH_GAIN_MEAN_ERROR
Crystal EB+11 445 PEDESTAL_ONLINE_HIGH_GAIN_MEAN_ERROR
