M_H_GeV  alpha_s(M_H)              m_b(M_H)
166.00   0.1090576378299101        2.702273998371405
168.00   0.1088762565498280        2.699736880546479
170.00   0.1086976264132345        2.697236768100872
172.00   0.1085216730286527        2.694772682662627
174.00   0.1083483248695356        2.692158902993481
175.00   0.1082626061456643        2.690835258853833
176.00   0.1081775131319790        2.689520970115657
178.00   0.1080091716010477        2.686919979778216
180.00   0.1078432365251026        2.684354995828126
182.00   0.1076796464975648        2.681825116107832
184.00   0.1075183423456006        2.679329470857531
185.00   0.1074385295663048        2.678094222845056
186.00   0.1073592670252505        2.676867221209191
188.00   0.1072023655225628        2.674437557766122
190.00   0.1070475847603299        2.672039699262359
192.00   0.1068948735100504        2.669672891296590
194.00   0.1067441823087757        2.667336405135738
195.00   0.1066695792326830        2.666179311742063
196.00   0.1065954633805209        2.665029536583695
198.00   0.1064486705619445        2.662751604911008
200.00   0.1063037592320259        2.660501951841669
202.00   0.1061606862454862        2.658279940593411
204.00   0.1060194098697177        2.656084954968170
206.00   0.1058798897250061        2.653916398489646
208.00   0.1057420867278407        2.651773693585058
210.00   0.1056059630371265        2.649656280808449
212.00   0.1054714820031230        2.647563618103046
214.00   0.1053386081189459        2.645495180100344
216.00   0.1052073069744820        2.643450457453787
218.00   0.1050775452125736        2.641428956205008
220.00   0.1049492904873432        2.639430197180754
222.00   0.1048225114245334        2.637453715418765
224.00   0.1046971775837477        2.635499059620937
226.00   0.1045732594224863        2.633565791632262
228.00   0.1044507282618730        2.631653485944097
230.00   0.1043295562539841        2.629761729220434
232.00   0.1042097163506863        2.627890119845907
234.00   0.1040911822739051        2.626038267494351
236.00   0.1039739284872443        2.624205792716829
238.00   0.1038579301688846        2.622392326548081
240.00   0.1037431631856945        2.620597510130410
242.00   0.1036296040684870        2.618820994354112
244.00   0.1035172299883656        2.617062439513585
246.00   0.1034060187340998        2.615321514978305
248.00   0.1032959486904799        2.613597898877910
250.00   0.1031869988175995        2.611891277800687
252.00   0.1030791486310190        2.610201346504775
254.00   0.1029723781827672        2.608527807641464
256.00   0.1028666680431369        2.606870371489979
258.00   0.1027619992832376        2.605228755703195
260.00   0.1026583534582670        2.603602685063752
262.00   0.1025557125914664        2.601991891250051
264.00   0.1024540591587271        2.600396112611680
266.00   0.1023533760738174        2.598815093953814
268.00   0.1022536466741990        2.597248586330145
270.00   0.1021548547074065        2.595696346843987
272.00   0.1020569843179635        2.594158138457119
274.00   0.1019600200348091        2.592633729806065
276.00   0.1018639467592132        2.591122895025423
278.00   0.1017687497531560        2.589625413577961
280.00   0.1016744146281530        2.588141070091138
282.00   0.1015809273345030        2.586669654199802
284.00   0.1014882741509424        2.585210960394743
286.00   0.1013964416746854        2.583764787876895
288.00   0.1013054168118352        2.582330940416889
290.00   0.1012151867681487        2.580909226219760
295.00   0.1009930076310410        2.577406803595476
300.00   0.1007755309201031        2.573976235722093
305.00   0.1005625790637551        2.570614856685936
310.00   0.1003539840188679        2.567320141865009
315.00   0.1001495866134837        2.564089698275255
320.00   9.9949235944602671E-002   2.560921255719358
325.00   9.9752788825636068E-002   2.557812658659847
330.00   9.9560109278726897E-002   2.554761858747033
335.00   9.9371068067670820E-002   2.551766907939859
340.00   9.9185542267632695E-002   2.548825952164503
345.00   9.9003414868261169E-002   2.545937225461361
350.00   9.8824574407162441E-002   2.543099044576309
360.00   9.8476334181847675E-002   2.537567971116001
370.00   9.8140028586315320E-002   2.532220738680304
380.00   9.7814934128952979E-002   2.527046392892858
390.00   9.7500389074905158E-002   2.522034903258478
400.00   9.7195786730454342E-002   2.517177063620714
420.00   9.6614224328098713E-002   2.507889122736761
440.00   9.6066290182786021E-002   2.499122378507322
450.00   9.5803857668606093E-002   2.494918057523675
460.00   9.5548603212299937E-002   2.490825295849356
480.00   9.5058253150574187E-002   2.482953433533635
500.00   9.4592718320013328E-002   2.475468216097123
520.00   9.4149800441013468E-002   2.468335958416337
540.00   9.3727572436768006E-002   2.461527083352413
550.00   9.3523678537140442E-002   2.458235636400752
560.00   9.3324336262844240E-002   2.455015488594747
580.00   9.2938588550709467E-002   2.448778029993881
600.00   9.2568992400573480E-002   2.442794096714388
620.00   9.2214354056638345E-002   2.437045259402753
640.00   9.1873603490910227E-002   2.431514976893179
650.00   9.1708131515955194E-002   2.428827079514242
660.00   9.1545778140044609E-002   2.426188350203164
680.00   9.1230009204001927E-002   2.421051915004410
700.00   9.0925510040124391E-002   2.416093465606210
720.00   9.0631566281940051E-002   2.411301904909802
740.00   9.0347527385968185E-002   2.406667115892304
750.00   9.0209034609233157E-002   2.404405589653002
760.00   9.0072799367426473E-002   2.402179851036914
780.00   8.9806838530963690E-002   2.397831636800374
800.00   8.9549146038282096E-002   2.393614690742172
820.00   8.9299263182941693E-002   2.389521849364818
840.00   8.9056767265392606E-002   2.385546505054964
850.00   8.8938166261822174E-002   2.383600967672551
860.00   8.8821267979603130E-002   2.381682550789547
880.00   8.8592404237480826E-002   2.377924331493492
900.00   8.8369841369356467E-002   2.374266601116705
920.00   8.8153268648674746E-002   2.370704484646444
940.00   8.7942397097151001E-002   2.367233444393195
950.00   8.7839014416200623E-002   2.365530744605366
960.00   8.7736957533354934E-002   2.363849249989070
980.00   8.7536698833238807E-002   2.360547951621465
1000.0   8.7341386375755267E-002   2.357325856094515
