#             eta             phi             dep             det            Mask       FGBitInfo           auxi1           auxi2
               -4               4               2              HB               0         2883614               0               0 
               -4               4               3              HB               0         2883614               0               0 
               -4               4               4              HB               0         2883614               0               0 
               -5               4               1              HB               0         2883614               0               0 
               -5               4               2              HB               0         2883614               0               0 
               -5               4               3              HB               0         2883614               0               0 
               -5               4               4              HB               0         2883614               0               0 
               -6               4               1              HB               0         2883614               0               0 
               -6               4               2              HB               0         2883614               0               0 
               -6               4               3              HB               0         2883614               0               0 
               -6               4               4              HB               0         2883614               0               0 
               -7               4               1              HB               0         2883614               0               0 
               -7               4               2              HB               0         2883614               0               0 
               -7               4               3              HB               0         2883614               0               0 
               -7               4               4              HB               0         2883614               0               0 
               -8               4               1              HB               0         2883614               0               0 
               -8               4               2              HB               0         2883614               0               0 
               -8               4               3              HB               0         2883614               0               0 
               -8               4               4              HB               0         2883614               0               0 
               -9               4               1              HB               0         2883614               0               0 
               -9               4               2              HB               0         2883614               0               0 
               -9               4               3              HB               0         2883614               0               0 
               -9               4               4              HB               0         2883614               0               0 
              -10               4               1              HB               0         2883614               0               0 
              -10               4               2              HB               0         2883614               0               0 
              -10               4               3              HB               0         2883614               0               0 
              -10               4               4              HB               0         2883614               0               0 
              -11               4               1              HB               0         2883614               0               0 
              -11               4               2              HB               0         2883614               0               0 
              -11               4               3              HB               0         2883614               0               0 
              -11               4               4              HB               0         2883614               0               0 
              -12               4               1              HB               0         2883614               0               0 
              -12               4               2              HB               0         2883614               0               0 
              -12               4               3              HB               0         2883614               0               0 
              -12               4               4              HB               0         2883614               0               0 
              -13               4               1              HB               0         2883614               0               0 
              -13               4               2              HB               0         2883614               0               0 
              -13               4               3              HB               0         2883614               0               0 
              -13               4               4              HB               0         2883614               0               0 
              -14               4               1              HB               0         2883614               0               0 
              -14               4               2              HB               0         2883614               0               0 
              -14               4               3              HB               0         2883614               0               0 
              -14               4               4              HB               0         2883614               0               0 
              -15               4               1              HB               0         2883614               0               0 
              -15               4               2              HB               0         2883614               0               0 
              -15               4               3              HB               0         2883614               0               0 
              -15               4               4              HB               0         2883614               0               0 
              -16               4               1              HB               0         2883614               0               0 
              -16               4               2              HB               0         2883614               0               0 
              -16               4               3              HB               0         2883614               0               0 
               -1               5               1              HB               0         2883614               0               0 
               -1               5               2              HB               0         2883614               0               0 
               -1               5               3              HB               0         2883614               0               0 
               -1               5               4              HB               0         2883614               0               0 
               -2               5               1              HB               0         2883614               0               0 
               -2               5               2              HB               0         2883614               0               0 
               -2               5               3              HB               0         2883614               0               0 
               -2               5               4              HB               0         2883614               0               0 
               -3               5               1              HB               0         2883614               0               0 
               -3               5               2              HB               0         2883614               0               0 
               -3               5               3              HB               0         2883614               0               0 
               -3               5               4              HB               0         2883614               0               0 
               -4               5               1              HB               0         2883614               0               0 
               -4               5               2              HB               0         2883614               0               0 
               -4               5               3              HB               0         2883614               0               0 
               -4               5               4              HB               0         2883614               0               0 
               -5               5               1              HB               0         2883614               0               0 
               -5               5               2              HB               0         2883614               0               0 
               -5               5               3              HB               0         2883614               0               0 
               -5               5               4              HB               0         2883614               0               0 
               -6               5               1              HB               0         2883614               0               0 
               -6               5               2              HB               0         2883614               0               0 
               -6               5               3              HB               0         2883614               0               0 
               -6               5               4              HB               0         2883614               0               0 
               -7               5               1              HB               0         2883614               0               0 
               -7               5               2              HB               0         2883614               0               0 
               -7               5               3              HB               0         2883614               0               0 
               -7               5               4              HB               0         2883614               0               0 
               -8               5               1              HB               0         2883614               0               0 
               -8               5               2              HB               0         2883614               0               0 
               -8               5               3              HB               0         2883614               0               0 
               -8               5               4              HB               0         2883614               0               0 
               -9               5               1              HB               0         2883614               0               0 
               -9               5               2              HB               0         2883614               0               0 
               -9               5               3              HB               0         2883614               0               0 
               -9               5               4              HB               0         2883614               0               0 
              -10               5               1              HB               0         2883614               0               0 
              -10               5               2              HB               0         2883614               0               0 
              -10               5               3              HB               0         2883614               0               0 
              -10               5               4              HB               0         2883614               0               0 
              -11               5               1              HB               0         2883614               0               0 
              -11               5               2              HB               0         2883614               0               0 
              -11               5               3              HB               0         2883614               0               0 
              -11               5               4              HB               0         2883614               0               0 
              -12               5               1              HB               0         2883614               0               0 
              -12               5               2              HB               0         2883614               0               0 
              -12               5               3              HB               0         2883614               0               0 
              -12               5               4              HB               0         2883614               0               0 
              -13               5               1              HB               0         2883614               0               0 
              -13               5               2              HB               0         2883614               0               0 
              -13               5               3              HB               0         2883614               0               0 
              -13               5               4              HB               0         2883614               0               0 
              -14               5               1              HB               0         2883614               0               0 
              -14               5               2              HB               0         2883614               0               0 
              -14               5               3              HB               0         2883614               0               0 
              -14               5               4              HB               0         2883614               0               0 
              -15               5               1              HB               0         2883614               0               0 
              -15               5               2              HB               0         2883614               0               0 
              -15               5               3              HB               0         2883614               0               0 
              -15               5               4              HB               0         2883614               0               0 
              -16               5               1              HB               0         2883614               0               0 
              -16               5               2              HB               0         2883614               0               0 
              -16               5               3              HB               0         2883614               0               0 
               -1               6               1              HB               0         2883614               0               0 
               -1               6               2              HB               0         2883614               0               0 
               -1               6               3              HB               0         2883614               0               0 
               -1               6               4              HB               0         2883614               0               0 
               -2               6               1              HB               0         2883614               0               0 
               -2               6               2              HB               0         2883614               0               0 
               -2               6               3              HB               0         2883614               0               0 
               -2               6               4              HB               0         2883614               0               0 
               -3               6               1              HB               0         2883614               0               0 
               -3               6               2              HB               0         2883614               0               0 
               -3               6               3              HB               0         2883614               0               0 
               -3               6               4              HB               0         2883614               0               0 
               -4               6               1              HB               0         2883614               0               0 
               -4               6               2              HB               0         2883614               0               0 
               -4               6               3              HB               0         2883614               0               0 
               -4               6               4              HB               0         2883614               0               0 
               -5               6               1              HB               0         2883614               0               0 
               -5               6               2              HB               0         2883614               0               0 
               -5               6               3              HB               0         2883614               0               0 
               -5               6               4              HB               0         2883614               0               0 
               -6               6               1              HB               0         2883614               0               0 
               -6               6               2              HB               0         2883614               0               0 
               -6               6               3              HB               0         2883614               0               0 
               -6               6               4              HB               0         2883614               0               0 
               -7               6               1              HB               0         2883614               0               0 
               -7               6               2              HB               0         2883614               0               0 
               -7               6               3              HB               0         2883614               0               0 
               -7               6               4              HB               0         2883614               0               0 
               -8               6               1              HB               0         2883614               0               0 
