
# Shape identification bit vs |ieta|,shape,E. Dummy LUT without shape veto
# Index is compressedShape+compressedE<<4+compressedIeta<<8. 
# Compression version is v4
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V5 12 1 </header>

0 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=0
148 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=4
149 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=5
150 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=6
151 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=7
152 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=8
153 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=9
154 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=10
155 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=11
156 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=12
157 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=13
158 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=14
159 1  # abs(compressedIeta)=0, compressedE=9, compressedShape=15
160 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=0
161 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=1
162 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=2
163 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=3
164 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=4
165 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=5
166 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=6
167 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=7
168 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=8
169 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=9
170 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=10
171 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=11
172 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=12
173 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=13
174 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=14
175 1  # abs(compressedIeta)=0, compressedE=10, compressedShape=15
176 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=0
177 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=1
178 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=2
179 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=3
180 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=4
181 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=5
182 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=6
183 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=7
184 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=8
185 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=9
186 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=10
187 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=11
188 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=12
189 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=13
190 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=14
191 1  # abs(compressedIeta)=0, compressedE=11, compressedShape=15
192 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=0
193 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=1
194 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=2
195 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=3
196 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=4
197 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=5
198 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=6
199 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=7
200 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=8
201 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=9
202 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=10
203 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=11
204 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=12
205 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=13
206 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=14
207 1  # abs(compressedIeta)=0, compressedE=12, compressedShape=15
208 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=0
209 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=1
210 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=2
211 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=3
212 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=4
213 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=5
214 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=6
215 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=7
216 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=8
217 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=9
218 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=10
219 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=11
220 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=12
221 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=13
222 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=14
223 1  # abs(compressedIeta)=0, compressedE=13, compressedShape=15
224 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=0
225 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=1
226 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=2
227 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=3
228 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=4
229 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=5
230 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=6
231 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=7
232 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=8
233 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=9
234 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=10
235 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=11
236 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=12
237 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=13
238 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=14
239 1  # abs(compressedIeta)=0, compressedE=14, compressedShape=15
240 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=0
241 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=1
242 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=2
243 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=3
244 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=4
245 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=5
246 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=6
247 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=7
248 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=8
249 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=9
250 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=10
251 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=11
252 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=12
253 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=13
254 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=14
255 1  # abs(compressedIeta)=0, compressedE=15, compressedShape=15
256 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=0
257 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=1
258 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=2
259 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=3
260 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=4
261 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=5
262 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=6
263 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=7
264 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=8
265 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=9
266 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=10
267 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=11
268 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=12
269 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=13
270 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=14
271 1  # abs(compressedIeta)=1, compressedE=0, compressedShape=15
272 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=0
273 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=1
274 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=2
275 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=3
276 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=4
277 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=5
278 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=6
279 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=7
280 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=8
281 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=9
282 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=10
283 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=11
284 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=12
285 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=13
286 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=14
287 1  # abs(compressedIeta)=1, compressedE=1, compressedShape=15
288 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=0
289 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=1
290 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=2
291 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=3
292 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=4
293 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=5
294 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=6
295 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=7
296 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=8
297 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=9
298 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=10
299 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=11
300 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=12
301 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=13
302 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=14
303 1  # abs(compressedIeta)=1, compressedE=2, compressedShape=15
304 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=0
305 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=1
306 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=2
307 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=3
308 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=4
309 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=5
310 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=6
311 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=7
312 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=8
313 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=9
314 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=10
315 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=11
316 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=12
317 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=13
318 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=14
319 1  # abs(compressedIeta)=1, compressedE=3, compressedShape=15
320 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=0
321 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=1
322 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=2
323 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=3
324 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=4
325 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=5
326 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=6
327 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=7
328 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=8
329 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=9
330 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=10
331 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=11
332 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=12
333 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=13
334 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=14
335 1  # abs(compressedIeta)=1, compressedE=4, compressedShape=15
336 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=0
337 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=1
338 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=2
339 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=3
340 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=4
341 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=5
342 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=6
343 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=7
344 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=8
345 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=9
346 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=10
347 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=11
348 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=12
349 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=13
350 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=14
351 1  # abs(compressedIeta)=1, compressedE=5, compressedShape=15
352 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=0
353 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=1
354 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=2
355 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=3
356 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=4
357 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=5
358 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=6
359 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=7
360 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=8
361 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=9
362 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=10
363 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=11
364 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=12
365 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=13
366 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=14
367 1  # abs(compressedIeta)=1, compressedE=6, compressedShape=15
368 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=0
369 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=1
370 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=2
371 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=3
372 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=4
373 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=5
374 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=6
375 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=7
376 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=8
377 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=9
378 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=10
379 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=11
380 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=12
381 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=13
382 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=14
383 1  # abs(compressedIeta)=1, compressedE=7, compressedShape=15
384 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=0
385 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=1
386 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=2
387 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=3
388 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=4
389 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=5
390 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=6
391 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=7
392 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=8
393 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=9
394 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=10
395 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=11
396 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=12
397 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=13
398 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=14
399 1  # abs(compressedIeta)=1, compressedE=8, compressedShape=15
400 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=0
401 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=1
402 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=2
403 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=3
404 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=4
405 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=5
406 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=6
407 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=7
408 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=8
409 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=9
410 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=10
411 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=11
412 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=12
413 1  # abs(compressedIeta)=1, compressedE=9, compressedShape=13
