# e/g max H/E vs |ieta| and hwPt
# Index is (|ieta|-1)*256+hwPt. 
# Cuts corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V1 13 9 </header>

0 66 # ieta=1, ET=0, H/E<=0.12890625
405 28 # ieta=2, ET=149, H/E<=0.0546875
406 28 # ieta=2, ET=150, H/E<=0.0546875
407 28 # ieta=2, ET=151, H/E<=0.0546875
408 28 # ieta=2, ET=152, H/E<=0.0546875
409 28 # ieta=2, ET=153, H/E<=0.0546875
410 28 # ieta=2, ET=154, H/E<=0.0546875
411 28 # ieta=2, ET=155, H/E<=0.0546875
412 28 # ieta=2, ET=156, H/E<=0.0546875
413 28 # ieta=2, ET=157, H/E<=0.0546875
414 28 # ieta=2, ET=158, H/E<=0.0546875
415 49 # ieta=2, ET=159, H/E<=0.095703125
416 49 # ieta=2, ET=160, H/E<=0.095703125
417 49 # ieta=2, ET=161, H/E<=0.095703125
418 49 # ieta=2, ET=162, H/E<=0.095703125
419 49 # ieta=2, ET=163, H/E<=0.095703125
420 49 # ieta=2, ET=164, H/E<=0.095703125
421 49 # ieta=2, ET=165, H/E<=0.095703125
422 49 # ieta=2, ET=166, H/E<=0.095703125
423 49 # ieta=2, ET=167, H/E<=0.095703125
424 49 # ieta=2, ET=168, H/E<=0.095703125
425 49 # ieta=2, ET=169, H/E<=0.095703125
426 511 # ieta=2, ET=170, H/E<=0.998046875
427 511 # ieta=2, ET=171, H/E<=0.998046875
428 511 # ieta=2, ET=172, H/E<=0.998046875
429 511 # ieta=2, ET=173, H/E<=0.998046875
430 511 # ieta=2, ET=174, H/E<=0.998046875
431 511 # ieta=2, ET=175, H/E<=0.998046875
432 511 # ieta=2, ET=176, H/E<=0.998046875
433 511 # ieta=2, ET=177, H/E<=0.998046875
434 511 # ieta=2, ET=178, H/E<=0.998046875
435 511 # ieta=2, ET=179, H/E<=0.998046875
436 511 # ieta=2, ET=180, H/E<=0.998046875
437 511 # ieta=2, ET=181, H/E<=0.998046875
438 511 # ieta=2, ET=182, H/E<=0.998046875
439 511 # ieta=2, ET=183, H/E<=0.998046875
440 511 # ieta=2, ET=184, H/E<=0.998046875
441 511 # ieta=2, ET=185, H/E<=0.998046875
442 511 # ieta=2, ET=186, H/E<=0.998046875
443 511 # ieta=2, ET=187, H/E<=0.998046875
444 511 # ieta=2, ET=188, H/E<=0.998046875
445 511 # ieta=2, ET=189, H/E<=0.998046875
446 511 # ieta=2, ET=190, H/E<=0.998046875
447 511 # ieta=2, ET=191, H/E<=0.998046875
448 511 # ieta=2, ET=192, H/E<=0.998046875
449 511 # ieta=2, ET=193, H/E<=0.998046875
450 511 # ieta=2, ET=194, H/E<=0.998046875
451 511 # ieta=2, ET=195, H/E<=0.998046875
452 511 # ieta=2, ET=196, H/E<=0.998046875
453 511 # ieta=2, ET=197, H/E<=0.998046875
454 511 # ieta=2, ET=198, H/E<=0.998046875
455 511 # ieta=2, ET=199, H/E<=0.998046875
456 511 # ieta=2, ET=200, H/E<=0.998046875
457 511 # ieta=2, ET=201, H/E<=0.998046875
458 511 # ieta=2, ET=202, H/E<=0.998046875
459 511 # ieta=2, ET=203, H/E<=0.998046875
460 511 # ieta=2, ET=204, H/E<=0.998046875
461 511 # ieta=2, ET=205, H/E<=0.998046875
462 511 # ieta=2, ET=206, H/E<=0.998046875
463 511 # ieta=2, ET=207, H/E<=0.998046875
464 511 # ieta=2, ET=208, H/E<=0.998046875
465 511 # ieta=2, ET=209, H/E<=0.998046875
466 511 # ieta=2, ET=210, H/E<=0.998046875
467 511 # ieta=2, ET=211, H/E<=0.998046875
468 511 # ieta=2, ET=212, H/E<=0.998046875
469 511 # ieta=2, ET=213, H/E<=0.998046875
470 511 # ieta=2, ET=214, H/E<=0.998046875
471 511 # ieta=2, ET=215, H/E<=0.998046875
472 511 # ieta=2, ET=216, H/E<=0.998046875
473 511 # ieta=2, ET=217, H/E<=0.998046875
474 511 # ieta=2, ET=218, H/E<=0.998046875
475 511 # ieta=2, ET=219, H/E<=0.998046875
476 511 # ieta=2, ET=220, H/E<=0.998046875
477 511 # ieta=2, ET=221, H/E<=0.998046875
478 511 # ieta=2, ET=222, H/E<=0.998046875
479 511 # ieta=2, ET=223, H/E<=0.998046875
480 511 # ieta=2, ET=224, H/E<=0.998046875
481 511 # ieta=2, ET=225, H/E<=0.998046875
482 511 # ieta=2, ET=226, H/E<=0.998046875
483 511 # ieta=2, ET=227, H/E<=0.998046875
484 511 # ieta=2, ET=228, H/E<=0.998046875
485 511 # ieta=2, ET=229, H/E<=0.998046875
486 511 # ieta=2, ET=230, H/E<=0.998046875
487 511 # ieta=2, ET=231, H/E<=0.998046875
488 511 # ieta=2, ET=232, H/E<=0.998046875
489 511 # ieta=2, ET=233, H/E<=0.998046875
490 511 # ieta=2, ET=234, H/E<=0.998046875
491 511 # ieta=2, ET=235, H/E<=0.998046875
492 511 # ieta=2, ET=236, H/E<=0.998046875
493 511 # ieta=2, ET=237, H/E<=0.998046875
494 511 # ieta=2, ET=238, H/E<=0.998046875
495 511 # ieta=2, ET=239, H/E<=0.998046875
496 511 # ieta=2, ET=240, H/E<=0.998046875
497 511 # ieta=2, ET=241, H/E<=0.998046875
498 511 # ieta=2, ET=242, H/E<=0.998046875
499 511 # ieta=2, ET=243, H/E<=0.998046875
500 511 # ieta=2, ET=244, H/E<=0.998046875
501 511 # ieta=2, ET=245, H/E<=0.998046875
502 511 # ieta=2, ET=246, H/E<=0.998046875
503 511 # ieta=2, ET=247, H/E<=0.998046875
504 511 # ieta=2, ET=248, H/E<=0.998046875
505 511 # ieta=2, ET=249, H/E<=0.998046875
506 511 # ieta=2, ET=250, H/E<=0.998046875
507 511 # ieta=2, ET=251, H/E<=0.998046875
