mH_GeV  XS_pb         Err_Hi    Err_Lo Sca_Hi  Sca_Lo  Pdf_Hi  Pdf_Lo
127.5	 0.08129	 11.7	 -17.8	 3.2	 -9.3	 8.4	 -8.4
128.0	 0.08032	 11.7	 -17.7	 3.2	 -9.3	 8.4	 -8.4
128.5	 0.07937	 11.7	 -17.7	 3.2	 -9.3	 8.4	 -8.4
129.0	 0.07842	 11.6	 -17.7	 3.2	 -9.3	 8.4	 -8.4
129.5	 0.07750	 11.6	 -17.7	 3.2	 -9.3	 8.4	 -8.4
130.0	 0.07658	 11.6	 -17.7	 3.2	 -9.3	 8.4	 -8.4
130.5	 0.07568	 11.6	 -17.7	 3.2	 -9.3	 8.4	 -8.4
131.0	 0.07479	 11.6	 -17.7	 3.2	 -9.3	 8.4	 -8.4
131.5	 0.07391	 11.6	 -17.7	 3.2	 -9.3	 8.4	 -8.4
132.0	 0.07304	 11.6	 -17.7	 3.2	 -9.3	 8.4	 -8.4
132.5	 0.07219	 11.5	 -17.6	 3.2	 -9.2	 8.4	 -8.4
133.0	 0.07135	 11.5	 -17.6	 3.1	 -9.2	 8.4	 -8.4
133.5	 0.07052	 11.5	 -17.6	 3.1	 -9.2	 8.4	 -8.4
134.0	 0.06970	 11.5	 -17.6	 3.1	 -9.2	 8.4	 -8.4
134.5	 0.06890	 11.5	 -17.6	 3.1	 -9.2	 8.4	 -8.4
135.0	 0.06810	 11.5	 -17.6	 3.1	 -9.2	 8.4	 -8.4
135.5	 0.06731	 11.5	 -17.6	 3.1	 -9.2	 8.4	 -8.4
136.0	 0.06654	 11.5	 -17.6	 3.1	 -9.2	 8.4	 -8.4
136.5	 0.06577	 11.5	 -17.6	 3.1	 -9.2	 8.4	 -8.4
137.0	 0.06502	 11.5	 -17.6	 3.1	 -9.2	 8.4	 -8.4
137.5	 0.06428	 11.4	 -17.6	 3.0	 -9.2	 8.4	 -8.4
138.0	 0.06355	 11.4	 -17.6	 3.0	 -9.2	 8.4	 -8.4
138.5	 0.06282	 11.4	 -17.6	 3.0	 -9.2	 8.4	 -8.4
139.0	 0.06211	 11.4	 -17.6	 3.0	 -9.2	 8.4	 -8.4
139.5	 0.06141	 11.4	 -17.6	 3.0	 -9.2	 8.4	 -8.4
140.0	 0.06072	 11.4	 -17.6	 3.0	 -9.2	 8.4	 -8.4
141.0	 0.05937	 11.4	 -17.6	 3.0	 -9.2	 8.4	 -8.4
142.0	 0.05807	 11.4	 -17.6	 3.0	 -9.2	 8.4	 -8.4
143.0	 0.05680	 11.4	 -17.6	 2.9	 -9.1	 8.5	 -8.5
144.0	 0.05556	 11.4	 -17.6	 2.9	 -9.1	 8.5	 -8.5
145.0	 0.05435	 11.4	 -17.6	 2.9	 -9.1	 8.5	 -8.5
146.0	 0.05316	 11.4	 -17.6	 2.9	 -9.1	 8.5	 -8.5
147.0	 0.05200	 11.4	 -17.6	 2.9	 -9.1	 8.5	 -8.5
148.0	 0.05087	 11.3	 -17.5	 2.9	 -9.1	 8.4	 -8.4
149.0	 0.04976	 11.3	 -17.5	 2.9	 -9.1	 8.4	 -8.4
150.0	 0.04869	 11.3	 -17.5	 2.9	 -9.1	 8.4	 -8.4
151.0	 0.04765	 11.3	 -17.5	 2.9	 -9.1	 8.4	 -8.4
152.0	 0.04663	 11.3	 -17.6	 2.9	 -9.1	 8.5	 -8.5
153.0	 0.04564	 11.4	 -17.6	 2.8	 -9.1	 8.5	 -8.5
154.0	 0.04468	 11.4	 -17.7	 2.8	 -9.1	 8.6	 -8.6
155.0	 0.04374	 11.4	 -17.7	 2.8	 -9.1	 8.6	 -8.6
156.0	 0.04283	 11.4	 -17.7	 2.8	 -9.1	 8.6	 -8.6
157.0	 0.04194	 11.4	 -17.7	 2.8	 -9.1	 8.6	 -8.6
158.0	 0.04108	 11.4	 -17.7	 2.8	 -9.1	 8.6	 -8.6
159.0	 0.04024	 11.4	 -17.7	 2.8	 -9.1	 8.6	 -8.6
160.0	 0.03942	 11.4	 -17.7	 2.8	 -9.1	 8.6	 -8.6
162.0	 0.03783	 11.4	 -17.7	 2.8	 -9.1	 8.6	 -8.6
164.0	 0.03632	 11.3	 -17.7	 2.7	 -9.1	 8.6	 -8.6
166.0	 0.03488	 11.3	 -17.7	 2.7	 -9.1	 8.6	 -8.6
168.0	 0.03350	 11.3	 -17.6	 2.7	 -9.0	 8.6	 -8.6
170.0	 0.03219	 11.3	 -17.6	 2.7	 -9.0	 8.6	 -8.6
172.0	 0.03094	 11.3	 -17.6	 2.7	 -9.0	 8.6	 -8.6
174.0	 0.02975	 11.2	 -17.6	 2.6	 -9.0	 8.6	 -8.6
176.0	 0.02862	 11.2	 -17.6	 2.6	 -9.0	 8.6	 -8.6
178.0	 0.02755	 11.2	 -17.6	 2.6	 -9.0	 8.6	 -8.6
180.0	 0.02652	 11.2	 -17.6	 2.6	 -9.0	 8.6	 -8.6
182.0	 0.02553	 11.2	 -17.6	 2.6	 -9.0	 8.6	 -8.6
184.0	 0.02459	 11.3	 -17.7	 2.6	 -9.0	 8.7	 -8.7
186.0	 0.02370	 11.3	 -17.7	 2.6	 -9.0	 8.7	 -8.7
188.0	 0.02286	 11.3	 -17.7	 2.6	 -9.0	 8.7	 -8.7
190.0	 0.02206	 11.3	 -17.7	 2.6	 -9.0	 8.7	 -8.7
192.0	 0.02128	 11.3	 -17.7	 2.6	 -9.0	 8.7	 -8.7
194.0	 0.02052	 11.3	 -17.7	 2.6	 -9.0	 8.7	 -8.7
196.0	 0.01981	 11.3	 -17.7	 2.6	 -9.0	 8.7	 -8.7
198.0	 0.01913	 11.3	 -17.8	 2.6	 -9.1	 8.7	 -8.7
200.0	 0.01849	 11.3	 -17.8	 2.6	 -9.1	 8.7	 -8.7
202.0	 0.01787	 11.4	 -17.9	 2.6	 -9.1	 8.7	 -8.7
204.0	 0.01727	 11.5	 -17.9	 2.7	 -9.1	 8.8	 -8.8
206.0	 0.01670	 11.5	 -18.0	 2.7	 -9.2	 8.8	 -8.8
208.0	 0.01615	 11.6	 -18.0	 2.8	 -9.2	 8.9	 -8.9
210.0	 0.01562	 11.7	 -18.1	 2.8	 -9.2	 8.9	 -8.9
212.0	 0.01512	 11.7	 -18.1	 2.8	 -9.2	 8.9	 -8.9
214.0	 0.01463	 11.7	 -18.1	 2.8	 -9.2	 8.9	 -8.9
216.0	 0.01417	 11.8	 -18.2	 2.9	 -9.3	 8.9	 -8.9
218.0	 0.01373	 11.8	 -18.2	 2.9	 -9.3	 8.9	 -8.9
220.0	 0.01330	 11.8	 -18.2	 2.9	 -9.3	 8.9	 -8.9
222.0	 0.01289	 11.9	 -18.2	 3.0	 -9.3	 8.9	 -8.9
224.0	 0.01251	 12.0	 -18.3	 3.0	 -9.3	 8.9	 -8.9
226.0	 0.01213	 12.0	 -18.3	 3.1	 -9.4	 9.0	 -9.0
228.0	 0.01178	 12.1	 -18.4	 3.1	 -9.4	 9.0	 -9.0
230.0	 0.01143	 12.2	 -18.4	 3.2	 -9.4	 9.0	 -9.0
232.0	 0.01110	 12.2	 -18.4	 3.2	 -9.4	 9.0	 -9.0
234.0	 0.01077	 12.2	 -18.5	 3.2	 -9.4	 9.0	 -9.0
236.0	 0.01046	 12.3	 -18.5	 3.2	 -9.5	 9.1	 -9.1
238.0	 0.01016	 12.3	 -18.6	 3.2	 -9.5	 9.1	 -9.1
240.0	 0.009873	 12.3	 -18.6	 3.2	 -9.5	 9.1	 -9.1
242.0	 0.009597	 12.4	 -18.6	 3.3	 -9.5	 9.1	 -9.1
244.0	 0.009331	 12.4	 -18.7	 3.3	 -9.6	 9.1	 -9.1
246.0	 0.009076	 12.5	 -18.7	 3.4	 -9.6	 9.1	 -9.1
248.0	 0.008830	 12.5	 -18.8	 3.4	 -9.7	 9.1	 -9.1
250.0	 0.008593	 12.6	 -18.8	 3.5	 -9.7	 9.1	 -9.1
252.0	 0.008363	 12.7	 -18.8	 3.6	 -9.7	 9.1	 -9.1
254.0	 0.008142	 12.7	 -18.8	 3.7	 -9.8	 9.1	 -9.1
256.0	 0.007928	 12.8	 -18.9	 3.7	 -9.8	 9.0	 -9.0
258.0	 0.007722	 12.8	 -18.9	 3.8	 -9.9	 9.0	 -9.0
260.0	 0.007524	 12.9	 -18.9	 3.9	 -9.9	 9.0	 -9.0
262.0	 0.007333	 13.0	 -19.0	 4.0	 -9.9	 9.1	 -9.1
264.0	 0.007149	 13.2	 -19.1	 4.1	 -10.0	 9.1	 -9.1
266.0	 0.006972	 13.3	 -19.2	 4.1	 -10.0	 9.2	 -9.2
268.0	 0.006801	 13.5	 -19.3	 4.2	 -10.1	 9.2	 -9.2
270.0	 0.006636	 13.6	 -19.4	 4.3	 -10.1	 9.3	 -9.3
272.0	 0.006476	 13.7	 -19.5	 4.4	 -10.2	 9.3	 -9.3
274.0	 0.006322	 13.8	 -19.6	 4.5	 -10.2	 9.4	 -9.4
276.0	 0.006173	 14.0	 -19.7	 4.5	 -10.3	 9.4	 -9.4
278.0	 0.006028	 14.1	 -19.8	 4.6	 -10.3	 9.5	 -9.5
280.0	 0.005889	 14.2	 -19.9	 4.7	 -10.4	 9.5	 -9.5
282.0	 0.005754	 14.3	 -20.0	 4.8	 -10.4	 9.5	 -9.5
284.0	 0.005623	 14.5	 -20.1	 4.9	 -10.5	 9.6	 -9.6
286.0	 0.005497	 14.6	 -20.1	 5.0	 -10.5	 9.6	 -9.6
288.0	 0.005374	 14.8	 -20.2	 5.1	 -10.6	 9.7	 -9.7
290.0	 0.005256	 14.9	 -20.3	 5.2	 -10.6	 9.7	 -9.7
295.0	 0.004975	 15.2	 -20.6	 5.4	 -10.8	 9.9	 -9.9
300.0	 0.004719	 15.6	 -20.9	 5.6	 -10.9	 10.0	 -10.0
