mH_GeV 	H_gg 	        H_gamgam 	H_Zgam  	H_WW 	        H_ZZ 	        Total_Width_GeV
119.0 	8.82E-02 	2.23E-03 	1.03E-03 	1.30E-01 	1.43E-02 	3.39E-03
119.5 	8.82E-02 	2.24E-03 	1.07E-03 	1.36E-01 	1.51E-02 	3.43E-03
120.0 	8.81E-02 	2.25E-03 	1.12E-03 	1.43E-01 	1.60E-02 	3.48E-03
120.5 	8.80E-02 	2.26E-03 	1.16E-03 	1.49E-01 	1.69E-02 	3.52E-03
121.0 	8.79E-02 	2.26E-03 	1.20E-03 	1.56E-01 	1.79E-02 	3.57E-03
121.5 	8.77E-02 	2.27E-03 	1.25E-03 	1.63E-01 	1.88E-02 	3.62E-03
122.0 	8.75E-02 	2.28E-03 	1.29E-03 	1.70E-01 	1.99E-02 	3.68E-03
122.5 	8.72E-02 	2.28E-03 	1.33E-03 	1.77E-01 	2.09E-02 	3.73E-03
123.0 	8.69E-02 	2.28E-03 	1.38E-03 	1.85E-01 	2.20E-02 	3.79E-03
123.5 	8.66E-02 	2.29E-03 	1.42E-03 	1.92E-01 	2.31E-02 	3.85E-03
124.0 	8.63E-02 	2.29E-03 	1.46E-03 	2.00E-01 	2.42E-02 	3.91E-03
124.5 	8.59E-02 	2.29E-03 	1.51E-03 	2.08E-01 	2.54E-02 	3.97E-03
125.0 	8.55E-02 	2.29E-03 	1.55E-03 	2.16E-01 	2.66E-02 	4.04E-03
125.5 	8.50E-02 	2.29E-03 	1.59E-03 	2.24E-01 	2.79E-02 	4.11E-03
126.0 	8.45E-02 	2.29E-03 	1.64E-03 	2.33E-01 	2.91E-02 	4.18E-03
126.5 	8.40E-02 	2.29E-03 	1.68E-03 	2.41E-01 	3.04E-02 	4.25E-03
127.0 	8.35E-02 	2.29E-03 	1.72E-03 	2.50E-01 	3.17E-02 	4.33E-03
127.5 	8.29E-02 	2.29E-03 	1.76E-03 	2.59E-01 	3.31E-02 	4.41E-03
128.0 	8.23E-02 	2.28E-03 	1.80E-03 	2.68E-01 	3.44E-02 	4.50E-03
128.5 	8.16E-02 	2.28E-03 	1.84E-03 	2.77E-01 	3.58E-02 	4.59E-03
129.0 	8.09E-02 	2.27E-03 	1.88E-03 	2.86E-01 	3.72E-02 	4.68E-03
129.5 	8.02E-02 	2.27E-03 	1.92E-03 	2.95E-01 	3.87E-02 	4.77E-03
130.0 	7.95E-02 	2.26E-03 	1.96E-03 	3.05E-01 	4.01E-02 	4.88E-03
130.5 	7.87E-02 	2.25E-03 	2.00E-03 	3.14E-01 	4.16E-02 	4.98E-03
131.0 	7.79E-02 	2.24E-03 	2.03E-03 	3.24E-01 	4.30E-02 	5.09E-03
131.5 	7.70E-02 	2.23E-03 	2.07E-03 	3.33E-01 	4.45E-02 	5.20E-03
132.0 	7.62E-02 	2.22E-03 	2.10E-03 	3.43E-01 	4.60E-02 	5.32E-03
132.5 	7.53E-02 	2.21E-03 	2.13E-03 	3.53E-01 	4.75E-02 	5.44E-03
133.0 	7.44E-02 	2.19E-03 	2.17E-03 	3.63E-01 	4.90E-02 	5.57E-03
133.5 	7.34E-02 	2.18E-03 	2.20E-03 	3.73E-01 	5.05E-02 	5.71E-03
134.0 	7.25E-02 	2.17E-03 	2.23E-03 	3.83E-01 	5.20E-02 	5.85E-03
134.5 	7.15E-02 	2.15E-03 	2.25E-03 	3.92E-01 	5.35E-02 	5.99E-03
135.0 	7.05E-02 	2.13E-03 	2.28E-03 	4.03E-01 	5.50E-02 	6.15E-03
135.5 	6.94E-02 	2.12E-03 	2.31E-03 	4.13E-01 	5.65E-02 	6.31E-03
136.0 	6.84E-02 	2.10E-03 	2.33E-03 	4.23E-01 	5.80E-02 	6.48E-03
136.5 	6.73E-02 	2.08E-03 	2.35E-03 	4.33E-01 	5.94E-02 	6.65E-03
137.0 	6.62E-02 	2.06E-03 	2.37E-03 	4.43E-01 	6.09E-02 	6.84E-03
137.5 	6.51E-02 	2.04E-03 	2.39E-03 	4.53E-01 	6.23E-02 	7.03E-03
138.0 	6.39E-02 	2.02E-03 	2.41E-03 	4.63E-01 	6.37E-02 	7.23E-03
138.5 	6.28E-02 	2.00E-03 	2.43E-03 	4.73E-01 	6.51E-02 	7.44E-03
139.0 	6.16E-02 	1.98E-03 	2.44E-03 	4.83E-01 	6.64E-02 	7.66E-03
139.5 	6.05E-02 	1.96E-03 	2.45E-03 	4.93E-01 	6.77E-02 	7.89E-03
140.0 	5.93E-02 	1.93E-03 	2.46E-03 	5.03E-01 	6.90E-02 	8.14E-03
141.0 	5.69E-02 	1.89E-03 	2.48E-03 	5.23E-01 	7.15E-02 	8.66E-03
142.0 	5.44E-02 	1.84E-03 	2.49E-03 	5.43E-01 	7.38E-02 	9.24E-03
143.0 	5.20E-02 	1.78E-03 	2.50E-03 	5.63E-01 	7.59E-02 	9.89E-03
144.0 	4.95E-02 	1.73E-03 	2.49E-03 	5.83E-01 	7.78E-02 	1.06E-02
145.0 	4.69E-02 	1.67E-03 	2.48E-03 	6.02E-01 	7.94E-02 	1.14E-02
146.0 	4.44E-02 	1.62E-03 	2.46E-03 	6.21E-01 	8.08E-02 	1.23E-02
147.0 	4.19E-02 	1.56E-03 	2.44E-03 	6.40E-01 	8.18E-02 	1.33E-02
148.0 	3.94E-02 	1.49E-03 	2.40E-03 	6.60E-01 	8.25E-02 	1.45E-02
149.0 	3.68E-02 	1.43E-03 	2.36E-03 	6.79E-01 	8.28E-02 	1.58E-02
150.0 	3.43E-02 	1.36E-03 	2.31E-03 	6.98E-01 	8.27E-02 	1.73E-02
151.0 	3.17E-02 	1.30E-03 	2.25E-03 	7.17E-01 	8.21E-02 	1.90E-02
152.0 	2.92E-02 	1.23E-03 	2.18E-03 	7.36E-01 	8.09E-02 	2.11E-02
153.0 	2.67E-02 	1.15E-03 	2.10E-03 	7.56E-01 	7.92E-02 	2.36E-02
154.0 	2.41E-02 	1.08E-03 	2.01E-03 	7.75E-01 	7.67E-02 	2.66E-02
155.0 	2.16E-02 	9.99E-04 	1.91E-03 	7.95E-01 	7.35E-02 	3.03E-02
156.0 	1.90E-02 	9.14E-04 	1.79E-03 	8.16E-01 	6.93E-02 	3.50E-02
157.0 	1.64E-02 	8.25E-04 	1.65E-03 	8.38E-01 	6.41E-02 	4.13E-02
158.0 	1.37E-02 	7.29E-04 	1.50E-03 	8.61E-01 	5.76E-02 	5.02E-02
159.0 	1.11E-02 	6.28E-04 	1.32E-03 	8.85E-01 	4.99E-02 	6.32E-02
160.0 	8.55E-03 	5.32E-04 	1.15E-03 	9.08E-01 	4.15E-02 	8.30E-02
162.0 	4.99E-03 	3.70E-04 	8.41E-04 	9.43E-01 	2.82E-02 	1.47E-01
164.0 	3.51E-03 	2.59E-04 	6.07E-04 	9.57E-01 	2.31E-02 	2.15E-01
166.0 	2.82E-03 	2.08E-04 	5.00E-04 	9.62E-01 	2.18E-02 	2.75E-01
168.0 	2.44E-03 	1.78E-04 	4.39E-04 	9.64E-01 	2.22E-02 	3.30E-01
170.0 	2.18E-03 	1.58E-04 	3.99E-04 	9.64E-01 	2.36E-02 	3.80E-01
172.0 	2.00E-03 	1.43E-04 	3.71E-04 	9.63E-01 	2.61E-02 	4.29E-01
174.0 	1.86E-03 	1.32E-04 	3.48E-04 	9.60E-01 	2.98E-02 	4.77E-01
176.0 	1.74E-03 	1.22E-04 	3.29E-04 	9.56E-01 	3.54E-02 	5.25E-01
178.0 	1.64E-03 	1.13E-04 	3.12E-04 	9.47E-01 	4.44E-02 	5.75E-01
180.0 	1.54E-03 	1.05E-04 	2.96E-04 	9.32E-01 	6.02E-02 	6.31E-01
182.0 	1.43E-03 	9.68E-05 	2.76E-04 	9.03E-01 	9.00E-02 	7.00E-01
184.0 	1.31E-03 	8.81E-05 	2.54E-04 	8.62E-01 	1.31E-01 	7.87E-01
186.0 	1.21E-03 	8.09E-05 	2.36E-04 	8.28E-01 	1.66E-01 	8.76E-01
188.0 	1.14E-03 	7.52E-05 	2.22E-04 	8.03E-01 	1.91E-01 	9.60E-01
190.0 	1.08E-03 	7.05E-05 	2.11E-04 	7.86E-01 	2.09E-01 	1.04E+00
192.0 	1.04E-03 	6.66E-05 	2.02E-04 	7.72E-01 	2.23E-01 	1.12E+00
194.0 	9.99E-04 	6.32E-05 	1.94E-04 	7.61E-01 	2.34E-01 	1.20E+00
196.0 	9.68E-04 	6.02E-05 	1.87E-04 	7.53E-01 	2.43E-01 	1.28E+00
198.0 	9.40E-04 	5.75E-05 	1.81E-04 	7.46E-01 	2.50E-01 	1.35E+00
200.0 	9.16E-04 	5.51E-05 	1.75E-04 	7.41E-01 	2.55E-01 	1.43E+00
202.0 	8.94E-04 	5.29E-05 	1.70E-04 	7.36E-01 	2.60E-01 	1.51E+00
204.0 	8.75E-04 	5.08E-05 	1.65E-04 	7.32E-01 	2.65E-01 	1.59E+00
206.0 	8.57E-04 	4.89E-05 	1.61E-04 	7.28E-01 	2.68E-01 	1.68E+00
208.0 	8.41E-04 	4.71E-05 	1.56E-04 	7.25E-01 	2.71E-01 	1.76E+00
210.0 	8.27E-04 	4.54E-05 	1.52E-04 	7.23E-01 	2.74E-01 	1.85E+00
212.0 	8.13E-04 	4.39E-05 	1.48E-04 	7.21E-01 	2.76E-01 	1.93E+00
214.0 	8.01E-04 	4.24E-05 	1.45E-04 	7.19E-01 	2.78E-01 	2.02E+00
216.0 	7.89E-04 	4.10E-05 	1.41E-04 	7.17E-01 	2.80E-01 	2.12E+00
218.0 	7.79E-04 	3.96E-05 	1.38E-04 	7.15E-01 	2.82E-01 	2.21E+00
220.0 	7.69E-04 	3.84E-05 	1.34E-04 	7.14E-01 	2.84E-01 	2.31E+00
222.0 	7.59E-04 	3.72E-05 	1.31E-04 	7.12E-01 	2.85E-01 	2.40E+00
224.0 	7.51E-04 	3.60E-05 	1.28E-04 	7.11E-01 	2.86E-01 	2.50E+00
226.0 	7.42E-04 	3.49E-05 	1.25E-04 	7.10E-01 	2.87E-01 	2.61E+00
228.0 	7.35E-04 	3.39E-05 	1.22E-04 	7.09E-01 	2.88E-01 	2.71E+00
230.0 	7.27E-04 	3.28E-05 	1.19E-04 	7.08E-01 	2.89E-01 	2.82E+00
232.0 	7.21E-04 	3.19E-05 	1.17E-04 	7.07E-01 	2.90E-01 	2.93E+00
234.0 	7.14E-04 	3.09E-05 	1.14E-04 	7.06E-01 	2.91E-01 	3.04E+00
236.0 	7.08E-04 	3.01E-05 	1.11E-04 	7.06E-01 	2.92E-01 	3.16E+00
238.0 	7.03E-04 	2.92E-05 	1.09E-04 	7.05E-01 	2.93E-01 	3.27E+00
240.0 	6.97E-04 	2.84E-05 	1.07E-04 	7.04E-01 	2.94E-01 	3.40E+00
242.0 	6.92E-04 	2.76E-05 	1.04E-04 	7.04E-01 	2.94E-01 	3.52E+00
244.0 	6.87E-04 	2.68E-05 	1.02E-04 	7.03E-01 	2.95E-01 	3.64E+00
246.0 	6.83E-04 	2.61E-05 	9.96E-05 	7.02E-01 	2.96E-01 	3.77E+00
248.0 	6.79E-04 	2.54E-05 	9.75E-05 	7.02E-01 	2.96E-01 	3.91E+00
250.0 	6.75E-04 	2.47E-05 	9.54E-05 	7.01E-01 	2.97E-01 	4.04E+00
252.0 	6.71E-04 	2.41E-05 	9.33E-05 	7.01E-01 	2.97E-01 	4.18E+00
254.0 	6.68E-04 	2.34E-05 	9.13E-05 	7.00E-01 	2.98E-01 	4.32E+00
256.0 	6.64E-04 	2.28E-05 	8.94E-05 	7.00E-01 	2.98E-01 	4.46E+00
258.0 	6.61E-04 	2.22E-05 	8.75E-05 	6.99E-01 	2.99E-01 	4.61E+00
260.0 	6.59E-04 	2.16E-05 	8.57E-05 	6.99E-01 	2.99E-01 	4.76E+00
262.0 	6.56E-04 	2.11E-05 	8.39E-05 	6.98E-01 	3.00E-01 	4.91E+00
264.0 	6.54E-04 	2.06E-05 	8.21E-05 	6.98E-01 	3.00E-01 	5.07E+00
266.0 	6.52E-04 	2.01E-05 	8.05E-05 	6.98E-01 	3.01E-01 	5.23E+00
268.0 	6.50E-04 	1.96E-05 	7.88E-05 	6.97E-01 	3.01E-01 	5.39E+00
270.0 	6.48E-04 	1.91E-05 	7.72E-05 	6.97E-01 	3.02E-01 	5.55E+00
272.0 	6.47E-04 	1.86E-05 	7.56E-05 	6.96E-01 	3.02E-01 	5.72E+00
274.0 	6.45E-04 	1.82E-05 	7.41E-05 	6.96E-01 	3.02E-01 	5.89E+00
276.0 	6.44E-04 	1.77E-05 	7.26E-05 	6.96E-01 	3.03E-01 	6.07E+00
278.0 	6.43E-04 	1.73E-05 	7.12E-05 	6.95E-01 	3.03E-01 	6.25E+00
280.0 	6.42E-04 	1.69E-05 	6.98E-05 	6.95E-01 	3.04E-01 	6.43E+00
282.0 	6.42E-04 	1.65E-05 	6.84E-05 	6.95E-01 	3.04E-01 	6.61E+00
284.0 	6.42E-04 	1.61E-05 	6.71E-05 	6.94E-01 	3.04E-01 	6.80E+00
286.0 	6.42E-04 	1.57E-05 	6.57E-05 	6.94E-01 	3.05E-01 	6.99E+00
288.0 	6.42E-04 	1.54E-05 	6.45E-05 	6.94E-01 	3.05E-01 	7.19E+00
290.0 	6.42E-04 	1.50E-05 	6.32E-05 	6.93E-01 	3.05E-01 	7.39E+00
295.0 	6.43E-04 	1.42E-05 	6.03E-05 	6.92E-01 	3.06E-01 	7.90E+00
300.0 	6.46E-04 	1.34E-05 	5.75E-05 	6.92E-01 	3.07E-01 	8.43E+00
305.0 	6.50E-04 	1.27E-05 	5.48E-05 	6.91E-01 	3.08E-01 	8.99E+00
310.0 	6.56E-04 	1.21E-05 	5.24E-05 	6.90E-01 	3.08E-01 	9.57E+00
315.0 	6.63E-04 	1.14E-05 	5.00E-05 	6.90E-01 	3.09E-01 	1.02E+01
320.0 	6.73E-04 	1.09E-05 	4.78E-05 	6.89E-01 	3.09E-01 	1.08E+01
325.0 	6.85E-04 	1.03E-05 	4.58E-05 	6.89E-01 	3.10E-01 	1.14E+01
330.0 	6.99E-04 	9.83E-06 	4.38E-05 	6.88E-01 	3.10E-01 	1.21E+01
335.0 	7.18E-04 	9.37E-06 	4.21E-05 	6.87E-01 	3.11E-01 	1.28E+01
340.0 	7.42E-04 	8.91E-06 	4.04E-05 	6.87E-01 	3.11E-01 	1.35E+01
345.0 	7.74E-04 	8.44E-06 	3.88E-05 	6.85E-01 	3.11E-01 	1.42E+01
350.0 	8.05E-04 	7.72E-06 	3.65E-05 	6.76E-01 	3.07E-01 	1.52E+01
360.0 	8.42E-04 	6.25E-06 	3.17E-05 	6.51E-01 	2.97E-01 	1.76E+01
370.0 	8.54E-04 	5.03E-06 	2.76E-05 	6.28E-01 	2.87E-01 	2.02E+01
380.0 	8.51E-04 	4.05E-06 	2.42E-05 	6.09E-01 	2.79E-01 	2.31E+01
390.0 	8.40E-04 	3.27E-06 	2.14E-05 	5.94E-01 	2.73E-01 	2.61E+01
400.0 	8.22E-04 	2.64E-06 	1.90E-05 	5.82E-01 	2.69E-01 	2.92E+01
420.0 	7.80E-04 	1.74E-06 	1.53E-05 	5.64E-01 	2.63E-01 	3.59E+01
440.0 	7.33E-04 	1.14E-06 	1.26E-05 	5.54E-01 	2.60E-01 	4.31E+01
460.0 	6.85E-04 	7.50E-07 	1.05E-05 	5.49E-01 	2.59E-01 	5.08E+01
480.0 	6.39E-04 	4.86E-07 	8.87E-06 	5.46E-01 	2.59E-01 	5.91E+01
500.0 	5.96E-04 	3.11E-07 	7.58E-06 	5.46E-01 	2.61E-01 	6.80E+01
520.0 	5.55E-04 	1.96E-07 	6.53E-06 	5.47E-01 	2.62E-01 	7.75E+01
540.0 	5.17E-04 	1.23E-07 	5.67E-06 	5.49E-01 	2.65E-01 	8.77E+01
560.0 	4.82E-04 	8.09E-08 	4.95E-06 	5.52E-01 	2.67E-01 	9.86E+01
580.0 	4.49E-04 	5.91E-08 	4.35E-06 	5.55E-01 	2.70E-01 	1.10E+02
600.0 	4.19E-04 	5.03E-08 	3.84E-06 	5.58E-01 	2.72E-01 	1.23E+02 
