#     Non-channel data
  RctLsb  0.50000
    Gain  0.17700
#             eta             phi             dep             det   Rcalib  LutGranularity  OutputLutThreshold      DetId
               -3              17               1              HB  1.20000               1                   0   42004191
               -4              17               1              HB  1.20000               1                   0   42004211
               -5              17               1              HB  1.20000               1                   0   42004291
               -6              17               1              HB  1.20000               1                   0   42004311
               -7              17               1              HB  1.20000               1                   0   42004391
               -8              17               1              HB  1.20000               1                   0   42004411
               -9              17               1              HB  1.20000               1                   0   42004491
              -10              17               1              HB  1.20000               1                   0   42004511
              -11              17               1              HB  1.20000               1                   0   42004591
              -12              17               1              HB  1.20000               1                   0   42004611
              -13              17               1              HB  1.20000               1                   0   42004691
              -14              17               1              HB  1.20000               1                   0   42004711
              -15              17               1              HB  1.20000               1                   0   42004791
              -15              17               2              HB  1.20000               1                   0   42008791
              -16              17               1              HB  1.20000               1                   0   42004811
              -16              17               2              HB  1.20000               1                   0   42008811
               -1              18               1              HB  1.20000               1                   0   42004092
               -2              18               1              HB  1.20000               1                   0   42004112
               -3              18               1              HB  1.20000               1                   0   42004192
               -4              18               1              HB  1.20000               1                   0   42004212
               -5              18               1              HB  1.20000               1                   0   42004292
               -6              18               1              HB  1.20000               1                   0   42004312
               -7              18               1              HB  1.20000               1                   0   42004392
               -8              18               1              HB  1.20000               1                   0   42004412
               -9              18               1              HB  1.20000               1                   0   42004492
              -10              18               1              HB  1.20000               1                   0   42004512
              -11              18               1              HB  1.20000               1                   0   42004592
              -12              18               1              HB  1.20000               1                   0   42004612
              -13              18               1              HB  1.20000               1                   0   42004692
              -14              18               1              HB  1.20000               1                   0   42004712
              -15              18               1              HB  1.20000               1                   0   42004792
              -15              18               2              HB  1.20000               1                   0   42008792
              -16              18               1              HB  1.20000               1                   0   42004812
              -16              18               2              HB  1.20000               1                   0   42008812
               -1              19               1              HB  1.20000               1                   0   42004093
               -2              19               1              HB  1.20000               1                   0   42004113
               -3              19               1              HB  1.20000               1                   0   42004193
               -4              19               1              HB  1.20000               1                   0   42004213
               -5              19               1              HB  1.20000               1                   0   42004293
               -6              19               1              HB  1.20000               1                   0   42004313
               -7              19               1              HB  1.20000               1                   0   42004393
               -8              19               1              HB  1.20000               1                   0   42004413
               -9              19               1              HB  1.20000               1                   0   42004493
              -10              19               1              HB  1.20000               1                   0   42004513
              -11              19               1              HB  1.20000               1                   0   42004593
              -12              19               1              HB  1.20000               1                   0   42004613
              -13              19               1              HB  1.20000               1                   0   42004693
              -14              19               1              HB  1.20000               1                   0   42004713
              -15              19               1              HB  1.20000               1                   0   42004793
              -15              19               2              HB  1.20000               1                   0   42008793
              -16              19               1              HB  1.20000               1                   0   42004813
              -16              19               2              HB  1.20000               1                   0   42008813
               -1              20               1              HB  1.20000               1                   0   42004094
               -2              20               1              HB  1.20000               1                   0   42004114
               -3              20               1              HB  1.20000               1                   0   42004194
               -4              20               1              HB  1.20000               1                   0   42004214
               -5              20               1              HB  1.20000               1                   0   42004294
               -6              20               1              HB  1.20000               1                   0   42004314
               -7              20               1              HB  1.20000               1                   0   42004394
               -8              20               1              HB  1.20000               1                   0   42004414
               -9              20               1              HB  1.20000               1                   0   42004494
              -10              20               1              HB  1.20000               1                   0   42004514
              -11              20               1              HB  1.20000               1                   0   42004594
              -12              20               1              HB  1.20000               1                   0   42004614
              -13              20               1              HB  1.20000               1                   0   42004694
              -14              20               1              HB  1.20000               1                   0   42004714
              -15              20               1              HB  1.20000               1                   0   42004794
              -15              20               2              HB  1.20000               1                   0   42008794
              -16              20               1              HB  1.20000               1                   0   42004814
              -16              20               2              HB  1.20000               1                   0   42008814
               -1              21               1              HB  1.20000               1                   0   42004095
               -2              21               1              HB  1.20000               1                   0   42004115
               -3              21               1              HB  1.20000               1                   0   42004195
               -4              21               1              HB  1.20000               1                   0   42004215
               -5              21               1              HB  1.20000               1                   0   42004295
               -6              21               1              HB  1.20000               1                   0   42004315
               -7              21               1              HB  1.20000               1                   0   42004395
               -8              21               1              HB  1.20000               1                   0   42004415
               -9              21               1              HB  1.20000               1                   0   42004495
