#             eta             phi             dep             det        firstSample    samplesToAdd      DetId
               -1              13               6      CASTOR_HAD               4               2         560000C6
               -1              13               7      CASTOR_HAD               4               2         560000C7
               -1              13               8      CASTOR_HAD               4               2         560000C8
               -1              13               9      CASTOR_HAD               4               2         560000C9
               -1              13              10      CASTOR_HAD               4               2         560000CA
               -1              13              11      CASTOR_HAD               4               2         560000CB
               -1              13              12      CASTOR_HAD               4               2         560000CC
               -1              13              13      CASTOR_HAD               4               2         560000CD
               -1              13              14      CASTOR_HAD               4               2         560000CE
               -1              14               1       CASTOR_EM               4               2         560000D1
               -1              14               2       CASTOR_EM               4               2         560000D2
               -1              14               3      CASTOR_HAD               4               2         560000D3
               -1              14               4      CASTOR_HAD               4               2         560000D4
               -1              14               5      CASTOR_HAD               4               2         560000D5
               -1              14               6      CASTOR_HAD               4               2         560000D6
               -1              14               7      CASTOR_HAD               4               2         560000D7
               -1              14               8      CASTOR_HAD               4               2         560000D8
               -1              14               9      CASTOR_HAD               4               2         560000D9
               -1              14              10      CASTOR_HAD               4               2         560000DA
               -1              14              11      CASTOR_HAD               4               2         560000DB
               -1              14              12      CASTOR_HAD               4               2         560000DC
               -1              14              13      CASTOR_HAD               4               2         560000DD
               -1              14              14      CASTOR_HAD               4               2         560000DE
               -1              15               1       CASTOR_EM               4               2         560000E1
               -1              15               2       CASTOR_EM               4               2         560000E2
               -1              15               3      CASTOR_HAD               4               2         560000E3
               -1              15               4      CASTOR_HAD               4               2         560000E4
               -1              15               5      CASTOR_HAD               4               2         560000E5
               -1              15               6      CASTOR_HAD               4               2         560000E6
               -1              15               7      CASTOR_HAD               4               2         560000E7
               -1              15               8      CASTOR_HAD               4               2         560000E8
               -1              15               9      CASTOR_HAD               4               2         560000E9
               -1              15              10      CASTOR_HAD               4               2         560000EA
               -1              15              11      CASTOR_HAD               4               2         560000EB
               -1              15              12      CASTOR_HAD               4               2         560000EC
               -1              15              13      CASTOR_HAD               4               2         560000ED
               -1              15              14      CASTOR_HAD               4               2         560000EE
               -1              16               1       CASTOR_EM               4               2         560000F1
               -1              16               2       CASTOR_EM               4               2         560000F2
               -1              16               3      CASTOR_HAD               4               2         560000F3
               -1              16               4      CASTOR_HAD               4               2         560000F4
               -1              16               5      CASTOR_HAD               4               2         560000F5
               -1              16               6      CASTOR_HAD               4               2         560000F6
               -1              16               7      CASTOR_HAD               4               2         560000F7
               -1              16               8      CASTOR_HAD               4               2         560000F8
               -1              16               9      CASTOR_HAD               4               2         560000F9
               -1              16              10      CASTOR_HAD               4               2         560000FA
               -1              16              11      CASTOR_HAD               4               2         560000FB
               -1              16              12      CASTOR_HAD               4               2         560000FC
               -1              16              13      CASTOR_HAD               4               2         560000FD
               -1              16              14      CASTOR_HAD               4               2         560000FE
