#U fC  << this is the unit 
#             eta             phi             dep             det     cap0     cap1     cap2     cap3 widthcap0 widthcap1 widthcap2 widthcap3      DetId
               -1               8               1       CASTOR_EM 10.57099 10.74407 10.41551  9.89087  8.68367  8.71127  8.65589  8.83018   56000071
               -1               8               2       CASTOR_EM 10.23180 10.01272 10.26342 10.88747  7.09731  6.85327  7.00893  6.97142   56000072
               -1               8               3      CASTOR_HAD 10.91252 11.54466 11.66434 12.19258  8.49011  8.32765  8.35139  8.45348   56000073
               -1               8               4      CASTOR_HAD  9.97134  9.07325 10.82905 10.67626  8.25937  8.12097  7.98428  8.09824   56000074
               -1               8               5      CASTOR_HAD 10.41231  8.74961 10.38082  9.13467  7.61007  7.59954  7.62379  7.65750   56000075
               -1               8               6      CASTOR_HAD 10.22800 11.00157 10.60979 11.42383  7.06110  7.01715  7.16730  6.92838   56000076
               -1               8               7      CASTOR_HAD 10.70816 11.57630 11.61139 11.60735  7.30758  7.23880  7.19075  7.18373   56000077
               -1               8               8      CASTOR_HAD 28.22545 27.94204 28.54810 27.91496 1789.17810 1786.11829 1778.22839 1764.81287   56000078
               -1               8               9      CASTOR_HAD 10.77759 11.16578 10.81715 11.60489  7.98538  7.96028  7.99355  7.89855   56000079
               -1               8              10      CASTOR_HAD 11.09069 10.84068 11.34689 11.54706  7.21659  7.13134  7.08309  7.09989   5600007A
               -1               8              11      CASTOR_HAD 11.07010 11.37401 11.12410 10.86453  7.31942  7.25905  7.22370  7.18583   5600007B
               -1               8              12      CASTOR_HAD 11.08639 12.24057 10.36623 11.23921  8.12205  7.85243  7.86253  8.10502   5600007C
               -1               8              13      CASTOR_HAD 10.92092  9.93374 10.71356 10.98711  6.95196  6.98233  6.73162  6.67206   5600007D
               -1               8              14      CASTOR_HAD 12.25474 11.17881 12.19194 11.62850  7.07172  7.31086  7.00232  7.03489   5600007E
               -1               9               1       CASTOR_EM  9.27223 10.15185  8.56999  9.91527  7.42092  7.46413  7.18780  7.43445   56000081
               -1               9               2       CASTOR_EM  9.85697 10.16158 10.00852 10.51706  7.06263  7.00345  6.84043  6.95049   56000082
               -1               9               3      CASTOR_HAD 10.46160 10.30004 10.84810 11.33835  7.69326  7.74373  7.72315  7.71581   56000083
               -1               9               4      CASTOR_HAD 10.38360  9.40276 10.25546  9.68190  8.67821  8.56052  8.58860  8.65912   56000084
               -1               9               5      CASTOR_HAD 10.82662 10.70397 11.07033 11.31985  7.11504  6.99146  7.11605  7.17688   56000085
               -1               9               6      CASTOR_HAD 10.69859 10.57670 11.27459 11.24095  6.71764  6.69782  6.60069  6.71157   56000086
               -1               9               7      CASTOR_HAD  9.60463 11.86101 11.55953 11.62721  6.38878  6.37698  6.42017  6.44630   56000087
               -1               9               8      CASTOR_HAD 10.52790 10.09481 10.42715 11.02573  8.15540  8.19763  7.99060  8.06582   56000088
               -1               9               9      CASTOR_HAD 10.51028 10.44982 10.40216 10.29963  7.01310  6.94779  6.92027  6.85111   56000089
               -1               9              10      CASTOR_HAD  9.06557  9.52584  9.85208 10.59115  8.10038  8.14100  8.04399  8.13533   5600008A
               -1               9              11      CASTOR_HAD 10.08026  9.88652 10.37919 10.44660  7.99252  7.92088  7.99223  8.02815   5600008B
               -1               9              12      CASTOR_HAD 11.58063 10.88453 11.43117 11.67435  8.55241  8.29389  8.36394  8.38172   5600008C
               -1               9              13      CASTOR_HAD  9.69390 12.29200 11.63301 11.51684  6.64475  6.42821  6.48114  6.57198   5600008D
               -1               9              14      CASTOR_HAD 10.29738 11.68933 11.32648 11.25807  8.97057  8.88141  8.81762  8.94690   5600008E
               -1              10               1       CASTOR_EM 10.49944 11.12364 11.35226 11.56115  8.02523  7.98821  7.89140  8.01849   56000091
               -1              10               2       CASTOR_EM 10.98091 11.09817 10.92807 11.17396  6.84975  6.71681  6.83612  6.77647   56000092
               -1              10               3      CASTOR_HAD 12.01987 12.22128 13.19907 11.49047  8.28205  8.21726  8.12378  8.10744   56000093
               -1              10               4      CASTOR_HAD  9.73193  9.85265 10.43202 10.44810  6.68470  6.61456  6.57199  6.67621   56000094
               -1              10               5      CASTOR_HAD 11.55918 11.22098 11.69988 11.33428  7.00379  6.86450  6.75572  6.88655   56000095
               -1              10               6      CASTOR_HAD 10.56474 10.45702 10.92280 11.13657  6.47279  6.67311  6.63644  6.54955   56000096
               -1              10               7      CASTOR_HAD 10.39878 10.36012 10.17575 10.43282  7.00509  7.00254  6.81867  6.89636   56000097
               -1              10               8      CASTOR_HAD 10.75475 10.28580 12.11857 10.03636  7.59423  7.48580  7.27421  7.37945   56000098
               -1              10               9      CASTOR_HAD 10.62957 10.23147 10.54861 10.08632  7.66430  7.57043  7.50320  7.54525   56000099
               -1              10              10      CASTOR_HAD  9.77469 10.85714 10.55915 10.25436  7.32991  7.39335  7.18753  7.07871   5600009A
               -1              10              11      CASTOR_HAD 10.44380 11.59836 11.60599 10.84256  7.22969  7.08751  6.99546  6.96182   5600009B
               -1              10              12      CASTOR_HAD 10.73511 10.22148 11.64651 11.75811  8.22291  8.08568  8.15583  8.11240   5600009C
               -1              10              13      CASTOR_HAD 12.08584 11.17826 11.68678 11.74343  8.65427  8.53833  8.44685  8.58775   5600009D
               -1              10              14      CASTOR_HAD 11.49961 11.22798 11.57572 11.94807  7.67004  7.63482  7.44375  7.49075   5600009E
               -1              11               1       CASTOR_EM 11.06847 11.19110 11.11977 10.87064  7.89269  7.88222  7.73210  7.83217   560000A1
               -1              11               2       CASTOR_EM 10.24094 10.61181 10.42378 10.51605  7.74336  7.42287  7.45362  7.62136   560000A2
               -1              11               3      CASTOR_HAD  9.10559  9.88199  9.78683 10.47118 12.58417 12.42540 12.13600 12.26982   560000A3
               -1              11               4      CASTOR_HAD 11.37679 10.94805 11.95589  9.62960  8.04551  8.01355  8.06003  7.86132   560000A4
               -1              11               5      CASTOR_HAD 11.40983 10.79148 11.78809 11.80837  8.23074  8.15394  8.02344  8.18335   560000A5
               -1              11               6      CASTOR_HAD  9.79129 10.20923  9.43322  9.86939  6.77926  6.59316  6.58470  6.53209   560000A6
               -1              11               7      CASTOR_HAD 11.99708 11.94267 12.38472 12.72558  7.29042  7.25199  7.28753  7.35041   560000A7
               -1              11               8      CASTOR_HAD 10.35454  9.80475 10.16076 10.18670  7.47592  7.44304  7.42393  7.45116   560000A8
               -1              11               9      CASTOR_HAD 11.38410 10.92881 11.64355 11.17664  7.54893  7.27278  7.48273  7.50045   560000A9
               -1              11              10      CASTOR_HAD 10.98655 10.58719 10.58345 10.36813  6.41454  6.50511  6.50997  6.47357   560000AA
               -1              11              11      CASTOR_HAD 11.02218 11.80407 11.66569 11.74285  6.99849  6.93077  7.09785  6.83359   560000AB
               -1              11              12      CASTOR_HAD 11.47433 10.87465 11.47642 11.38943  8.99233  9.10329  8.94965  9.08002   560000AC
               -1              11              13      CASTOR_HAD 11.11568 11.38814 11.03397 10.73909  7.88178  7.97705  7.78289  7.78832   560000AD
               -1              11              14      CASTOR_HAD 10.67449 10.57858 10.00164  9.79535  7.45750  7.53463  7.52704  7.61282   560000AE
               -1              12               1       CASTOR_EM  9.79542 11.40822 11.05828 10.76311  8.25790  8.03620  8.28714  8.13272   560000B1
               -1              12               2       CASTOR_EM 11.95294 11.63681 11.90658 12.23772  8.36353  8.31660  8.28603  8.45694   560000B2
               -1              12               3      CASTOR_HAD  9.60202 10.86082 11.10640 11.39807  7.81089  7.86334  7.89321  7.84980   560000B3
               -1              12               4      CASTOR_HAD 11.67966 11.79810 12.07627 11.43401  8.36700  8.47990  8.25332  8.28120   560000B4
               -1              12               5      CASTOR_HAD 11.46836 11.06819 11.56844 11.76676  6.75913  6.75297  6.65755  6.59200   560000B5
               -1              12               6      CASTOR_HAD 10.63015 10.44437 10.77744 10.64369  8.28899  8.15775  7.99608  8.20032   560000B6
               -1              12               7      CASTOR_HAD  9.95000 10.84946 11.45183 11.27985  9.17199  9.19548  8.97257  9.01608   560000B7
               -1              12               8      CASTOR_HAD 10.50292 10.28687 11.35795 10.95548  7.67987  7.74628  7.64310  7.56881   560000B8
               -1              12               9      CASTOR_HAD  9.79240 10.05441 10.80717 10.65169  7.37434  7.33302  7.49815  7.36021   560000B9
               -1              12              10      CASTOR_HAD 11.95144 11.05465 11.93900 11.62243  7.19387  7.20671  7.24918  7.16875   560000BA
               -1              12              11      CASTOR_HAD 10.19667 10.55239 10.41150 10.98350  6.53354  6.44446  6.46288  6.39699   560000BB
               -1              12              12      CASTOR_HAD 11.27679 10.84230 10.79096 11.37036  7.73157  7.78661  7.63439  7.71956   560000BC
               -1              12              13      CASTOR_HAD  9.27990 10.18439 10.46347 10.22399  8.36066  8.27910  8.07968  8.13853   560000BD
               -1              12              14      CASTOR_HAD 10.75107 10.59210 10.43648 10.05661  5.71726  5.64976  5.73352  5.75442   560000BE
               -1              13               1       CASTOR_EM 11.70462 10.31854 12.07356 11.61786  9.69376  9.51779  9.73305  9.59557   560000C1
               -1              13               2       CASTOR_EM 11.95720 11.13214 11.10515 11.25851  9.27678  9.14272  9.25852  9.37932   560000C2
               -1              13               3      CASTOR_HAD 11.23177 11.34079 11.73893 11.61071 10.14833  9.90092  9.80236  9.88766   560000C3
               -1              13               4      CASTOR_HAD 10.71829 10.54761 11.51843 11.11991  7.26543  7.23768  7.21803  7.29260   560000C4
               -1              13               5      CASTOR_HAD 11.38524 10.88477 11.36294 11.50912  7.09494  7.07800  7.04080  6.99640   560000C5
               -1              13               6      CASTOR_HAD 10.86335 10.75315 10.99939 10.73325  9.57185  9.37152  9.34916  9.32456   560000C6
               -1              13               7      CASTOR_HAD 10.81647  9.67380 10.68219 10.57078  8.60376  8.38973  8.34079  8.32390   560000C7
               -1              13               8      CASTOR_HAD 10.11903  9.65472 11.19163 10.46660 10.01565  9.84262  9.82176  9.71134   560000C8
               -1              13               9      CASTOR_HAD  6.55818  7.53746  6.57016  7.27951  8.37701  8.26205  8.27484  8.29226   560000C9
               -1              13              10      CASTOR_HAD 10.68229 10.57647 10.86864 10.89052  7.04501  7.02272  6.96175  6.97473   560000CA
               -1              13              11      CASTOR_HAD 11.13416 11.32368 11.28498 11.53207 10.10861  9.86724  9.78936  9.94984   560000CB
               -1              13              12      CASTOR_HAD 10.02984 11.45151 10.70910 11.05520  6.51311  6.46113  6.30257  6.37508   560000CC
               -1              13              13      CASTOR_HAD 10.62214  9.42738 10.10512 10.28357  5.84126  5.93407  5.79191  5.87701   560000CD
               -1              13              14      CASTOR_HAD 10.60229 10.95022 11.32270 11.71322  6.37173  6.33636  6.43130  6.32534   560000CE
               -1              14               1       CASTOR_EM 10.49557 10.98165 10.26259 11.03817  8.74818  8.98410  8.81727  8.79939   560000D1
               -1              14               2       CASTOR_EM 11.67450 11.84770 12.45957 12.22231  8.76585  8.73357  8.86218  8.94900   560000D2
               -1              14               3      CASTOR_HAD 10.33563 10.62421 10.33111 10.64586  7.57045  7.52409  7.51539  7.45390   560000D3
               -1              14               4      CASTOR_HAD 10.09940  9.78954  9.18509 10.82500  7.14357  7.03016  6.91374  7.02586   560000D4
               -1              14               5      CASTOR_HAD 10.10866 10.43878 11.27379 11.41969  7.38450  7.41172  7.12248  7.25472   560000D5
               -1              14               6      CASTOR_HAD  9.80344  9.02518  9.63934  9.87290  6.70061  6.69604  6.75900  6.75388   560000D6
               -1              14               7      CASTOR_HAD 12.19623 12.05124 12.14802 11.79593  7.65901  7.61246  7.58867  7.41596   560000D7
               -1              14               8      CASTOR_HAD 11.52999 11.38580 10.54279 10.99805  7.28268  7.02777  7.19037  7.01432   560000D8
               -1              14               9      CASTOR_HAD 10.63939 10.15268 10.95295 10.73069  8.27596  8.10760  8.04979  8.13343   560000D9
               -1              14              10      CASTOR_HAD 10.06476  9.26330  9.80225  9.12001  6.61946  6.46872  6.52010  6.55408   560000DA
               -1              14              11      CASTOR_HAD  9.33840  9.97852  9.60653  9.78947  7.03872  6.89334  6.86816  6.92863   560000DB
               -1              14              12      CASTOR_HAD 11.19940  8.84039 10.02121  9.92367  7.19054  7.05630  7.05612  7.06817   560000DC
               -1              14              13      CASTOR_HAD 11.29369 10.24853 11.04107 11.07887 28.49056 28.52984 28.68318 27.86964   560000DD
               -1              14              14      CASTOR_HAD  9.42514  9.84817 10.73935 10.70913  7.76923  7.77315  7.70487  7.78050   560000DE
               -1              15               1       CASTOR_EM 11.54062 10.83419 11.95509 12.06218  7.30835  7.26128  7.40043  7.25194   560000E1
               -1              15               2       CASTOR_EM 12.03648 11.07869 11.08380 11.80533 12.21651 12.09786 12.32713 12.28843   560000E2
               -1              15               3      CASTOR_HAD 11.46222 12.12828 11.72296 12.80214  9.38475  9.43352  9.35681  9.17106   560000E3
               -1              15               4      CASTOR_HAD 11.27147 11.18717 11.81824 10.90742  7.94408  7.85403  7.72751  7.96721   560000E4
               -1              15               5      CASTOR_HAD 10.10148 10.34392 10.30060 10.93929  6.82244  6.52373  6.56469  6.58157   560000E5
               -1              15               6      CASTOR_HAD 11.30502 10.90156 11.66436 10.51361  7.65123  7.56161  7.41518  7.59357   560000E6
               -1              15               7      CASTOR_HAD 12.37306 11.39044 12.21746 12.75085  8.42831  8.35827  8.22974  8.20071   560000E7
               -1              15               8      CASTOR_HAD  9.94336 10.38232 10.33463 10.73409  6.80266  6.74952  6.86245  6.81704   560000E8
               -1              15               9      CASTOR_HAD 10.32543 11.02140 10.29814 11.33660  6.92432  7.02594  6.77167  6.78183   560000E9
               -1              15              10      CASTOR_HAD 11.68183 12.13788 11.89551 12.11437  7.92921  7.83038  7.79914  8.02145   560000EA
               -1              15              11      CASTOR_HAD 10.56225 10.56130 11.05223 10.75136  7.53692  7.31752  7.36773  7.37444   560000EB
               -1              15              12      CASTOR_HAD 10.97761 10.90135 11.01534 11.19514  8.04125  7.92482  7.94952  7.78264   560000EC
               -1              15              13      CASTOR_HAD 11.87728 11.67614 12.61900 12.81893  7.12950  7.10622  7.16591  7.15957   560000ED
               -1              15              14      CASTOR_HAD 11.94292 11.59794 11.92930 11.80231  6.53346  6.46306  6.37045  6.37040   560000EE
               -1              16               1       CASTOR_EM 10.02095  9.67056 10.17035 10.04217  9.00568  8.85776  8.82938  8.96614   560000F1
               -1              16               2       CASTOR_EM 10.46992 10.01441 10.62167 11.12383  7.95817  7.95450  7.89534  7.84710   560000F2
               -1              16               3      CASTOR_HAD 10.97198 11.07879 11.08763 10.55374  7.63532  7.51497  7.61983  7.38266   560000F3
               -1              16               4      CASTOR_HAD  9.11612 10.38446 10.29828  9.71863  7.71456  7.75866  7.69880  7.66747   560000F4
               -1              16               5      CASTOR_HAD 11.39671 10.73977  9.71080 11.05303  6.80509  6.81441  6.56251  6.68928   560000F5
               -1              16               6      CASTOR_HAD 41.04681 41.21350 40.86191 41.38469 4822.72852 4770.18164 4742.59277 4745.10596   560000F6
               -1              16               7      CASTOR_HAD 13.52064 11.94474 12.98661 12.70843  6.31104  6.43407  6.56284  6.56085   560000F7
               -1              16               8      CASTOR_HAD 11.21862 11.86809 11.60425 11.96916  6.14547  5.88851  5.88321  5.98488   560000F8
               -1              16               9      CASTOR_HAD 10.57345 11.75261 10.23841 10.92456  7.43734  7.52331  7.38383  7.41747   560000F9
               -1              16              10      CASTOR_HAD 10.69623 11.14016 10.63438 11.90766  6.72940  6.74957  6.67964  6.80598   560000FA
               -1              16              11      CASTOR_HAD 10.20055 10.13006 10.70936 11.05588  6.93376  6.87388  6.81990  6.97678   560000FB
