[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_quark}
26 32 8 9 4 0 100 9.474 8.829
26 32 9 10 4 0 100 9.606 8.934
26 32 10 11 4 0 100 9.726 9.164
26 32 11 12 4 0 100 9.282 9.265
26 32 12 13 4 0 100 9.505 9.393
26 32 13 14 4 0 100 9.459 9.496
26 32 14 15 4 0 100 9.804 9.706
26 32 15 16 4 0 100 9.833 9.825
26 32 16 17 4 0 100 9.597 9.862
26 32 17 18 4 0 100 10.052 10.030
26 32 18 19 4 0 100 10.386 10.165
26 32 19 20 4 0 100 10.772 10.205
26 32 20 21 4 0 100 10.161 10.408
26 32 21 22 4 0 100 10.199 10.586
26 32 22 23 4 0 100 10.046 10.559
26 32 23 24 4 0 100 9.899 10.875
26 32 24 25 4 0 100 10.341 10.916
26 32 25 26 4 0 100 10.655 11.208
26 32 26 27 4 0 100 11.184 11.143
26 32 27 28 4 0 100 11.148 11.242
26 32 28 29 4 0 100 10.827 11.193
26 32 29 30 4 0 100 12.212 11.647
26 32 30 31 4 0 100 14.395 11.588
26 32 31 32 4 0 100 11.311 11.764
26 32 32 33 4 0 100 14.388 11.821
26 32 33 34 4 0 100 14.963 12.411
26 32 34 35 4 0 100 17.792 11.904
26 32 35 36 4 0 100 24.202 12.701
26 32 36 37 4 0 100 20.003 12.349
26 32 37 38 4 0 100 18.989 11.682
26 32 38 39 4 0 100 17.493 12.470
26 32 39 40 4 0 100 21.909 11.227
26 32 40 41 4 0 100 21.440 10.272
26 32 41 42 4 0 100 50.000 12.714
26 32 42 43 4 0 100 1.176 100.000
26 32 43 44 4 0 100 50.000 11.348
26 32 44 100 4 0 100 50.000 11.517
32 40 0 1 4 0 100 50.000 7.349
32 40 1 2 4 0 100 13.342 8.042
32 40 2 3 4 0 100 9.089 8.603
32 40 3 4 4 0 100 9.505 8.915
32 40 4 5 4 0 100 9.375 9.196
32 40 5 6 4 0 100 9.269 9.319
32 40 6 7 4 0 100 9.079 9.468
32 40 7 8 4 0 100 9.264 9.611
32 40 8 9 4 0 100 9.446 9.731
32 40 9 10 4 0 100 9.690 10.014
32 40 10 11 4 0 100 9.857 10.021
32 40 11 12 4 0 100 9.585 10.120
32 40 12 13 4 0 100 9.760 10.397
32 40 13 14 4 0 100 9.986 10.435
32 40 14 15 4 0 100 9.608 10.615
32 40 15 16 4 0 100 9.849 10.645
32 40 16 17 4 0 100 10.073 10.864
32 40 17 18 4 0 100 9.992 10.920
32 40 18 19 4 0 100 10.274 11.067
32 40 19 20 4 0 100 10.208 11.304
32 40 20 21 4 0 100 9.885 11.390
32 40 21 22 4 0 100 9.896 11.484
32 40 22 23 4 0 100 10.099 11.613
32 40 23 24 4 0 100 10.653 11.815
32 40 24 25 4 0 100 10.380 11.804
32 40 25 26 4 0 100 10.140 11.908
32 40 26 27 4 0 100 10.630 12.057
32 40 27 28 4 0 100 11.007 12.049
32 40 28 29 4 0 100 9.549 11.989
32 40 29 30 4 0 100 10.664 12.313
32 40 30 31 4 0 100 11.613 12.455
32 40 31 32 4 0 100 12.344 12.428
32 40 32 33 4 0 100 13.488 12.828
32 40 33 34 4 0 100 14.049 12.082
32 40 34 35 4 0 100 12.898 12.447
32 40 35 36 4 0 100 13.223 12.401
32 40 36 37 4 0 100 23.122 13.167
32 40 37 38 4 0 100 15.493 13.517
32 40 38 39 4 0 100 19.222 12.919
32 40 39 40 4 0 100 15.152 11.797
32 40 40 41 4 0 100 50.000 15.571
32 40 41 42 4 0 100 48.081 12.060
32 40 42 43 4 0 100 50.000 14.590
32 40 43 44 4 0 100 50.000 14.694
32 40 44 100 4 0 100 50.000 11.983
40 51 0 1 4 0 100 12.015 7.121
40 51 1 2 4 0 100 16.184 8.826
40 51 2 3 4 0 100 9.204 9.556
40 51 3 4 4 0 100 9.409 9.911
40 51 4 5 4 0 100 8.702 10.273
40 51 5 6 4 0 100 9.102 10.413
40 51 6 7 4 0 100 9.166 10.511
40 51 7 8 4 0 100 9.189 10.735
40 51 8 9 4 0 100 9.227 10.903
40 51 9 10 4 0 100 9.572 10.964
40 51 10 11 4 0 100 9.239 11.175
40 51 11 12 4 0 100 9.511 11.317
40 51 12 13 4 0 100 9.413 11.365
40 51 13 14 4 0 100 9.245 11.601
40 51 14 15 4 0 100 9.264 11.587
40 51 15 16 4 0 100 9.083 11.744
40 51 16 17 4 0 100 9.521 11.942
40 51 17 18 4 0 100 9.972 12.072
40 51 18 19 4 0 100 9.243 12.098
40 51 19 20 4 0 100 9.883 12.240
40 51 20 21 4 0 100 9.524 12.264
40 51 21 22 4 0 100 10.004 12.459
40 51 22 23 4 0 100 9.743 12.585
40 51 23 24 4 0 100 9.175 12.546
40 51 24 25 4 0 100 10.111 12.662
40 51 25 26 4 0 100 10.187 12.970
40 51 26 27 4 0 100 9.507 12.800
40 51 27 28 4 0 100 10.286 12.824
40 51 28 29 4 0 100 10.051 13.086
40 51 29 30 4 0 100 9.714 13.296
40 51 30 31 4 0 100 10.618 13.397
40 51 31 32 4 0 100 10.498 13.415
40 51 32 33 4 0 100 10.741 13.314
40 51 33 34 4 0 100 11.271 13.372
40 51 34 35 4 0 100 13.109 13.248
40 51 35 36 4 0 100 13.414 13.181
40 51 36 37 4 0 100 14.697 13.077
40 51 37 38 4 0 100 14.394 13.865
40 51 38 39 4 0 100 20.882 13.435
40 51 39 40 4 0 100 20.036 13.153
40 51 40 41 4 0 100 19.908 13.568
40 51 41 42 4 0 100 22.246 12.833
40 51 42 43 4 0 100 50.000 13.043
40 51 43 44 4 0 100 50.000 12.787
40 51 44 100 4 0 100 41.867 10.934
51 64 0 1 4 0 100 1.149 100.000
51 64 1 2 4 0 100 10.821 10.580
51 64 2 3 4 0 100 9.021 10.950
51 64 3 4 4 0 100 9.098 11.128
51 64 4 5 4 0 100 9.004 11.347
51 64 5 6 4 0 100 9.135 11.563
51 64 6 7 4 0 100 8.521 11.698
51 64 7 8 4 0 100 8.926 11.866
51 64 8 9 4 0 100 9.175 12.006
51 64 9 10 4 0 100 8.797 12.160
51 64 10 11 4 0 100 9.052 12.268
51 64 11 12 4 0 100 9.016 12.469
51 64 12 13 4 0 100 9.254 12.556
51 64 13 14 4 0 100 9.389 12.649
51 64 14 15 4 0 100 9.505 12.729
51 64 15 16 4 0 100 9.375 12.822
51 64 16 17 4 0 100 9.362 12.906
51 64 17 18 4 0 100 9.495 13.052
51 64 18 19 4 0 100 9.523 13.170
51 64 19 20 4 0 100 9.301 13.299
51 64 20 21 4 0 100 9.538 13.320
51 64 21 22 4 0 100 9.654 13.491
51 64 22 23 4 0 100 9.507 13.548
51 64 23 24 4 0 100 9.667 13.617
51 64 24 25 4 0 100 10.082 13.769
51 64 25 26 4 0 100 9.841 13.819
51 64 26 27 4 0 100 9.502 13.985
51 64 27 28 4 0 100 10.157 14.124
51 64 28 29 4 0 100 9.917 14.161
51 64 29 30 4 0 100 10.538 14.421
51 64 30 31 4 0 100 10.061 14.130
51 64 31 32 4 0 100 10.029 14.521
51 64 32 33 4 0 100 10.228 14.563
51 64 33 34 4 0 100 9.541 14.370
51 64 34 35 4 0 100 10.324 14.438
51 64 35 36 4 0 100 13.317 14.562
51 64 36 37 4 0 100 11.162 14.458
51 64 37 38 4 0 100 11.594 14.337
51 64 38 39 4 0 100 21.151 15.108
51 64 39 40 4 0 100 12.387 15.150
51 64 40 41 4 0 100 20.416 15.008
51 64 41 42 4 0 100 15.686 14.559
51 64 42 43 4 0 100 24.906 13.235
51 64 43 44 4 0 100 33.938 13.315
51 64 44 100 4 0 100 50.000 14.571
64 80 0 1 4 0 100 49.275 10.348
64 80 1 2 4 0 100 11.200 11.012
64 80 2 3 4 0 100 8.704 12.095
64 80 3 4 4 0 100 8.852 12.472
64 80 4 5 4 0 100 8.847 12.553
64 80 5 6 4 0 100 8.455 12.749
64 80 6 7 4 0 100 8.723 12.832
64 80 7 8 4 0 100 8.561 13.018
64 80 8 9 4 0 100 8.624 13.103
64 80 9 10 4 0 100 8.668 13.212
64 80 10 11 4 0 100 8.728 13.393
64 80 11 12 4 0 100 8.999 13.481
64 80 12 13 4 0 100 8.939 13.571
64 80 13 14 4 0 100 8.810 13.713
64 80 14 15 4 0 100 8.797 13.789
64 80 15 16 4 0 100 8.812 14.041
64 80 16 17 4 0 100 8.700 14.033
64 80 17 18 4 0 100 9.249 14.164
64 80 18 19 4 0 100 8.829 14.253
64 80 19 20 4 0 100 9.033 14.322
64 80 20 21 4 0 100 8.859 14.501
64 80 21 22 4 0 100 9.015 14.471
64 80 22 23 4 0 100 9.381 14.651
64 80 23 24 4 0 100 9.261 14.781
64 80 24 25 4 0 100 9.371 14.954
64 80 25 26 4 0 100 8.982 14.825
64 80 26 27 4 0 100 9.518 14.920
64 80 27 28 4 0 100 9.071 15.001
64 80 28 29 4 0 100 9.266 15.121
64 80 29 30 4 0 100 10.107 15.138
64 80 30 31 4 0 100 9.921 15.169
64 80 31 32 4 0 100 10.421 15.462
64 80 32 33 4 0 100 10.072 15.055
64 80 33 34 4 0 100 10.177 15.465
64 80 34 35 4 0 100 9.679 15.656
64 80 35 36 4 0 100 10.226 15.455
64 80 36 37 4 0 100 12.432 15.565
64 80 37 38 4 0 100 13.308 15.533
64 80 38 39 4 0 100 14.898 15.161
64 80 39 40 4 0 100 13.885 15.440
64 80 40 41 4 0 100 14.969 13.821
64 80 41 42 4 0 100 22.138 16.763
64 80 42 43 4 0 100 30.235 16.494
64 80 43 44 4 0 100 35.830 14.754
64 80 44 100 4 0 100 50.000 18.440
80 101 0 1 4 0 100 1.099 100.000
80 101 1 2 4 0 100 8.839 13.043
80 101 2 3 4 0 100 8.238 13.084
80 101 3 4 4 0 100 8.113 13.574
80 101 4 5 4 0 100 8.072 13.785
80 101 5 6 4 0 100 8.345 13.788
80 101 6 7 4 0 100 8.260 14.045
80 101 7 8 4 0 100 8.323 14.214
80 101 8 9 4 0 100 8.101 14.252
80 101 9 10 4 0 100 8.414 14.400
80 101 10 11 4 0 100 8.381 14.480
80 101 11 12 4 0 100 8.398 14.590
80 101 12 13 4 0 100 8.474 14.762
80 101 13 14 4 0 100 8.530 14.800
80 101 14 15 4 0 100 8.772 14.941
80 101 15 16 4 0 100 8.404 15.024
80 101 16 17 4 0 100 8.736 15.153
80 101 17 18 4 0 100 8.575 15.262
80 101 18 19 4 0 100 8.647 15.329
80 101 19 20 4 0 100 8.679 15.542
80 101 20 21 4 0 100 8.482 15.528
80 101 21 22 4 0 100 9.087 15.619
80 101 22 23 4 0 100 8.992 15.900
80 101 23 24 4 0 100 9.079 16.056
80 101 24 25 4 0 100 8.693 15.912
80 101 25 26 4 0 100 9.186 16.045
80 101 26 27 4 0 100 8.810 16.058
80 101 27 28 4 0 100 9.189 16.243
80 101 28 29 4 0 100 8.655 16.039
80 101 29 30 4 0 100 8.878 16.384
80 101 30 31 4 0 100 9.390 16.427
80 101 31 32 4 0 100 9.342 16.361
80 101 32 33 4 0 100 9.295 16.443
80 101 33 34 4 0 100 8.939 16.369
80 101 34 35 4 0 100 10.683 16.237
80 101 35 36 4 0 100 10.785 16.487
80 101 36 37 4 0 100 11.706 16.904
80 101 37 38 4 0 100 9.963 16.166
80 101 38 39 4 0 100 12.100 16.894
80 101 39 40 4 0 100 15.341 16.533
80 101 40 41 4 0 100 17.064 15.493
80 101 41 42 4 0 100 18.105 16.756
80 101 42 43 4 0 100 19.342 16.128
80 101 43 44 4 0 100 17.460 13.684
80 101 44 100 4 0 100 31.397 15.361
101 127 0 1 4 0 100 50.000 9.215
101 127 1 2 4 0 100 9.120 13.532
101 127 2 3 4 0 100 7.851 14.556
101 127 3 4 4 0 100 7.668 14.426
101 127 4 5 4 0 100 7.711 14.747
101 127 5 6 4 0 100 7.791 15.065
101 127 6 7 4 0 100 7.959 15.230
101 127 7 8 4 0 100 8.016 15.387
101 127 8 9 4 0 100 7.851 15.476
101 127 9 10 4 0 100 7.879 15.620
101 127 10 11 4 0 100 8.005 15.724
101 127 11 12 4 0 100 8.045 15.778
101 127 12 13 4 0 100 7.969 15.844
101 127 13 14 4 0 100 8.148 15.981
101 127 14 15 4 0 100 8.101 16.071
101 127 15 16 4 0 100 8.310 16.216
101 127 16 17 4 0 100 8.368 16.233
101 127 17 18 4 0 100 8.235 16.322
101 127 18 19 4 0 100 8.407 16.500
101 127 19 20 4 0 100 8.251 16.572
101 127 20 21 4 0 100 8.483 16.570
101 127 21 22 4 0 100 8.375 16.611
101 127 22 23 4 0 100 8.393 16.752
101 127 23 24 4 0 100 8.538 16.931
101 127 24 25 4 0 100 8.770 17.068
101 127 25 26 4 0 100 8.724 17.119
101 127 26 27 4 0 100 8.559 17.243
101 127 27 28 4 0 100 8.869 17.369
101 127 28 29 4 0 100 9.221 17.472
101 127 29 30 4 0 100 8.794 17.554
101 127 30 31 4 0 100 8.369 17.332
101 127 31 32 4 0 100 8.426 17.432
101 127 32 33 4 0 100 8.820 17.639
101 127 33 34 4 0 100 9.186 17.672
101 127 34 35 4 0 100 11.122 17.464
101 127 35 36 4 0 100 9.049 17.626
101 127 36 37 4 0 100 11.272 17.120
101 127 37 38 4 0 100 10.167 18.359
101 127 38 39 4 0 100 9.128 17.351
101 127 39 40 4 0 100 11.334 17.323
101 127 40 41 4 0 100 23.399 15.669
101 127 41 42 4 0 100 16.153 17.136
101 127 42 43 4 0 100 49.920 17.335
101 127 43 44 4 0 100 22.067 17.347
101 127 44 100 4 0 100 17.226 17.291
127 159 0 1 4 0 100 5.934 16.243
127 159 1 2 4 0 100 11.635 14.368
127 159 2 3 4 0 100 8.195 15.093
127 159 3 4 4 0 100 7.603 15.857
127 159 4 5 4 0 100 7.468 16.078
127 159 5 6 4 0 100 7.713 16.141
127 159 6 7 4 0 100 7.429 16.430
127 159 7 8 4 0 100 7.629 16.422
127 159 8 9 4 0 100 7.730 16.660
127 159 9 10 4 0 100 7.611 16.682
127 159 10 11 4 0 100 7.707 16.710
127 159 11 12 4 0 100 7.938 16.876
127 159 12 13 4 0 100 7.925 17.038
127 159 13 14 4 0 100 8.010 17.051
127 159 14 15 4 0 100 8.230 17.058
127 159 15 16 4 0 100 8.139 17.207
127 159 16 17 4 0 100 7.924 17.261
127 159 17 18 4 0 100 8.166 17.416
127 159 18 19 4 0 100 8.002 17.571
127 159 19 20 4 0 100 7.769 17.655
127 159 20 21 4 0 100 8.159 17.664
127 159 21 22 4 0 100 8.043 17.809
127 159 22 23 4 0 100 8.093 17.861
127 159 23 24 4 0 100 8.213 18.066
127 159 24 25 4 0 100 7.961 18.045
127 159 25 26 4 0 100 8.146 18.227
127 159 26 27 4 0 100 8.652 18.354
127 159 27 28 4 0 100 8.422 18.314
127 159 28 29 4 0 100 8.519 18.713
127 159 29 30 4 0 100 8.621 18.613
127 159 30 31 4 0 100 8.385 18.707
127 159 31 32 4 0 100 9.009 18.401
127 159 32 33 4 0 100 8.513 18.813
127 159 33 34 4 0 100 9.205 18.956
127 159 34 35 4 0 100 8.943 19.021
127 159 35 36 4 0 100 10.043 18.538
127 159 36 37 4 0 100 10.064 18.996
127 159 37 38 4 0 100 10.621 18.913
127 159 38 39 4 0 100 10.463 18.331
127 159 39 40 4 0 100 11.151 18.723
127 159 40 41 4 0 100 9.990 18.354
127 159 41 42 4 0 100 11.218 18.066
127 159 42 43 4 0 100 16.614 20.011
127 159 43 44 4 0 100 31.791 14.797
127 159 44 100 4 0 100 21.099 17.923
159 201 0 1 4 0 100 22.746 12.832
159 201 1 2 4 0 100 9.745 16.386
159 201 2 3 4 0 100 6.587 17.112
159 201 3 4 4 0 100 7.335 17.059
159 201 4 5 4 0 100 7.354 17.345
159 201 5 6 4 0 100 7.075 17.467
159 201 6 7 4 0 100 7.428 17.391
159 201 7 8 4 0 100 7.291 17.623
159 201 8 9 4 0 100 7.312 17.628
159 201 9 10 4 0 100 7.533 17.742
159 201 10 11 4 0 100 7.509 17.868
159 201 11 12 4 0 100 7.503 17.961
159 201 12 13 4 0 100 7.545 18.112
159 201 13 14 4 0 100 7.582 18.219
159 201 14 15 4 0 100 7.648 18.304
159 201 15 16 4 0 100 7.615 18.447
159 201 16 17 4 0 100 7.680 18.425
159 201 17 18 4 0 100 7.623 18.516
159 201 18 19 4 0 100 7.899 18.697
159 201 19 20 4 0 100 7.824 18.810
159 201 20 21 4 0 100 7.758 18.820
159 201 21 22 4 0 100 8.080 18.916
159 201 22 23 4 0 100 7.954 19.073
159 201 23 24 4 0 100 7.877 19.036
159 201 24 25 4 0 100 7.978 19.233
159 201 25 26 4 0 100 7.872 19.407
159 201 26 27 4 0 100 7.784 19.461
159 201 27 28 4 0 100 8.379 19.336
159 201 28 29 4 0 100 7.951 19.568
159 201 29 30 4 0 100 7.944 19.678
159 201 30 31 4 0 100 8.349 19.620
159 201 31 32 4 0 100 8.311 19.777
159 201 32 33 4 0 100 8.824 19.934
159 201 33 34 4 0 100 8.151 19.663
159 201 34 35 4 0 100 8.948 19.670
159 201 35 36 4 0 100 9.112 19.420
159 201 36 37 4 0 100 8.403 19.706
159 201 37 38 4 0 100 12.003 19.792
159 201 38 39 4 0 100 9.448 19.890
159 201 39 40 4 0 100 10.271 19.737
159 201 40 41 4 0 100 11.728 19.957
159 201 41 42 4 0 100 15.721 18.937
159 201 42 43 4 0 100 12.922 20.517
159 201 43 44 4 0 100 14.401 20.488
159 201 44 100 4 0 100 18.016 19.425
201 252 0 1 4 0 100 41.831 12.696
201 252 1 2 4 0 100 12.339 16.367
201 252 2 3 4 0 100 6.898 18.045
201 252 3 4 4 0 100 6.966 18.353
201 252 4 5 4 0 100 6.803 18.532
201 252 5 6 4 0 100 6.940 18.718
201 252 6 7 4 0 100 6.943 18.637
201 252 7 8 4 0 100 7.119 18.731
201 252 8 9 4 0 100 7.022 18.947
201 252 9 10 4 0 100 7.314 18.998
201 252 10 11 4 0 100 7.172 19.092
201 252 11 12 4 0 100 7.257 19.223
201 252 12 13 4 0 100 7.306 19.227
201 252 13 14 4 0 100 7.435 19.363
201 252 14 15 4 0 100 7.389 19.475
201 252 15 16 4 0 100 7.236 19.675
201 252 16 17 4 0 100 7.384 19.674
201 252 17 18 4 0 100 7.729 19.591
201 252 18 19 4 0 100 7.649 19.774
201 252 19 20 4 0 100 7.492 19.995
201 252 20 21 4 0 100 7.719 19.924
201 252 21 22 4 0 100 7.490 20.049
201 252 22 23 4 0 100 7.635 20.157
201 252 23 24 4 0 100 7.490 20.226
201 252 24 25 4 0 100 8.039 20.309
201 252 25 26 4 0 100 7.977 20.269
201 252 26 27 4 0 100 7.573 20.261
201 252 27 28 4 0 100 7.760 20.582
201 252 28 29 4 0 100 8.088 20.426
201 252 29 30 4 0 100 7.762 20.680
201 252 30 31 4 0 100 7.631 20.602
201 252 31 32 4 0 100 7.620 20.999
201 252 32 33 4 0 100 7.688 20.952
201 252 33 34 4 0 100 7.503 21.034
201 252 34 35 4 0 100 7.434 21.408
201 252 35 36 4 0 100 8.066 21.218
201 252 36 37 4 0 100 8.554 20.260
201 252 37 38 4 0 100 8.581 21.132
201 252 38 39 4 0 100 10.150 20.699
201 252 39 40 4 0 100 15.084 18.685
201 252 40 41 4 0 100 10.300 20.149
201 252 41 42 4 0 100 15.831 19.259
201 252 42 43 4 0 100 16.284 21.023
201 252 43 44 4 0 100 17.676 20.513
201 252 44 100 4 0 100 18.048 18.860
252 317 0 1 4 0 100 50.000 14.490
252 317 1 2 4 0 100 8.689 17.605
252 317 2 3 4 0 100 6.599 19.032
252 317 3 4 4 0 100 6.733 19.544
252 317 4 5 4 0 100 6.855 19.404
252 317 5 6 4 0 100 7.055 19.716
252 317 6 7 4 0 100 7.105 19.647
252 317 7 8 4 0 100 6.925 20.031
252 317 8 9 4 0 100 7.053 19.978
252 317 9 10 4 0 100 7.031 20.013
252 317 10 11 4 0 100 7.179 20.252
252 317 11 12 4 0 100 7.208 20.314
252 317 12 13 4 0 100 7.222 20.482
252 317 13 14 4 0 100 7.246 20.427
252 317 14 15 4 0 100 7.236 20.542
252 317 15 16 4 0 100 7.344 20.604
252 317 16 17 4 0 100 7.216 20.675
252 317 17 18 4 0 100 7.260 20.857
252 317 18 19 4 0 100 7.197 21.035
252 317 19 20 4 0 100 7.450 20.877
252 317 20 21 4 0 100 7.434 21.108
252 317 21 22 4 0 100 7.285 21.147
252 317 22 23 4 0 100 7.370 21.283
252 317 23 24 4 0 100 7.486 21.312
252 317 24 25 4 0 100 7.443 21.662
252 317 25 26 4 0 100 7.395 21.533
252 317 26 27 4 0 100 7.735 21.711
252 317 27 28 4 0 100 7.436 21.591
252 317 28 29 4 0 100 7.980 21.845
252 317 29 30 4 0 100 8.177 21.760
252 317 30 31 4 0 100 7.695 21.869
252 317 31 32 4 0 100 7.597 22.138
252 317 32 33 4 0 100 7.709 22.515
252 317 33 34 4 0 100 7.349 22.124
252 317 34 35 4 0 100 8.443 21.688
252 317 35 36 4 0 100 7.987 22.416
252 317 36 37 4 0 100 8.640 21.634
252 317 37 38 4 0 100 8.744 22.513
252 317 38 39 4 0 100 9.680 22.122
252 317 39 40 4 0 100 10.182 21.658
252 317 40 41 4 0 100 11.731 20.557
252 317 41 42 4 0 100 11.479 20.880
252 317 42 43 4 0 100 19.915 19.332
252 317 43 44 4 0 100 30.478 20.931
252 317 44 100 4 0 100 19.316 20.867
317 400 0 1 4 0 100 33.831 14.545
317 400 1 2 4 0 100 8.013 18.254
317 400 2 3 4 0 100 6.824 20.595
317 400 3 4 4 0 100 6.445 20.777
317 400 4 5 4 0 100 6.959 20.625
317 400 5 6 4 0 100 6.708 20.985
317 400 6 7 4 0 100 6.784 20.843
317 400 7 8 4 0 100 6.942 21.048
317 400 8 9 4 0 100 6.854 21.070
317 400 9 10 4 0 100 6.944 21.143
317 400 10 11 4 0 100 6.890 21.496
317 400 11 12 4 0 100 6.740 21.419
317 400 12 13 4 0 100 7.030 21.489
317 400 13 14 4 0 100 6.998 21.531
317 400 14 15 4 0 100 6.988 21.606
317 400 15 16 4 0 100 7.168 21.681
317 400 16 17 4 0 100 7.018 21.904
317 400 17 18 4 0 100 7.044 21.841
317 400 18 19 4 0 100 7.131 22.057
317 400 19 20 4 0 100 6.993 22.087
317 400 20 21 4 0 100 7.226 22.124
317 400 21 22 4 0 100 7.082 22.201
317 400 22 23 4 0 100 7.346 22.389
317 400 23 24 4 0 100 7.204 22.706
317 400 24 25 4 0 100 7.175 22.615
317 400 25 26 4 0 100 7.238 22.696
317 400 26 27 4 0 100 7.389 22.912
317 400 27 28 4 0 100 7.272 23.023
317 400 28 29 4 0 100 7.031 23.024
317 400 29 30 4 0 100 7.747 22.960
317 400 30 31 4 0 100 7.560 23.132
317 400 31 32 4 0 100 7.255 23.164
317 400 32 33 4 0 100 7.859 23.795
317 400 33 34 4 0 100 8.616 23.042
317 400 34 35 4 0 100 7.568 23.333
317 400 35 36 4 0 100 8.282 23.158
317 400 36 37 4 0 100 9.611 22.907
317 400 37 38 4 0 100 8.343 23.470
317 400 38 39 4 0 100 10.711 22.428
317 400 39 40 4 0 100 10.938 22.256
317 400 40 41 4 0 100 11.656 22.288
317 400 41 42 4 0 100 18.063 21.676
317 400 42 43 4 0 100 12.320 21.373
317 400 43 44 4 0 100 20.203 22.943
317 400 44 100 4 0 100 35.736 17.389
400 503 0 1 4 0 100 1.155 100.000
400 503 1 2 4 0 100 8.132 20.869
400 503 2 3 4 0 100 7.052 21.070
400 503 3 4 4 0 100 6.770 21.446
400 503 4 5 4 0 100 6.459 21.795
400 503 5 6 4 0 100 6.613 21.781
400 503 6 7 4 0 100 6.511 22.207
400 503 7 8 4 0 100 6.640 22.076
400 503 8 9 4 0 100 6.655 22.394
400 503 9 10 4 0 100 6.696 22.232
400 503 10 11 4 0 100 6.788 22.417
400 503 11 12 4 0 100 6.817 22.485
400 503 12 13 4 0 100 6.761 22.571
400 503 13 14 4 0 100 6.794 22.623
400 503 14 15 4 0 100 6.884 22.635
400 503 15 16 4 0 100 6.995 22.822
400 503 16 17 4 0 100 6.894 22.890
400 503 17 18 4 0 100 6.865 22.950
400 503 18 19 4 0 100 6.900 22.996
400 503 19 20 4 0 100 7.083 22.991
400 503 20 21 4 0 100 7.087 23.301
400 503 21 22 4 0 100 7.167 23.130
400 503 22 23 4 0 100 7.067 23.403
400 503 23 24 4 0 100 7.217 23.465
400 503 24 25 4 0 100 7.554 23.703
400 503 25 26 4 0 100 7.428 23.823
400 503 26 27 4 0 100 7.281 23.724
400 503 27 28 4 0 100 7.076 23.674
400 503 28 29 4 0 100 7.580 23.844
400 503 29 30 4 0 100 7.720 24.215
400 503 30 31 4 0 100 7.411 24.147
400 503 31 32 4 0 100 7.453 24.247
400 503 32 33 4 0 100 7.812 24.069
400 503 33 34 4 0 100 8.797 23.899
400 503 34 35 4 0 100 7.799 24.062
400 503 35 36 4 0 100 9.993 23.070
400 503 36 37 4 0 100 8.234 23.956
400 503 37 38 4 0 100 9.423 23.179
400 503 38 39 4 0 100 12.197 23.169
400 503 39 40 4 0 100 15.770 24.534
