[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_F_quark}
22 25 17 18 4 0 100 12.908 7.127
22 25 18 19 4 0 100 13.292 7.581
22 25 19 20 4 0 100 15.581 7.706
22 25 20 21 4 0 100 21.481 8.354
22 25 21 22 4 0 100 19.609 8.263
22 25 22 23 4 0 100 19.972 9.048
22 25 23 24 4 0 100 32.197 9.393
22 25 24 25 4 0 100 27.841 8.862
22 25 25 26 4 0 100 36.867 9.913
22 25 26 27 4 0 100 41.325 9.994
22 25 27 28 4 0 100 50.000 9.759
22 25 28 29 4 0 100 50.000 11.738
22 25 29 30 4 0 100 1.284 100.000
22 25 30 31 4 0 100 50.000 11.977
22 25 31 32 4 0 100 1.235 100.000
22 25 32 33 4 0 100 50.000 11.327
22 25 33 34 4 0 100 1.559 100.000
22 25 34 35 4 0 100 50.000 10.485
22 25 35 36 4 0 100 1.622 100.000
22 25 36 37 4 0 100 1.568 100.000
22 25 37 38 4 0 100 1.631 100.000
22 25 40 41 4 0 100 1.580 100.000
22 25 41 100 4 0 100 1.627 100.000
25 27 0 1 4 0 100 50.000 3.994
25 27 1 2 4 0 100 23.537 3.784
25 27 2 3 4 0 100 17.506 4.681
25 27 3 4 4 0 100 12.186 4.781
25 27 4 5 4 0 100 11.711 4.857
25 27 5 6 4 0 100 10.942 5.166
25 27 6 7 4 0 100 8.718 5.278
25 27 7 8 4 0 100 10.714 5.552
25 27 8 9 4 0 100 11.028 5.762
25 27 9 10 4 0 100 11.820 5.921
25 27 10 11 4 0 100 11.173 6.095
25 27 11 12 4 0 100 11.349 6.221
25 27 12 13 4 0 100 11.242 6.454
25 27 13 14 4 0 100 11.310 6.592
25 27 14 15 4 0 100 12.469 6.817
25 27 15 16 4 0 100 12.076 7.031
25 27 16 17 4 0 100 12.691 7.373
25 27 17 18 4 0 100 11.986 7.213
25 27 18 19 4 0 100 13.114 7.739
25 27 19 20 4 0 100 14.449 8.087
25 27 20 21 4 0 100 15.635 8.105
25 27 21 22 4 0 100 22.984 8.812
25 27 22 23 4 0 100 16.584 8.503
25 27 23 24 4 0 100 21.178 9.271
25 27 24 25 4 0 100 22.502 9.098
25 27 25 26 4 0 100 29.013 9.612
25 27 26 27 4 0 100 50.000 9.881
25 27 27 28 4 0 100 23.177 9.717
25 27 28 29 4 0 100 50.000 9.980
25 27 29 30 4 0 100 50.000 8.841
25 27 30 31 4 0 100 50.000 10.286
25 27 31 32 4 0 100 50.000 10.936
25 27 32 33 4 0 100 1.432 100.000
25 27 33 34 4 0 100 1.552 100.000
25 27 34 35 4 0 100 1.568 100.000
25 27 35 36 4 0 100 1.556 100.000
25 27 36 37 4 0 100 1.690 100.000
25 27 37 38 4 0 100 1.573 100.000
25 27 38 39 4 0 100 1.687 100.000
25 27 40 41 4 0 100 1.687 100.000
25 27 42 100 4 0 100 50.000 13.748
27 29 0 1 4 0 100 50.000 3.333
27 29 1 2 4 0 100 44.353 4.942
27 29 2 3 4 0 100 18.139 4.552
27 29 3 4 4 0 100 11.079 5.084
27 29 4 5 4 0 100 10.327 5.250
27 29 5 6 4 0 100 11.443 5.369
27 29 6 7 4 0 100 9.623 5.457
27 29 7 8 4 0 100 9.698 5.666
27 29 8 9 4 0 100 10.367 5.902
27 29 9 10 4 0 100 10.269 5.969
27 29 10 11 4 0 100 10.216 6.234
27 29 11 12 4 0 100 10.965 6.391
27 29 12 13 4 0 100 10.576 6.635
27 29 13 14 4 0 100 11.505 6.808
27 29 14 15 4 0 100 11.952 7.021
27 29 15 16 4 0 100 11.828 7.211
27 29 16 17 4 0 100 11.901 7.530
27 29 17 18 4 0 100 12.620 7.624
27 29 18 19 4 0 100 13.079 7.843
27 29 19 20 4 0 100 11.986 8.100
27 29 20 21 4 0 100 15.638 8.266
27 29 21 22 4 0 100 13.203 8.464
27 29 22 23 4 0 100 17.217 9.041
27 29 23 24 4 0 100 20.727 8.727
27 29 24 25 4 0 100 16.803 9.377
27 29 25 26 4 0 100 19.728 9.385
27 29 26 27 4 0 100 29.698 10.074
27 29 27 28 4 0 100 40.611 9.603
27 29 28 29 4 0 100 50.000 9.509
27 29 29 30 4 0 100 35.722 11.115
27 29 30 31 4 0 100 50.000 11.447
27 29 31 32 4 0 100 50.000 11.421
27 29 32 33 4 0 100 50.000 9.605
27 29 33 34 4 0 100 50.000 9.610
27 29 34 35 4 0 100 50.000 12.638
27 29 35 36 4 0 100 1.496 100.000
27 29 36 37 4 0 100 1.629 100.000
27 29 37 38 4 0 100 1.623 100.000
27 29 38 39 4 0 100 1.687 100.000
27 29 39 40 4 0 100 1.621 100.000
27 29 40 41 4 0 100 1.628 100.000
27 29 41 100 4 0 100 50.000 3.994
29 32 0 1 4 0 100 50.000 3.723
29 32 1 2 4 0 100 15.815 4.501
29 32 2 3 4 0 100 14.249 4.995
29 32 3 4 4 0 100 9.837 5.076
29 32 4 5 4 0 100 10.244 5.399
29 32 5 6 4 0 100 9.466 5.551
29 32 6 7 4 0 100 9.457 5.909
29 32 7 8 4 0 100 10.832 6.000
29 32 8 9 4 0 100 10.918 6.126
29 32 9 10 4 0 100 10.693 6.261
29 32 10 11 4 0 100 11.086 6.458
29 32 11 12 4 0 100 10.252 6.684
29 32 12 13 4 0 100 11.000 6.811
29 32 13 14 4 0 100 11.301 7.104
29 32 14 15 4 0 100 11.721 7.196
29 32 15 16 4 0 100 12.594 7.539
29 32 16 17 4 0 100 12.065 7.617
29 32 17 18 4 0 100 11.996 7.842
29 32 18 19 4 0 100 12.932 8.085
29 32 19 20 4 0 100 13.239 8.222
29 32 20 21 4 0 100 12.526 8.547
29 32 21 22 4 0 100 12.505 8.757
29 32 22 23 4 0 100 15.540 9.043
29 32 23 24 4 0 100 13.094 9.056
29 32 24 25 4 0 100 21.077 9.302
29 32 25 26 4 0 100 19.841 9.121
29 32 26 27 4 0 100 19.745 10.126
29 32 27 28 4 0 100 18.990 10.098
29 32 28 29 4 0 100 20.295 10.186
29 32 29 30 4 0 100 39.264 11.251
29 32 30 31 4 0 100 31.284 10.423
29 32 31 32 4 0 100 28.189 10.641
29 32 32 33 4 0 100 50.000 10.243
29 32 33 34 4 0 100 50.000 10.901
29 32 34 35 4 0 100 1.245 100.000
29 32 35 36 4 0 100 1.502 100.000
29 32 36 37 4 0 100 1.331 100.000
29 32 37 38 4 0 100 1.558 100.000
29 32 38 39 4 0 100 1.520 100.000
29 32 40 41 4 0 100 1.439 100.000
29 32 41 42 4 0 100 1.625 100.000
29 32 42 43 4 0 100 1.687 100.000
29 32 43 100 4 0 100 1.627 100.000
32 35 0 1 4 0 100 50.000 5.042
32 35 1 2 4 0 100 10.717 4.538
32 35 2 3 4 0 100 13.387 5.324
32 35 3 4 4 0 100 12.147 5.275
32 35 4 5 4 0 100 10.185 5.566
32 35 5 6 4 0 100 9.850 5.750
32 35 6 7 4 0 100 10.034 5.898
32 35 7 8 4 0 100 10.520 6.213
32 35 8 9 4 0 100 11.001 6.256
32 35 9 10 4 0 100 10.197 6.464
32 35 10 11 4 0 100 10.963 6.539
32 35 11 12 4 0 100 9.742 6.900
32 35 12 13 4 0 100 10.708 7.088
32 35 13 14 4 0 100 11.055 7.348
32 35 14 15 4 0 100 11.492 7.511
32 35 15 16 4 0 100 12.328 7.670
32 35 16 17 4 0 100 12.074 7.926
32 35 17 18 4 0 100 11.881 8.142
32 35 18 19 4 0 100 13.150 8.210
32 35 19 20 4 0 100 12.386 8.556
32 35 20 21 4 0 100 12.673 8.732
32 35 21 22 4 0 100 14.606 9.101
32 35 22 23 4 0 100 12.907 9.045
32 35 23 24 4 0 100 14.500 9.254
32 35 24 25 4 0 100 13.371 9.551
32 35 25 26 4 0 100 17.933 9.885
32 35 26 27 4 0 100 19.130 10.510
32 35 27 28 4 0 100 25.222 10.154
32 35 28 29 4 0 100 22.954 10.529
32 35 29 30 4 0 100 21.787 11.046
32 35 30 31 4 0 100 22.699 11.050
32 35 31 32 4 0 100 30.663 10.969
32 35 32 33 4 0 100 49.425 12.034
32 35 33 34 4 0 100 50.000 12.138
32 35 34 35 4 0 100 35.181 10.011
32 35 35 36 4 0 100 42.010 11.433
32 35 36 37 4 0 100 1.235 100.000
32 35 37 38 4 0 100 50.000 11.584
32 35 38 39 4 0 100 1.362 100.000
32 35 39 40 4 0 100 1.565 100.000
32 35 40 41 4 0 100 1.567 100.000
32 35 41 42 4 0 100 50.000 13.748
32 35 43 44 4 0 100 1.687 100.000
32 35 44 100 4 0 100 1.688 100.000
35 39 0 1 4 0 100 50.000 6.933
35 39 1 2 4 0 100 16.254 5.017
35 39 2 3 4 0 100 9.488 5.186
35 39 3 4 4 0 100 9.002 5.513
35 39 4 5 4 0 100 9.942 5.948
35 39 5 6 4 0 100 10.431 5.747
35 39 6 7 4 0 100 9.617 6.161
35 39 7 8 4 0 100 10.531 6.373
35 39 8 9 4 0 100 10.884 6.578
35 39 9 10 4 0 100 9.578 6.630
35 39 10 11 4 0 100 10.908 6.950
35 39 11 12 4 0 100 10.734 7.119
35 39 12 13 4 0 100 10.973 7.231
35 39 13 14 4 0 100 11.325 7.563
35 39 14 15 4 0 100 11.422 7.710
35 39 15 16 4 0 100 11.105 7.894
35 39 16 17 4 0 100 11.593 8.060
35 39 17 18 4 0 100 12.095 8.349
35 39 18 19 4 0 100 12.766 8.649
35 39 19 20 4 0 100 13.278 8.681
35 39 20 21 4 0 100 14.389 8.936
35 39 21 22 4 0 100 14.574 8.996
35 39 22 23 4 0 100 12.378 9.346
35 39 23 24 4 0 100 15.104 9.642
35 39 24 25 4 0 100 14.084 9.540
35 39 25 26 4 0 100 16.601 9.684
35 39 26 27 4 0 100 19.100 10.083
35 39 27 28 4 0 100 18.725 10.458
35 39 28 29 4 0 100 18.671 10.252
35 39 29 30 4 0 100 16.858 10.790
35 39 30 31 4 0 100 19.841 10.742
35 39 31 32 4 0 100 25.056 11.309
35 39 32 33 4 0 100 22.353 11.016
35 39 33 34 4 0 100 34.928 11.804
35 39 34 35 4 0 100 29.721 10.941
35 39 35 36 4 0 100 50.000 10.594
35 39 36 37 4 0 100 50.000 6.937
35 39 37 38 4 0 100 50.000 11.085
35 39 38 39 4 0 100 1.320 100.000
35 39 39 40 4 0 100 1.398 100.000
35 39 40 41 4 0 100 1.318 100.000
35 39 41 42 4 0 100 1.482 100.000
35 39 42 100 4 0 100 1.569 100.000
39 42 0 1 4 0 100 50.000 4.408
39 42 1 2 4 0 100 50.000 5.148
39 42 2 3 4 0 100 13.126 5.391
39 42 3 4 4 0 100 12.251 5.695
39 42 4 5 4 0 100 10.225 5.851
39 42 5 6 4 0 100 10.163 6.140
39 42 6 7 4 0 100 10.038 6.135
39 42 7 8 4 0 100 10.486 6.467
39 42 8 9 4 0 100 10.400 6.696
39 42 9 10 4 0 100 9.976 6.883
39 42 10 11 4 0 100 10.532 7.155
39 42 11 12 4 0 100 10.305 7.207
39 42 12 13 4 0 100 11.042 7.363
39 42 13 14 4 0 100 12.740 7.656
39 42 14 15 4 0 100 11.041 7.961
39 42 15 16 4 0 100 11.198 8.011
39 42 16 17 4 0 100 11.416 8.168
39 42 17 18 4 0 100 11.826 8.355
39 42 18 19 4 0 100 12.314 8.714
39 42 19 20 4 0 100 15.172 9.010
39 42 20 21 4 0 100 12.948 9.080
39 42 21 22 4 0 100 14.271 9.372
39 42 22 23 4 0 100 14.608 9.547
39 42 23 24 4 0 100 13.216 9.637
39 42 24 25 4 0 100 14.375 9.945
39 42 25 26 4 0 100 19.074 9.706
39 42 26 27 4 0 100 20.747 9.792
39 42 27 28 4 0 100 22.468 10.569
39 42 28 29 4 0 100 23.117 10.535
39 42 29 30 4 0 100 16.252 10.721
39 42 30 31 4 0 100 23.397 10.637
39 42 31 32 4 0 100 26.034 11.110
39 42 32 33 4 0 100 25.856 11.075
39 42 33 34 4 0 100 43.521 11.059
39 42 34 35 4 0 100 44.563 10.961
39 42 35 36 4 0 100 50.000 12.263
39 42 36 37 4 0 100 50.000 11.508
39 42 37 38 4 0 100 1.381 100.000
39 42 38 39 4 0 100 50.000 12.983
39 42 39 40 4 0 100 1.487 100.000
39 42 40 41 4 0 100 1.509 100.000
39 42 41 42 4 0 100 1.455 100.000
39 42 42 43 4 0 100 1.623 100.000
39 42 43 100 4 0 100 1.381 100.000
42 46 1 2 4 0 100 50.000 5.831
42 46 2 3 4 0 100 11.553 5.830
42 46 3 4 4 0 100 11.736 5.735
42 46 4 5 4 0 100 9.845 5.861
42 46 5 6 4 0 100 9.837 6.297
42 46 6 7 4 0 100 9.906 6.505
42 46 7 8 4 0 100 11.411 6.714
42 46 8 9 4 0 100 10.080 6.804
42 46 9 10 4 0 100 10.538 7.067
42 46 10 11 4 0 100 11.023 7.298
42 46 11 12 4 0 100 10.358 7.560
42 46 12 13 4 0 100 10.767 7.618
42 46 13 14 4 0 100 11.168 7.819
42 46 14 15 4 0 100 11.851 8.027
42 46 15 16 4 0 100 12.028 8.173
42 46 16 17 4 0 100 11.648 8.509
42 46 17 18 4 0 100 12.718 8.628
42 46 18 19 4 0 100 13.532 8.853
42 46 19 20 4 0 100 12.724 8.975
42 46 20 21 4 0 100 13.136 9.282
42 46 21 22 4 0 100 14.719 9.406
42 46 22 23 4 0 100 13.020 9.564
42 46 23 24 4 0 100 15.755 10.014
42 46 24 25 4 0 100 17.069 10.119
42 46 25 26 4 0 100 15.340 10.369
42 46 26 27 4 0 100 17.479 10.554
42 46 27 28 4 0 100 24.063 10.665
42 46 28 29 4 0 100 21.043 10.522
42 46 29 30 4 0 100 27.115 11.606
42 46 30 31 4 0 100 26.605 10.870
42 46 31 32 4 0 100 29.274 10.995
42 46 32 33 4 0 100 27.296 11.950
42 46 33 34 4 0 100 38.855 12.615
42 46 34 35 4 0 100 50.000 12.308
42 46 35 36 4 0 100 38.787 12.099
42 46 36 37 4 0 100 50.000 12.374
42 46 37 38 4 0 100 50.000 10.230
42 46 38 39 4 0 100 50.000 12.408
42 46 39 40 4 0 100 1.409 100.000
42 46 40 41 4 0 100 1.378 100.000
42 46 41 42 4 0 100 50.000 10.289
42 46 42 43 4 0 100 50.000 14.015
42 46 43 44 4 0 100 50.000 13.963
42 46 44 100 4 0 100 1.690 100.000
46 51 0 1 4 0 100 1.652 100.000
46 51 1 2 4 0 100 21.090 5.118
46 51 2 3 4 0 100 11.170 5.884
46 51 3 4 4 0 100 10.382 6.132
46 51 4 5 4 0 100 9.249 6.356
46 51 5 6 4 0 100 8.840 6.387
46 51 6 7 4 0 100 10.386 6.591
46 51 7 8 4 0 100 10.533 6.872
46 51 8 9 4 0 100 10.674 7.110
46 51 9 10 4 0 100 10.533 7.220
46 51 10 11 4 0 100 11.000 7.424
46 51 11 12 4 0 100 11.294 7.624
46 51 12 13 4 0 100 11.163 7.785
46 51 13 14 4 0 100 11.404 8.026
46 51 14 15 4 0 100 10.881 8.210
46 51 15 16 4 0 100 11.052 8.462
46 51 16 17 4 0 100 11.738 8.556
46 51 17 18 4 0 100 12.518 8.729
46 51 18 19 4 0 100 12.142 9.102
46 51 19 20 4 0 100 12.509 9.225
46 51 20 21 4 0 100 13.334 9.416
46 51 21 22 4 0 100 15.300 9.805
46 51 22 23 4 0 100 13.416 9.797
46 51 23 24 4 0 100 16.296 10.063
46 51 24 25 4 0 100 17.685 10.452
46 51 25 26 4 0 100 15.128 10.207
46 51 26 27 4 0 100 18.415 10.510
46 51 27 28 4 0 100 21.275 11.051
46 51 28 29 4 0 100 18.224 11.235
46 51 29 30 4 0 100 17.066 10.557
46 51 30 31 4 0 100 25.351 11.463
46 51 31 32 4 0 100 21.524 10.936
46 51 32 33 4 0 100 50.000 12.178
46 51 33 34 4 0 100 27.873 12.125
46 51 34 35 4 0 100 50.000 11.024
46 51 35 36 4 0 100 41.641 12.660
46 51 36 37 4 0 100 50.000 13.465
46 51 37 38 4 0 100 50.000 12.928
46 51 38 39 4 0 100 50.000 12.561
46 51 39 40 4 0 100 50.000 11.586
46 51 40 41 4 0 100 1.361 100.000
46 51 41 42 4 0 100 50.000 14.850
46 51 42 43 4 0 100 50.000 12.364
46 51 43 44 4 0 100 50.000 14.015
46 51 44 100 4 0 100 1.515 100.000
51 56 0 1 4 0 100 50.000 4.806
51 56 1 2 4 0 100 15.484 4.990
51 56 2 3 4 0 100 10.450 5.845
51 56 3 4 4 0 100 11.222 6.163
51 56 4 5 4 0 100 10.569 6.554
51 56 5 6 4 0 100 11.277 6.665
51 56 6 7 4 0 100 9.515 6.856
51 56 7 8 4 0 100 9.897 7.069
51 56 8 9 4 0 100 10.667 7.250
51 56 9 10 4 0 100 10.998 7.366
51 56 10 11 4 0 100 10.808 7.521
51 56 11 12 4 0 100 10.890 7.748
51 56 12 13 4 0 100 10.840 8.006
51 56 13 14 4 0 100 11.835 8.152
51 56 14 15 4 0 100 11.600 8.412
51 56 15 16 4 0 100 11.883 8.647
51 56 16 17 4 0 100 12.689 8.811
51 56 17 18 4 0 100 12.446 9.135
51 56 18 19 4 0 100 12.663 9.203
51 56 19 20 4 0 100 12.988 9.388
51 56 20 21 4 0 100 13.161 9.689
51 56 21 22 4 0 100 13.960 9.960
51 56 22 23 4 0 100 13.866 10.129
51 56 23 24 4 0 100 16.187 10.489
51 56 24 25 4 0 100 16.598 10.475
51 56 25 26 4 0 100 17.667 10.437
51 56 26 27 4 0 100 17.934 10.888
51 56 27 28 4 0 100 20.887 11.134
51 56 28 29 4 0 100 27.021 11.039
51 56 29 30 4 0 100 18.000 11.375
51 56 30 31 4 0 100 26.110 12.045
51 56 31 32 4 0 100 22.687 10.592
51 56 32 33 4 0 100 33.614 11.298
51 56 33 34 4 0 100 29.623 12.336
51 56 34 35 4 0 100 50.000 10.668
51 56 35 36 4 0 100 32.127 11.792
51 56 36 37 4 0 100 50.000 12.552
51 56 37 38 4 0 100 50.000 11.352
51 56 38 39 4 0 100 50.000 12.152
51 56 39 40 4 0 100 50.000 13.609
51 56 40 41 4 0 100 50.000 14.448
51 56 42 43 4 0 100 1.524 100.000
51 56 43 44 4 0 100 1.456 100.000
51 56 44 100 4 0 100 1.564 100.000
56 61 0 1 4 0 100 50.000 6.277
56 61 1 2 4 0 100 21.383 5.140
56 61 2 3 4 0 100 11.141 6.478
56 61 3 4 4 0 100 13.135 5.998
56 61 4 5 4 0 100 9.292 6.415
56 61 5 6 4 0 100 11.035 6.609
56 61 6 7 4 0 100 11.124 6.943
56 61 7 8 4 0 100 10.524 7.163
56 61 8 9 4 0 100 9.667 7.322
56 61 9 10 4 0 100 11.423 7.565
56 61 10 11 4 0 100 11.205 7.725
56 61 11 12 4 0 100 11.575 8.003
56 61 12 13 4 0 100 11.818 8.076
56 61 13 14 4 0 100 11.413 8.251
56 61 14 15 4 0 100 11.788 8.483
56 61 15 16 4 0 100 12.622 8.704
56 61 16 17 4 0 100 12.422 8.991
56 61 17 18 4 0 100 13.671 9.161
56 61 18 19 4 0 100 12.909 9.122
56 61 19 20 4 0 100 13.183 9.618
56 61 20 21 4 0 100 15.054 9.918
56 61 21 22 4 0 100 14.351 10.049
56 61 22 23 4 0 100 16.734 10.299
56 61 23 24 4 0 100 17.604 10.229
56 61 24 25 4 0 100 16.907 10.994
56 61 25 26 4 0 100 14.259 10.888
56 61 26 27 4 0 100 21.013 10.953
56 61 27 28 4 0 100 23.899 11.305
56 61 28 29 4 0 100 21.420 11.011
56 61 29 30 4 0 100 20.354 11.167
56 61 30 31 4 0 100 32.064 11.574
56 61 31 32 4 0 100 20.450 11.935
56 61 32 33 4 0 100 50.000 12.546
56 61 33 34 4 0 100 39.403 11.459
56 61 34 35 4 0 100 50.000 12.222
56 61 35 36 4 0 100 47.173 13.182
56 61 36 37 4 0 100 50.000 12.788
56 61 37 38 4 0 100 46.601 12.235
56 61 38 39 4 0 100 50.000 13.230
56 61 39 40 4 0 100 50.000 13.822
56 61 41 42 4 0 100 1.443 100.000
56 61 43 44 4 0 100 1.573 100.000
56 61 44 100 4 0 100 1.690 100.000
61 67 0 1 4 0 100 1.485 100.000
61 67 1 2 4 0 100 22.239 5.473
61 67 2 3 4 0 100 14.725 6.117
61 67 3 4 4 0 100 12.981 6.370
61 67 4 5 4 0 100 11.006 6.745
61 67 5 6 4 0 100 10.836 6.905
61 67 6 7 4 0 100 9.674 7.076
61 67 7 8 4 0 100 10.327 7.251
61 67 8 9 4 0 100 10.669 7.457
61 67 9 10 4 0 100 10.414 7.594
61 67 10 11 4 0 100 10.972 7.858
61 67 11 12 4 0 100 10.665 8.148
61 67 12 13 4 0 100 11.439 8.300
61 67 13 14 4 0 100 11.940 8.615
61 67 14 15 4 0 100 12.441 8.734
61 67 15 16 4 0 100 12.140 8.847
61 67 16 17 4 0 100 13.267 9.123
61 67 17 18 4 0 100 14.256 9.397
61 67 18 19 4 0 100 13.276 9.420
61 67 19 20 4 0 100 14.922 9.896
61 67 20 21 4 0 100 14.515 9.899
61 67 21 22 4 0 100 15.342 10.205
61 67 22 23 4 0 100 15.793 10.316
61 67 23 24 4 0 100 16.476 10.466
61 67 24 25 4 0 100 15.044 10.773
61 67 25 26 4 0 100 17.484 10.842
61 67 26 27 4 0 100 19.141 11.558
61 67 27 28 4 0 100 19.746 11.390
61 67 28 29 4 0 100 20.043 11.523
61 67 29 30 4 0 100 20.851 11.853
61 67 30 31 4 0 100 40.159 12.432
61 67 31 32 4 0 100 23.884 11.700
61 67 32 33 4 0 100 27.390 12.546
61 67 33 34 4 0 100 32.544 12.323
61 67 34 35 4 0 100 50.000 12.739
61 67 35 36 4 0 100 50.000 11.604
61 67 36 37 4 0 100 29.663 12.414
61 67 37 38 4 0 100 50.000 10.294
61 67 38 39 4 0 100 50.000 12.817
61 67 39 40 4 0 100 50.000 12.399
61 67 40 41 4 0 100 1.320 100.000
61 67 41 42 4 0 100 50.000 15.279
61 67 42 43 4 0 100 1.562 100.000
61 67 43 100 4 0 100 1.519 100.000
67 73 1 2 4 0 100 23.798 6.086
67 73 2 3 4 0 100 10.259 6.632
67 73 3 4 4 0 100 11.171 6.575
67 73 4 5 4 0 100 10.547 6.822
67 73 5 6 4 0 100 10.873 6.969
67 73 6 7 4 0 100 9.856 7.139
67 73 7 8 4 0 100 10.307 7.414
67 73 8 9 4 0 100 11.175 7.737
67 73 9 10 4 0 100 10.362 7.788
67 73 10 11 4 0 100 11.097 8.212
67 73 11 12 4 0 100 11.399 8.206
67 73 12 13 4 0 100 11.166 8.473
67 73 13 14 4 0 100 11.640 8.766
67 73 14 15 4 0 100 12.623 8.821
67 73 15 16 4 0 100 12.065 9.082
67 73 16 17 4 0 100 12.144 9.327
67 73 17 18 4 0 100 13.185 9.425
67 73 18 19 4 0 100 13.294 9.620
67 73 19 20 4 0 100 14.479 9.878
67 73 20 21 4 0 100 14.289 10.149
67 73 21 22 4 0 100 13.580 10.220
67 73 22 23 4 0 100 16.315 10.512
67 73 23 24 4 0 100 17.642 10.610
67 73 24 25 4 0 100 15.028 10.770
67 73 25 26 4 0 100 25.496 11.016
67 73 26 27 4 0 100 18.160 10.811
67 73 27 28 4 0 100 23.438 11.454
67 73 28 29 4 0 100 28.505 12.070
67 73 29 30 4 0 100 39.666 11.200
67 73 30 31 4 0 100 26.291 12.310
67 73 31 32 4 0 100 40.640 12.844
67 73 32 33 4 0 100 50.000 12.180
67 73 33 34 4 0 100 50.000 12.653
67 73 34 35 4 0 100 44.962 12.343
67 73 35 36 4 0 100 50.000 13.606
67 73 36 37 4 0 100 50.000 12.154
67 73 37 38 4 0 100 50.000 13.614
67 73 38 39 4 0 100 50.000 10.287
67 73 39 40 4 0 100 1.416 100.000
67 73 40 41 4 0 100 50.000 14.135
67 73 41 42 4 0 100 1.454 100.000
67 73 42 43 4 0 100 1.414 100.000
67 73 43 100 4 0 100 1.412 100.000
73 81 0 1 4 0 100 50.000 5.877
73 81 1 2 4 0 100 15.134 6.151
73 81 2 3 4 0 100 15.410 6.187
73 81 3 4 4 0 100 13.825 6.805
73 81 4 5 4 0 100 11.432 6.978
73 81 5 6 4 0 100 10.662 7.208
73 81 6 7 4 0 100 10.980 7.419
73 81 7 8 4 0 100 10.558 7.536
73 81 8 9 4 0 100 11.100 7.751
73 81 9 10 4 0 100 10.217 7.991
73 81 10 11 4 0 100 12.019 8.335
73 81 11 12 4 0 100 11.147 8.400
73 81 12 13 4 0 100 11.696 8.445
73 81 13 14 4 0 100 12.258 8.892
73 81 14 15 4 0 100 13.107 9.116
73 81 15 16 4 0 100 12.707 9.306
73 81 16 17 4 0 100 13.965 9.463
73 81 17 18 4 0 100 12.903 9.628
73 81 18 19 4 0 100 13.971 9.718
73 81 19 20 4 0 100 14.328 10.056
73 81 20 21 4 0 100 14.530 10.189
73 81 21 22 4 0 100 15.998 10.686
73 81 22 23 4 0 100 16.139 10.805
73 81 23 24 4 0 100 17.381 10.908
73 81 24 25 4 0 100 18.913 11.111
