[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_quark}
26 32 13 14 4 0 100 26.588 2.888
26 32 14 15 4 0 100 26.373 2.856
26 32 15 16 4 0 100 26.873 2.860
26 32 16 17 4 0 100 27.632 2.831
26 32 17 18 4 0 100 26.472 2.817
26 32 18 19 4 0 100 25.812 2.823
26 32 19 20 4 0 100 27.009 2.786
26 32 20 21 4 0 100 25.175 2.791
26 32 21 22 4 0 100 24.917 2.763
26 32 22 23 4 0 100 25.956 2.756
26 32 23 24 4 0 100 26.418 2.735
26 32 24 25 4 0 100 25.459 2.707
26 32 25 26 4 0 100 27.308 2.705
26 32 26 27 4 0 100 26.954 2.699
26 32 27 28 4 0 100 30.098 2.676
26 32 28 29 4 0 100 30.865 2.697
26 32 29 30 4 0 100 35.286 2.591
26 32 30 31 4 0 100 33.049 2.591
26 32 31 32 4 0 100 36.903 2.603
26 32 32 33 4 0 100 33.754 2.679
26 32 33 34 4 0 100 58.949 2.473
26 32 34 35 4 0 100 62.140 2.605
26 32 35 36 4 0 100 35.192 2.355
26 32 36 37 4 0 100 49.806 2.463
26 32 37 38 4 0 100 93.001 2.339
26 32 38 39 4 0 100 100.000 2.437
26 32 39 40 4 0 100 29.400 67.265
26 32 40 41 4 0 100 100.000 2.318
26 32 41 42 4 0 100 100.000 2.623
26 32 42 43 4 0 100 100.000 2.181
26 32 43 44 4 0 100 100.000 2.121
26 32 44 100 4 0 100 16.133 64.271
32 40 0 1 4 0 100 6.037 99.999
32 40 1 2 4 0 100 100.000 2.971
32 40 2 3 4 0 100 39.593 3.144
32 40 3 4 4 0 100 35.042 3.123
32 40 4 5 4 0 100 31.321 3.125
32 40 5 6 4 0 100 30.875 3.121
32 40 6 7 4 0 100 29.819 3.109
32 40 7 8 4 0 100 29.359 3.101
32 40 8 9 4 0 100 29.306 3.046
32 40 9 10 4 0 100 28.878 3.064
32 40 10 11 4 0 100 29.516 3.021
32 40 11 12 4 0 100 28.604 3.027
32 40 12 13 4 0 100 30.067 3.007
32 40 13 14 4 0 100 30.358 2.991
32 40 14 15 4 0 100 29.267 2.982
32 40 15 16 4 0 100 28.484 2.983
32 40 16 17 4 0 100 28.097 2.959
32 40 17 18 4 0 100 28.893 2.949
32 40 18 19 4 0 100 29.678 2.923
32 40 19 20 4 0 100 28.227 2.935
32 40 20 21 4 0 100 28.832 2.914
32 40 21 22 4 0 100 27.500 2.885
32 40 22 23 4 0 100 27.148 2.889
32 40 23 24 4 0 100 29.130 2.879
32 40 24 25 4 0 100 28.698 2.894
32 40 25 26 4 0 100 28.949 2.839
32 40 26 27 4 0 100 28.553 2.863
32 40 27 28 4 0 100 28.724 2.830
32 40 28 29 4 0 100 32.011 2.846
32 40 29 30 4 0 100 28.521 2.773
32 40 30 31 4 0 100 28.498 2.836
32 40 31 32 4 0 100 31.644 2.761
32 40 32 33 4 0 100 38.938 2.749
32 40 33 34 4 0 100 34.924 2.780
32 40 34 35 4 0 100 47.553 2.686
32 40 35 36 4 0 100 59.499 2.577
32 40 36 37 4 0 100 100.000 3.035
32 40 37 38 4 0 100 54.172 2.705
32 40 38 39 4 0 100 67.138 2.506
32 40 39 40 4 0 100 100.000 2.810
32 40 40 41 4 0 100 100.000 2.870
32 40 41 42 4 0 100 100.000 2.788
32 40 42 43 4 0 100 100.000 2.623
32 40 43 44 4 0 100 10.186 99.901
32 40 44 100 4 0 100 33.121 47.260
40 51 0 1 4 0 100 12.284 51.648
40 51 1 2 4 0 100 74.031 3.239
40 51 2 3 4 0 100 33.487 3.296
40 51 3 4 4 0 100 34.255 3.264
40 51 4 5 4 0 100 31.303 3.254
40 51 5 6 4 0 100 32.302 3.238
40 51 6 7 4 0 100 33.211 3.229
40 51 7 8 4 0 100 32.361 3.202
40 51 8 9 4 0 100 32.842 3.196
40 51 9 10 4 0 100 32.662 3.187
40 51 10 11 4 0 100 30.758 3.168
40 51 11 12 4 0 100 33.669 3.161
40 51 12 13 4 0 100 33.170 3.143
40 51 13 14 4 0 100 32.962 3.139
40 51 14 15 4 0 100 32.278 3.121
40 51 15 16 4 0 100 31.910 3.112
40 51 16 17 4 0 100 31.580 3.096
40 51 17 18 4 0 100 32.821 3.089
40 51 18 19 4 0 100 31.967 3.074
40 51 19 20 4 0 100 32.225 3.073
40 51 20 21 4 0 100 32.691 3.057
40 51 21 22 4 0 100 32.413 3.040
40 51 22 23 4 0 100 32.562 3.031
40 51 23 24 4 0 100 32.858 3.026
40 51 24 25 4 0 100 32.046 2.996
40 51 25 26 4 0 100 32.349 2.994
40 51 26 27 4 0 100 34.241 2.989
40 51 27 28 4 0 100 32.198 3.001
40 51 28 29 4 0 100 29.972 2.958
40 51 29 30 4 0 100 30.677 2.953
40 51 30 31 4 0 100 37.292 2.954
40 51 31 32 4 0 100 33.892 2.948
40 51 32 33 4 0 100 32.019 2.897
40 51 33 34 4 0 100 35.691 2.995
40 51 34 35 4 0 100 43.275 2.938
40 51 35 36 4 0 100 60.432 2.957
40 51 36 37 4 0 100 74.066 2.727
40 51 37 38 4 0 100 44.869 2.942
40 51 38 39 4 0 100 70.835 2.833
40 51 39 40 4 0 100 93.860 2.943
40 51 40 41 4 0 100 76.474 2.947
40 51 41 42 4 0 100 100.000 2.646
40 51 42 43 4 0 100 100.000 2.994
40 51 43 44 4 0 100 53.530 35.381
40 51 44 100 4 0 100 9.420 71.344
51 64 0 1 4 0 100 5.389 100.000
51 64 1 2 4 0 100 71.997 3.330
51 64 2 3 4 0 100 38.734 3.434
51 64 3 4 4 0 100 35.091 3.386
51 64 4 5 4 0 100 33.133 3.385
51 64 5 6 4 0 100 33.927 3.358
51 64 6 7 4 0 100 33.280 3.366
51 64 7 8 4 0 100 34.418 3.341
51 64 8 9 4 0 100 35.292 3.323
51 64 9 10 4 0 100 34.808 3.319
51 64 10 11 4 0 100 33.533 3.304
51 64 11 12 4 0 100 34.138 3.283
51 64 12 13 4 0 100 33.715 3.283
51 64 13 14 4 0 100 35.356 3.269
51 64 14 15 4 0 100 34.744 3.262
51 64 15 16 4 0 100 33.400 3.255
51 64 16 17 4 0 100 34.657 3.239
51 64 17 18 4 0 100 34.174 3.235
51 64 18 19 4 0 100 34.065 3.235
51 64 19 20 4 0 100 34.451 3.216
51 64 20 21 4 0 100 34.200 3.203
51 64 21 22 4 0 100 34.556 3.205
51 64 22 23 4 0 100 35.282 3.178
51 64 23 24 4 0 100 33.282 3.192
51 64 24 25 4 0 100 34.136 3.156
51 64 25 26 4 0 100 39.032 3.142
51 64 26 27 4 0 100 34.313 3.166
51 64 27 28 4 0 100 33.681 3.157
51 64 28 29 4 0 100 35.954 3.143
51 64 29 30 4 0 100 31.704 3.102
51 64 30 31 4 0 100 40.240 3.136
51 64 31 32 4 0 100 38.485 3.061
51 64 32 33 4 0 100 39.644 3.109
51 64 33 34 4 0 100 41.538 3.058
51 64 34 35 4 0 100 39.827 3.078
51 64 35 36 4 0 100 40.889 3.087
51 64 36 37 4 0 100 45.080 3.055
51 64 37 38 4 0 100 87.156 3.096
51 64 38 39 4 0 100 51.587 3.051
51 64 39 40 4 0 100 58.890 3.053
51 64 40 41 4 0 100 100.000 2.734
51 64 41 42 4 0 100 100.000 3.193
51 64 42 43 4 0 100 100.000 3.086
51 64 43 44 4 0 100 4.883 99.634
51 64 44 100 4 0 100 4.938 99.999
64 80 0 1 4 0 100 5.641 99.998
64 80 1 2 4 0 100 100.000 3.520
64 80 2 3 4 0 100 38.457 3.556
64 80 3 4 4 0 100 36.455 3.514
64 80 4 5 4 0 100 37.432 3.512
64 80 5 6 4 0 100 36.521 3.494
64 80 6 7 4 0 100 36.233 3.480
64 80 7 8 4 0 100 36.577 3.478
64 80 8 9 4 0 100 35.466 3.478
64 80 9 10 4 0 100 34.994 3.452
64 80 10 11 4 0 100 35.425 3.443
64 80 11 12 4 0 100 36.032 3.432
64 80 12 13 4 0 100 35.969 3.422
64 80 13 14 4 0 100 35.554 3.412
64 80 14 15 4 0 100 36.899 3.410
64 80 15 16 4 0 100 37.086 3.402
64 80 16 17 4 0 100 36.609 3.391
64 80 17 18 4 0 100 36.636 3.374
64 80 18 19 4 0 100 35.832 3.361
64 80 19 20 4 0 100 37.284 3.354
64 80 20 21 4 0 100 37.437 3.358
64 80 21 22 4 0 100 36.839 3.341
64 80 22 23 4 0 100 37.289 3.330
64 80 23 24 4 0 100 36.464 3.339
64 80 24 25 4 0 100 37.470 3.311
64 80 25 26 4 0 100 35.612 3.308
64 80 26 27 4 0 100 36.692 3.304
64 80 27 28 4 0 100 41.582 3.294
64 80 28 29 4 0 100 38.543 3.302
64 80 29 30 4 0 100 35.854 3.244
64 80 30 31 4 0 100 37.383 3.263
64 80 31 32 4 0 100 38.301 3.247
64 80 32 33 4 0 100 40.449 3.274
64 80 33 34 4 0 100 36.286 3.248
64 80 34 35 4 0 100 43.006 3.154
64 80 35 36 4 0 100 46.629 3.239
64 80 36 37 4 0 100 45.939 3.274
64 80 37 38 4 0 100 46.589 3.191
64 80 38 39 4 0 100 83.295 3.148
64 80 39 40 4 0 100 100.000 3.191
64 80 40 41 4 0 100 80.315 3.186
64 80 41 42 4 0 100 75.731 3.037
64 80 42 43 4 0 100 100.000 3.152
64 80 43 44 4 0 100 84.157 3.121
64 80 44 100 4 0 100 90.217 32.406
80 101 0 1 4 0 100 4.993 100.000
80 101 1 2 4 0 100 48.742 3.640
80 101 2 3 4 0 100 40.088 3.676
80 101 3 4 4 0 100 35.658 3.665
80 101 4 5 4 0 100 35.888 3.628
80 101 5 6 4 0 100 37.635 3.639
80 101 6 7 4 0 100 37.735 3.617
80 101 7 8 4 0 100 35.844 3.616
80 101 8 9 4 0 100 36.288 3.611
80 101 9 10 4 0 100 37.214 3.606
80 101 10 11 4 0 100 36.916 3.594
80 101 11 12 4 0 100 36.993 3.585
80 101 12 13 4 0 100 37.075 3.572
80 101 13 14 4 0 100 37.763 3.562
80 101 14 15 4 0 100 36.817 3.557
80 101 15 16 4 0 100 36.733 3.545
80 101 16 17 4 0 100 37.655 3.537
80 101 17 18 4 0 100 38.213 3.520
80 101 18 19 4 0 100 37.781 3.529
80 101 19 20 4 0 100 37.566 3.508
80 101 20 21 4 0 100 36.112 3.502
80 101 21 22 4 0 100 38.774 3.495
80 101 22 23 4 0 100 38.862 3.491
80 101 23 24 4 0 100 38.555 3.466
80 101 24 25 4 0 100 37.777 3.469
80 101 25 26 4 0 100 38.685 3.461
80 101 26 27 4 0 100 37.239 3.456
80 101 27 28 4 0 100 39.463 3.440
80 101 28 29 4 0 100 35.215 3.420
80 101 29 30 4 0 100 41.221 3.447
80 101 30 31 4 0 100 37.604 3.455
80 101 31 32 4 0 100 41.009 3.401
80 101 32 33 4 0 100 35.893 3.404
80 101 33 34 4 0 100 43.129 3.398
80 101 34 35 4 0 100 43.485 3.405
80 101 35 36 4 0 100 44.364 3.328
80 101 36 37 4 0 100 49.544 3.297
80 101 37 38 4 0 100 46.767 3.375
80 101 38 39 4 0 100 55.171 3.298
80 101 39 40 4 0 100 45.471 3.372
80 101 40 41 4 0 100 76.999 3.376
80 101 41 42 4 0 100 85.305 3.382
80 101 42 43 4 0 100 100.000 3.106
80 101 43 44 4 0 100 99.422 3.238
80 101 44 100 4 0 100 100.000 2.975
101 127 0 1 4 0 100 5.196 99.977
101 127 1 2 4 0 100 52.444 3.854
101 127 2 3 4 0 100 38.084 3.814
101 127 3 4 4 0 100 39.320 3.811
101 127 4 5 4 0 100 37.492 3.802
101 127 5 6 4 0 100 39.625 3.797
101 127 6 7 4 0 100 37.821 3.771
101 127 7 8 4 0 100 37.734 3.759
101 127 8 9 4 0 100 37.477 3.755
101 127 9 10 4 0 100 38.018 3.738
101 127 10 11 4 0 100 38.342 3.737
101 127 11 12 4 0 100 38.222 3.730
101 127 12 13 4 0 100 38.012 3.725
101 127 13 14 4 0 100 38.761 3.722
101 127 14 15 4 0 100 39.509 3.710
101 127 15 16 4 0 100 38.699 3.699
101 127 16 17 4 0 100 39.259 3.691
101 127 17 18 4 0 100 38.573 3.689
101 127 18 19 4 0 100 39.528 3.674
101 127 19 20 4 0 100 37.984 3.660
101 127 20 21 4 0 100 38.164 3.666
101 127 21 22 4 0 100 39.666 3.658
101 127 22 23 4 0 100 38.846 3.641
101 127 23 24 4 0 100 39.630 3.630
101 127 24 25 4 0 100 40.200 3.623
101 127 25 26 4 0 100 38.263 3.620
101 127 26 27 4 0 100 38.281 3.615
101 127 27 28 4 0 100 39.305 3.608
101 127 28 29 4 0 100 42.054 3.619
101 127 29 30 4 0 100 37.366 3.581
101 127 30 31 4 0 100 38.224 3.579
101 127 31 32 4 0 100 42.662 3.590
101 127 32 33 4 0 100 45.897 3.563
101 127 33 34 4 0 100 39.323 3.554
101 127 34 35 4 0 100 46.346 3.539
101 127 35 36 4 0 100 42.979 3.556
101 127 36 37 4 0 100 47.215 3.521
101 127 37 38 4 0 100 58.494 3.503
101 127 38 39 4 0 100 58.206 3.488
101 127 39 40 4 0 100 74.037 3.680
101 127 40 41 4 0 100 87.478 3.537
101 127 41 42 4 0 100 74.854 3.520
101 127 42 43 4 0 100 100.000 3.468
101 127 43 44 4 0 100 100.000 3.368
101 127 44 100 4 0 100 100.000 3.445
127 159 0 1 4 0 100 100.000 4.038
127 159 1 2 4 0 100 48.348 3.948
127 159 2 3 4 0 100 41.014 3.977
127 159 3 4 4 0 100 42.591 3.953
127 159 4 5 4 0 100 37.240 3.931
127 159 5 6 4 0 100 38.023 3.938
127 159 6 7 4 0 100 39.162 3.933
127 159 7 8 4 0 100 38.988 3.912
127 159 8 9 4 0 100 39.191 3.909
127 159 9 10 4 0 100 39.366 3.900
127 159 10 11 4 0 100 39.395 3.889
127 159 11 12 4 0 100 39.836 3.885
127 159 12 13 4 0 100 39.746 3.874
127 159 13 14 4 0 100 39.440 3.870
127 159 14 15 4 0 100 40.370 3.864
127 159 15 16 4 0 100 40.270 3.856
127 159 16 17 4 0 100 39.922 3.861
127 159 17 18 4 0 100 39.486 3.845
127 159 18 19 4 0 100 40.838 3.839
127 159 19 20 4 0 100 39.380 3.822
127 159 20 21 4 0 100 40.596 3.819
127 159 21 22 4 0 100 40.987 3.810
127 159 22 23 4 0 100 40.843 3.812
127 159 23 24 4 0 100 39.713 3.792
127 159 24 25 4 0 100 40.089 3.794
127 159 25 26 4 0 100 40.684 3.770
127 159 26 27 4 0 100 42.907 3.775
127 159 27 28 4 0 100 43.622 3.751
127 159 28 29 4 0 100 41.635 3.741
127 159 29 30 4 0 100 40.903 3.742
127 159 30 31 4 0 100 41.721 3.768
127 159 31 32 4 0 100 39.592 3.726
127 159 32 33 4 0 100 41.389 3.713
127 159 33 34 4 0 100 48.653 3.705
127 159 34 35 4 0 100 43.434 3.697
127 159 35 36 4 0 100 49.508 3.716
127 159 36 37 4 0 100 51.372 3.716
127 159 37 38 4 0 100 45.182 3.628
127 159 38 39 4 0 100 53.856 3.649
127 159 39 40 4 0 100 62.374 3.748
127 159 40 41 4 0 100 87.401 3.622
127 159 41 42 4 0 100 70.433 3.683
127 159 42 43 4 0 100 64.689 3.512
127 159 43 44 4 0 100 100.000 3.671
127 159 44 100 4 0 100 100.000 3.764
159 201 0 1 4 0 100 16.992 41.081
159 201 1 2 4 0 100 54.697 4.065
159 201 2 3 4 0 100 38.316 4.070
159 201 3 4 4 0 100 39.364 4.092
159 201 4 5 4 0 100 39.180 4.081
159 201 5 6 4 0 100 39.844 4.074
159 201 6 7 4 0 100 39.686 4.076
159 201 7 8 4 0 100 39.822 4.077
159 201 8 9 4 0 100 39.758 4.074
159 201 9 10 4 0 100 40.289 4.071
159 201 10 11 4 0 100 40.106 4.067
159 201 11 12 4 0 100 40.139 4.057
159 201 12 13 4 0 100 40.199 4.048
159 201 13 14 4 0 100 40.480 4.037
159 201 14 15 4 0 100 39.953 4.039
159 201 15 16 4 0 100 41.397 4.023
159 201 16 17 4 0 100 40.393 4.019
159 201 17 18 4 0 100 41.620 4.010
159 201 18 19 4 0 100 40.536 3.994
159 201 19 20 4 0 100 41.335 3.998
159 201 20 21 4 0 100 41.485 3.993
159 201 21 22 4 0 100 39.953 3.971
159 201 22 23 4 0 100 41.375 3.969
159 201 23 24 4 0 100 41.537 3.955
159 201 24 25 4 0 100 40.717 3.958
159 201 25 26 4 0 100 41.147 3.950
159 201 26 27 4 0 100 41.289 3.934
159 201 27 28 4 0 100 42.839 3.941
159 201 28 29 4 0 100 43.013 3.927
159 201 29 30 4 0 100 41.683 3.904
159 201 30 31 4 0 100 41.605 3.900
159 201 31 32 4 0 100 44.532 3.911
159 201 32 33 4 0 100 41.320 3.873
159 201 33 34 4 0 100 46.305 3.896
159 201 34 35 4 0 100 54.618 3.872
159 201 35 36 4 0 100 47.450 3.898
159 201 36 37 4 0 100 43.643 3.862
159 201 37 38 4 0 100 54.630 3.813
159 201 38 39 4 0 100 52.385 3.839
159 201 39 40 4 0 100 47.108 3.782
159 201 40 41 4 0 100 53.219 3.813
159 201 41 42 4 0 100 65.558 3.763
159 201 42 43 4 0 100 95.363 3.938
159 201 43 44 4 0 100 100.000 3.958
159 201 44 100 4 0 100 44.704 3.530
201 252 0 1 4 0 100 4.096 100.000
201 252 1 2 4 0 100 85.675 4.236
201 252 2 3 4 0 100 42.296 4.282
201 252 3 4 4 0 100 39.604 4.261
201 252 4 5 4 0 100 39.857 4.253
201 252 5 6 4 0 100 39.880 4.239
201 252 6 7 4 0 100 39.999 4.245
201 252 7 8 4 0 100 40.491 4.241
201 252 8 9 4 0 100 40.872 4.235
201 252 9 10 4 0 100 41.643 4.235
201 252 10 11 4 0 100 41.339 4.219
201 252 11 12 4 0 100 40.480 4.208
201 252 12 13 4 0 100 41.866 4.218
201 252 13 14 4 0 100 42.523 4.198
201 252 14 15 4 0 100 42.062 4.197
201 252 15 16 4 0 100 40.828 4.191
201 252 16 17 4 0 100 41.250 4.180
201 252 17 18 4 0 100 43.307 4.183
201 252 18 19 4 0 100 42.009 4.170
201 252 19 20 4 0 100 41.765 4.150
201 252 20 21 4 0 100 42.625 4.165
201 252 21 22 4 0 100 41.992 4.157
201 252 22 23 4 0 100 42.403 4.130
201 252 23 24 4 0 100 41.793 4.125
201 252 24 25 4 0 100 43.969 4.127
201 252 25 26 4 0 100 42.592 4.124
201 252 26 27 4 0 100 42.069 4.116
201 252 27 28 4 0 100 43.193 4.101
201 252 28 29 4 0 100 45.655 4.094
201 252 29 30 4 0 100 43.006 4.057
201 252 30 31 4 0 100 44.289 4.087
201 252 31 32 4 0 100 44.759 4.078
201 252 32 33 4 0 100 46.645 4.046
201 252 33 34 4 0 100 43.852 4.063
201 252 34 35 4 0 100 46.163 4.069
201 252 35 36 4 0 100 49.290 4.027
201 252 36 37 4 0 100 49.509 4.068
201 252 37 38 4 0 100 56.141 4.021
201 252 38 39 4 0 100 64.767 4.034
201 252 39 40 4 0 100 65.775 4.041
201 252 40 41 4 0 100 70.673 4.137
201 252 41 42 4 0 100 97.031 3.953
201 252 42 43 4 0 100 100.000 4.217
201 252 43 44 4 0 100 64.486 3.889
201 252 44 100 4 0 100 10.194 54.893
252 317 0 1 4 0 100 12.959 37.001
252 317 1 2 4 0 100 64.517 4.412
252 317 2 3 4 0 100 45.631 4.462
252 317 3 4 4 0 100 42.067 4.387
252 317 4 5 4 0 100 41.468 4.410
252 317 5 6 4 0 100 41.209 4.400
252 317 6 7 4 0 100 41.495 4.408
252 317 7 8 4 0 100 42.334 4.389
252 317 8 9 4 0 100 42.894 4.395
252 317 9 10 4 0 100 42.737 4.394
252 317 10 11 4 0 100 42.490 4.383
252 317 11 12 4 0 100 43.673 4.380
252 317 12 13 4 0 100 43.354 4.372
252 317 13 14 4 0 100 43.518 4.378
252 317 14 15 4 0 100 42.806 4.359
252 317 15 16 4 0 100 43.144 4.352
252 317 16 17 4 0 100 43.576 4.358
252 317 17 18 4 0 100 44.694 4.349
252 317 18 19 4 0 100 42.948 4.335
252 317 19 20 4 0 100 44.818 4.330
252 317 20 21 4 0 100 44.461 4.322
252 317 21 22 4 0 100 43.799 4.321
252 317 22 23 4 0 100 42.299 4.302
252 317 23 24 4 0 100 44.203 4.310
252 317 24 25 4 0 100 45.017 4.301
252 317 25 26 4 0 100 44.649 4.290
252 317 26 27 4 0 100 45.889 4.286
252 317 27 28 4 0 100 45.719 4.279
252 317 28 29 4 0 100 46.687 4.263
252 317 29 30 4 0 100 47.892 4.243
252 317 30 31 4 0 100 43.881 4.255
252 317 31 32 4 0 100 44.816 4.233
252 317 32 33 4 0 100 42.795 4.208
252 317 33 34 4 0 100 45.657 4.203
252 317 34 35 4 0 100 46.467 4.230
252 317 35 36 4 0 100 52.394 4.223
252 317 36 37 4 0 100 58.492 4.224
252 317 37 38 4 0 100 48.903 4.083
252 317 38 39 4 0 100 60.202 4.160
252 317 39 40 4 0 100 59.191 4.103
252 317 40 41 4 0 100 73.666 4.131
252 317 41 42 4 0 100 80.001 4.155
252 317 42 43 4 0 100 100.000 4.120
252 317 43 44 4 0 100 88.570 4.091
252 317 44 100 4 0 100 100.000 4.406
317 400 0 1 4 0 100 80.509 26.815
317 400 1 2 4 0 100 67.709 4.654
317 400 2 3 4 0 100 45.932 4.539
317 400 3 4 4 0 100 42.040 4.547
317 400 4 5 4 0 100 45.441 4.577
317 400 5 6 4 0 100 44.120 4.557
317 400 6 7 4 0 100 44.482 4.569
317 400 7 8 4 0 100 44.594 4.567
317 400 8 9 4 0 100 46.011 4.570
317 400 9 10 4 0 100 45.046 4.564
317 400 10 11 4 0 100 43.035 4.541
317 400 11 12 4 0 100 45.011 4.555
317 400 12 13 4 0 100 44.534 4.544
317 400 13 14 4 0 100 45.475 4.538
317 400 14 15 4 0 100 44.880 4.537
317 400 15 16 4 0 100 46.421 4.531
317 400 16 17 4 0 100 46.300 4.532
317 400 17 18 4 0 100 44.857 4.515
317 400 18 19 4 0 100 44.892 4.510
317 400 19 20 4 0 100 46.215 4.507
317 400 20 21 4 0 100 46.535 4.499
317 400 21 22 4 0 100 44.965 4.495
317 400 22 23 4 0 100 46.754 4.484
317 400 23 24 4 0 100 47.000 4.470
317 400 24 25 4 0 100 45.592 4.453
317 400 25 26 4 0 100 47.206 4.471
317 400 26 27 4 0 100 46.697 4.444
317 400 27 28 4 0 100 47.377 4.438
317 400 28 29 4 0 100 45.573 4.455
317 400 29 30 4 0 100 49.039 4.434
317 400 30 31 4 0 100 49.053 4.414
317 400 31 32 4 0 100 47.135 4.415
317 400 32 33 4 0 100 48.438 4.393
317 400 33 34 4 0 100 50.327 4.406
317 400 34 35 4 0 100 51.925 4.432
317 400 35 36 4 0 100 51.049 4.379
317 400 36 37 4 0 100 54.442 4.407
317 400 37 38 4 0 100 53.959 4.362
317 400 38 39 4 0 100 57.392 4.343
317 400 39 40 4 0 100 65.850 4.380
317 400 40 41 4 0 100 63.871 4.345
317 400 41 42 4 0 100 77.363 4.394
317 400 42 43 4 0 100 65.803 4.244
317 400 43 44 4 0 100 100.000 4.268
317 400 44 100 4 0 100 100.000 4.344
400 503 0 1 4 0 100 100.000 4.696
400 503 1 2 4 0 100 52.038 4.716
400 503 2 3 4 0 100 50.043 4.744
400 503 3 4 4 0 100 47.054 4.730
400 503 4 5 4 0 100 45.013 4.725
400 503 5 6 4 0 100 45.885 4.741
400 503 6 7 4 0 100 46.282 4.726
400 503 7 8 4 0 100 45.414 4.727
400 503 8 9 4 0 100 46.214 4.723
400 503 9 10 4 0 100 48.441 4.742
400 503 10 11 4 0 100 46.556 4.716
400 503 11 12 4 0 100 47.877 4.723
400 503 12 13 4 0 100 47.445 4.716
400 503 13 14 4 0 100 47.749 4.710
400 503 14 15 4 0 100 47.284 4.716
400 503 15 16 4 0 100 49.022 4.702
400 503 16 17 4 0 100 47.238 4.698
400 503 17 18 4 0 100 47.340 4.696
400 503 18 19 4 0 100 47.118 4.683
400 503 19 20 4 0 100 48.326 4.696
400 503 20 21 4 0 100 48.022 4.675
400 503 21 22 4 0 100 48.529 4.680
400 503 22 23 4 0 100 49.082 4.664
400 503 23 24 4 0 100 49.097 4.640
400 503 24 25 4 0 100 48.619 4.655
400 503 25 26 4 0 100 50.039 4.629
400 503 26 27 4 0 100 48.752 4.627
400 503 27 28 4 0 100 48.580 4.630
400 503 28 29 4 0 100 50.337 4.620
400 503 29 30 4 0 100 51.875 4.613
400 503 30 31 4 0 100 51.188 4.582
400 503 31 32 4 0 100 52.341 4.606
400 503 32 33 4 0 100 52.403 4.577
400 503 33 34 4 0 100 53.377 4.599
400 503 34 35 4 0 100 50.514 4.569
400 503 35 36 4 0 100 62.569 4.634
400 503 36 37 4 0 100 62.599 4.622
400 503 37 38 4 0 100 77.326 4.653
400 503 38 39 4 0 100 83.667 4.625
400 503 39 40 4 0 100 97.672 4.551
400 503 40 41 4 0 100 100.000 4.689
